"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","113108","samp. FS-46","FELDSPAR","ALBITE","BASALT",70.6,0.131,19.31,0.023,0,0.11,0.02,0.01,0.03,10.99,0.02,0,0.025,0,0,0,0,0,0,0,0,0
"2","164413","samp. EA11","FELDSPAR","ALBITE","ALBITITE",69.419479,0,20.316814,0.03,0.002989,0.056897,0,0,0.051854,11.607781,0,0,0,0.001,0.0035,0,0,0,0,0,0,0
"3","192294","samp. 138.55","FELDSPAR","ALBITE","NOT GIVEN",69.074,0,18.10728801,0,1.15519032,0,0,0,0.0845,11.62100336,0.0263,0,0,0,0,0,0,0,0,0,0,0
"4","122430","samp. M226","FELDSPAR","ALBITE","RHYOLITE",66.28286,0.052,20.50842,0,0.05736665,1.804409,0.0055,0,0.8337733,9.927588,0,0,0.062,0,0,0,0,0,0,0,0,0
"5","164397","samp. WA-21","FELDSPAR","ALBITE","ALBITITE",69.62812,0,19.518578,0,0.015388,0.004709,0,0,0.071157,11.833368,0.024,0,1e-05,0.0081,0.003,0,0,0,0,0,0,0
"6","61076","samp. 2","FELDSPAR","ALBITE","ANDESITE",68.75,0,19.34,0.03,0,0,0,0,0,11.4,0,0,0,0,0.02,0,0,0,0,0,0,0
"7","164438","samp. EA11","FELDSPAR","ALBITE","ALBITITE",69.615776,0.01537,20.675512,0,0.018768,0.399695,0.003197,0,0.065845,11.604641,0,0,0.02,0.003,0,0,0,0,0,0,0,0
"8","182725","samp. 09TB66","FELDSPAR","ALBITE","GRANITE, 2-MICA",65.91,0.02,21.4,0,0.0824,1.18,0,0.02,0.18,11,0.06,0,0,0.004,0.0376,0,0,0,0,0,0,0
"9","67476","samp. AND90-23","FELDSPAR","ALBITE","RHYOLITE",68.236,0.023,19.214,0,0.147800816326531,0.258,0,0.006,0.073,11.55,0,0,0,0,0,0,0,0,0,0,0,0
"10","101147","samp. SP 70A","FELDSPAR","ALBITE","FENITE",68.95,0,19.13,0,0.201,0.04,0,0.05,0.22,11.77,0.11,0,0.0213,0.01,0.035,0,0,0,0,0,0,0
"11","115738","samp. DZ03","FELDSPAR","ALBITE","TRACHYTE",66.84,0,19.89,0,0.13,1.06,0.01,0.02,0.14,10.1,0.0592,0,0,0,0,0,0,0,0,0,0,0
"12","61442","samp. TR28","FELDSPAR","ALBITE","RHYOLITE",67.9,0.07872,20.58,0,0.03,1.53,0,0.0198,0.31,11.13,0.00902,0,1e-05,0,0,0,0,0,0,0,0,0
"13","72734","samp. SV2","FELDSPAR","ALBITE","TRACHYTE",67.1,0.002,20.732,0,0.185,1.874,0,0,0.898,9.694,0,0,0.109,0.003,0.027,0,0,0,0,0,0,0
