"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","200072","samp. 161-976B-76R-1,03-07","GARNET","ALMANDINE","SCHIST",36.9598643452254,0.148457202505219,20.8648018086467,0.0497026694361105,32.6410791985245,6.01376846307385,0.686594274432379,3.6568874003422,0.00722725180297683,0,0.02,0,0.07,0,0.021441,0,0,0,0,0,0.25,0
"2","200361","samp. P39452","GARNET","ALMANDINE","RHYOLITE, GARNET-BIOTITE",37.5,0.25,19.5,0.17,36.2,5.1,0.8,1.3,0,0.23,0.0973,0,0.061,0.01,0.1,0,0,0.0174287899648157,0,0,1.16,0
"3","234794","samp. CONCENTRATE","GARNET","ALMANDINE","LHERZOLITE, XENOLITH",38.6666,0.067485,21.6906,0.02065,24.1775,6.59865,7.06561,0.498964,0.004332,0.008494,0.061566,0,0,0,0.007744,0,0,0.05,0,0,2.22,0
"4","199696","samp. 161-976B-76R-1,45-49","GARNET","ALMANDINE","SCHIST",36.9855383465072,0.0400334029227557,20.8175750050961,0.0380079236864374,35.2759351442334,2.33946506986028,1.51747285291214,3.66850886453821,0.0144545036059537,0.00269606521152859,0.02,0,0.09,0.01,0,0,0,0.100837999082148,0,0,0.25,0
"5","236049","samp. MV9","GARNET","ALMANDINE","GRANITE, ALKALI FELDSPAR",37.22,0.06,20.9,0.04,32.42,0.87,5.37,1.37,0,0,0.02,0.00046,0.12,0,0,0,0,0.01,0,0,2.73,0
"6","200024","samp. 161-976E-14R-1,98-102","GARNET","ALMANDINE","SCHIST",37.1588378551592,0.133444676409186,20.8251312936642,0.0146184321870913,29.5649363439397,5.63878243512974,1.26870681145114,5.72163420583203,0,0.0202204890864644,0.022,0,0,0,0.040168,0,0,0.01,0,0,3.86,0
"7","200073","samp. 161-976B-76R-1,03-07","GARNET","ALMANDINE","SCHIST",37.1866513565478,0.123436325678497,20.9063613957712,0,31.5732420720898,6.56365469061876,0.655083909180652,4.00940514762095,0.00361362590148842,0,0.02,0,0.08,0,0.01,0,0,0.06,0,0,2.73,0
"8","235565","samp. LH5R","GARNET","ALMANDINE","RHYOLITE",36.8,0.02,20.59,0.01,36.12,1.35,2.64,1.17,0.01,0.0334,0.0853,0.00046,0.07,0.03,0.05,0,0,0,0,0,5.9,0
"9","235738","samp. 12FW106","GARNET","ALMANDINE","LEUCOGRANITE, MUSCOVITE",36.63,0.1469,21.366,0.09,28.623,0.347,0.19,14.404,0.83,0.09,0.07,0.41,0.162,0.018,0.14,0,0,0.149,0,0,4.25,0
"10","235565","samp. LH5R","GARNET","ALMANDINE","RHYOLITE",36.8,0.02,20.59,0.01,36.12,1.35,2.64,1.17,0.01,0.0334,0.0853,0.00046,0.07,0.03,0.05,0,0,0,0,0,5.9,0
"11","203078","samp. 14/01/1038","GARNET","ALMANDINE","KIMBERLITE",38.62,0.06,22.29,0,23.44,7.06,7.92,0.41,0,0.03,0.012,0,0,0,0,0,0,0.01,0,0,4.93,0
"12","199595","samp. 161-976B-74X-1,30-34","GARNET","ALMANDINE","SCHIST",36.3565253151036,0.0200167014613779,20.9516991271797,0,33.5519571328809,1.70702594810379,1.80106614017769,5.18188175761768,0.0108408777044652,0.0161763912691715,0.033841,0,0.12,0.02,0,0,0,0,0,0,0.73,0
"13","223753","samp. RHY07","GARNET","ALMANDINE","RHYOLITE",37.87,0.4,20.67,0.03,31.54,5.9,2.88,1.51,0.02,0,0.07,0,0.05,0,0.06,0,0,0,0,0,0.25,0
"14","199603","samp. 161-976B-74X-1,30-34","GARNET","ALMANDINE","SCHIST",36.1661098055971,0.140116910229645,20.8232422215222,0,32.1020144322882,2.97750099800399,1.25875616979269,6.63972987731625,0.00120454196716281,0.0161763912691715,0.03,0,0.05,0.0062,0.0377,0,0,0,0,0,2.66,0
"15","210499","samp. PQ01-40P","GARNET","ALMANDINE","RHYOLITE",36.47,0.02,20.78,0,36.05,0.72,1.2,4.58,0.005,0.04,0.069789,0,0.07,0.01,0.02178,0,0,0.077,0,0,6.06,0
"16","231082","samp. 10-84","GARNET","ALMANDINE","GRANULITE",39.14,0.06,21.85,0.05,26.08,6.36,7.37,0.65,0,0.04,0.0786,0,0.09,0,0.01,0,0,0,0,0,4.93,0
"17","199798","samp. 161-976B-76R-1,45-49","GARNET","ALMANDINE","SCHIST",37.1823723563341,0.0533778705636743,20.8232422215222,0.03362239403031,35.1614321270614,2.80120159680639,1.1111549851925,3.31986493865812,0.0252953813104189,0,0.02,0.00097,0.06,0,0.01,0,0,0.04606180204987,0,0,1.67,0
"18","232635","samp. AUP1-02","GARNET","ALMANDINE","AMPHIBOLITE",36.6645,0.0778,20.7442,0,26.47,9.7564,1.2907,2.1616,0.0244,0.0471,0.007025,0,0,0,0.0067,0,0,0.01,0,0,1.16,0
"19","199774","samp. 161-976B-76R-1,45-49","GARNET","ALMANDINE","SCHIST",37.1887908566546,0.0617181628392484,20.6853399551545,0.0409316101238557,36.8493867172811,3.18598203592814,0.898874629812438,2.27135061341876,0.00963633573730244,0.022916554297993,0.02,0.00097,0,0,0.01,0,0,0.0199186171026465,0,0,0.25,0
"20","210337","samp. Y53","GARNET","ALMANDINE","GRANULITE",38.97,0.16,21.58,0.01,23,6.62,9,0.56,0.007,0.028,0.03,0,0.026,0,0,0,0,0,0,0,2.73,0
"21","230423","samp. WR13-18","GARNET","ALMANDINE","NOT GIVEN",38.81,0.09,22.26,0.02,21.32,6.78,9.39,0.44,0,0.01,0.03831,0,0.03,0,0,0,0,0,0,0,5.9,0
"22","232534","samp. ZGL14-35-1","GARNET","ALMANDINE","AMPHIBOLITE",37.77,0.08,21.26,0.08,27.672,8.91,1.58,3.24,0.01,0.02,0.014,0,0.07,0,0,0,0,0,0,0,2.65,0
"23","231606","samp. SA-05","GARNET","ALMANDINE","GNEISS, ORTHO",37.61,0,21.33,0.03,33.39,1.22,4.27,2.47,0,0,0,0,0,0,0.01,0,0,0,0,0,3.86,0
"24","234878","samp. CONCENTRATE","GARNET","ALMANDINE","LHERZOLITE, XENOLITH",38.8303,0.124051,21.7145,0.02782,23.7242,6.77944,7.27508,0.511236,0.006997,0.021846,0.057649,0,0,0,0,0,0,0,0,0,2.73,0
"25","233197","samp. M26","GARNET","ALMANDINE","GRANITE, BIOTITE",36.7,0,20.8,0,36.1,0.6,2,4.5,0.004,0,0.018,0,0.04,0.01,0.004891,0,0,0.09,0,0,6.06,0
"26","200299","samp. 10201","GARNET","ALMANDINE","RHYOLITE",36.26,0.27,20.54,0,39.02,2.46,1.22,0.26,0.02,0.08,0.1183,0,0.07,0.01,0.07,0,0,0.02,0,0,2.68,0
"27","232849","samp. S205","GARNET","ALMANDINE","GRANITE",36.23,0.00867,20.59,-0.00379,34.44,1.11,2.08,5.3,0,0,0.025,0,0.33,0.002,0.00795,0,0,0.02,0,0,6.06,0
"28","202051","samp. KO-1","GARNET","ALMANDINE","RHYOLITE",37.97,0.45,20.96,0,29.4444,5.69,3.45,0.86,0.01,0.04,0.060441,0,0.073,0,0.02,0,0,0,0,0,5.9,0
"29","230315","samp. WR13-18","GARNET","ALMANDINE","NOT GIVEN",38.45,0.13,21.59,0,24.14,7.43,7.2,0.34,0,0.06,0.02,0,0,0,0.035,0,0,0,0,0,2.73,0
"30","235416","samp. CEEA-2-C4","GARNET","ALMANDINE","GRANITE",37.06,0.04,21.54,0,32.71,1.31,4.53,2.4,0,0.02,0.032,0,0,0,0.01,0,0,0.0933685176686553,0,0,0.69,0
