"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","389158","samp. HK2013-H3-A","OLIVINE","FAYALITE","NOT GIVEN",30.694,0.048,0.016,0.011,61.498,0.246,5.211,2.114,0,0,0,0.0702,0,0,0,0,0,0,0,0,0,0
"2","442557","samp. MS125","OLIVINE","FAYALITE","NOT GIVEN",33.1,0.3,0,0,47.58,0.11,18.34,0.65,0.013,0,0.11,0.0702,0,0,0.06,0,0,0,0,0,0,0
"3","437259","samp. YP414","OLIVINE","FAYALITE","NOT GIVEN",29.4323061541025,0,0,0.02,65.8369560746531,0.186776628846317,2.21055608936555,1.93535965124728,0.01,0,0.23,0,0,0,0,0,0,0,0,0,0,0
"4","329899","samp. 2H4","OLIVINE","FAYALITE","NOT GIVEN",29.0766666666667,0.02,0.021,0.0276666666666667,66.2083553666667,0.238666666666667,1.10033333333333,3.00233333333333,0.021,0.03,0.11,0.05,0,0,0.00966666666666667,0,0,0,0,0,0,0
"5","306688","samp. SG06-3","OLIVINE","FAYALITE","NOT GIVEN",32.243,0.152,0,0.11,54.814,1.013,10.033,1.644,0.012,0,0.23,0,0,0,0.148,0,0,0,0,0,0,0
"6","389310","samp. HK2013-1845-A","OLIVINE","FAYALITE","NOT GIVEN",33.239,0.037,0.015,0,45.604,0.247,19.369,1.197,0,0.029,0.0512,0.3376,0,0,0,0,0,0,0,0,0,0
"7","384011","samp. ER40","OLIVINE","FAYALITE","BASALT",33.8,0.14,0.05,0.04,45.4,0.36,18.5,0.74,0,0.031,0.06,12.8,0,0,0.03,0,0,0,0,0,0,0
"8","341831","samp. M5.3","OLIVINE","FAYALITE","BASALT",33.08,0.12,0,0,42.56,0.26,23.21,0.7,0.03,0.015,0.18,0.0117,0,0,0.01,0,0,0,0,0,0,0
"9","329148","samp. LFAF08 067B","OLIVINE","FAYALITE","RHYOLITE",30.2348,0,0.03,0,65.1695,0.2817,3.3168,2.8187,0.000356583506844726,0,0.09,0.0117,0,0,0,0,0,0,0,0,0,0
"10","278166","samp. P(FA55)","OLIVINE","FAYALITE","TRACHYTE",32.03,0.08,0,0.02,62.3995714971781,0.62,9.05,2.67,0,0.032,0.11,0,0,0,0.0058,0,0,0,0,0,0,0
"11","441598","samp. B07-052","OLIVINE","FAYALITE","HORNFELS",29.09027,0.01,0.009,0.01,69.27592,0.3077,0.55607,1.60838,0.003,0,0.11,0.4635,0,0,0,0,0,0,0,0,0,0
"12","329164","samp. LFAF08 067C","OLIVINE","FAYALITE","RHYOLITE",30.1773,0,0.026,0.0035,64.2607,0.333,3.5969,2.4583,0,0,0.01,0.0117,0,0,0.0217,0,0,0,0,0,0,0
"13","278125","samp. SN91-32","OLIVINE","FAYALITE","BASALT, TRANSITIONAL",35.22,0.08,0.07,0.022,37.7187890020687,0.37,23.82,0.69,0,0.04,0.034616,12.8,0,0,0.0547,0,0,0,0,0,0,0
"14","281688","samp. M104","OLIVINE","FAYALITE","BASALT",34.28,0.0739,0.08,0,44.43,0.6,20.46,0.93,0.02,0.0305,0.03552,0.03,0,0,0,0,0,0,0,0,0,0
"15","438219","samp. BK1-592.4","OLIVINE","FAYALITE","NOT GIVEN",30.237809841956,0.00728813559322034,0,0,62.9314456035768,0.130219129404797,5.27253884834536,1.0060663212621,0,0.01,1.5,0,0,0,0.0494,0,0,0,0,0,0,0
"16","437432","samp. YP078","OLIVINE","FAYALITE","NOT GIVEN",29.2751575956672,0.0166703096539162,0.00755274764572655,0.02,65.9987767932272,0.177928248893522,2.21849918116185,2.01203261175148,0.014,0.02,0.0864,0.08,0,0,0,0,0,0,0,0,0,0
"17","437608","samp. YP095","OLIVINE","FAYALITE","NOT GIVEN",28.8665673189802,0.0573626373626374,0,0.017,67.8225028727829,0.355241213926914,1.13673805852616,1.6909292444116,0.01,0.01,0.2,0,0,0,0,0,0,0,0,0,0,0
"18","329127","samp. LFAF08 111B","OLIVINE","FAYALITE","RHYOLITE",29.9637,0,0.02,0,64.5259,0.24,3.3659,2.5574,0.0171,0.0327,0.38,0,0,0,0,0,0,0,0,0,0,0
"19","437133","samp. YP251","OLIVINE","FAYALITE","NOT GIVEN",29.3620395704543,0.0132160312805474,0.0160384761422605,0,66.5134784443048,0.240879805392421,2.2578701191188,1.7964461994077,0.0154,0.0073,1.1,0.3376,0,0,0,0,0,0,0,0,0,0
