"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","24134","samp. MPD1","PYROXENE","AEGERINE","SYENITE, QUARTZ",51.88,4.42,0.21,0,26.17,1.77,0,0.22,0.04,12.39,0.19,0,0,0,0.06,0,0.01,0,0,0,0.66,0
"2","27235","samp. SE126-2-1","PYROXENE","AEGERINE","NOT GIVEN",52.82,1.33,0.47,0,29.45,0.65,0,0.17,0,13.39,0.01,0,0,0,0,0,0.01,0,0,0,0.66,0
"3","24133","samp. MPD17","PYROXENE","AEGERINE","SYENITE, QUARTZ",52.21,5.12,0.01,0.08,25.91,1.39,0,0.54,0,13.07,0.1,0,0,0,0.07,0,0.01,0,0,0,1.46,0
"4","27226","samp. SE19-4-2","PYROXENE","AEGERINE","NOT GIVEN",50.43,1.74,0.19,0.01,28.17,7.33,0,0.36,0,9.19,0.1613,0,0,0,0.007,0,0,0,0,0,1.84,0
"5","24094","samp. TM122","PYROXENE","AEGERINE","RHYOLITE",51.72,1.06,0.27,0.00761381553700549,32.09,0.26,0,1.56,0.01,10.11,0.09,0,0,0,0.01,0,0,0,0,0,1.5,0
"6","27237","samp. SE126-2-3","PYROXENE","AEGERINE","NOT GIVEN",52.59,1.55,0.34,0,29.11,0.41,0,0.17,0.01,13.52,0.143,0,0,0,0.05,0,0.01,0,0,0,0.59,0
"7","24094","samp. TM122","PYROXENE","AEGERINE","RHYOLITE",51.72,1.06,0.27,0.00761381553700549,32.09,0.26,0,1.56,0.01,10.11,0.09,0,0,0,0.01,0,0,0,0,0,1.5,0
"8","27226","samp. SE19-4-2","PYROXENE","AEGERINE","NOT GIVEN",50.43,1.74,0.19,0.01,28.17,7.33,0,0.36,0,9.19,0.1613,0,0,0,0.007,0,0,0,0,0,1.84,0
"9","24094","samp. TM122","PYROXENE","AEGERINE","RHYOLITE",51.72,1.06,0.27,0.00761381553700549,32.09,0.26,0,1.56,0.01,10.11,0.09,0,0,0,0.01,0,0,0,0,0,1.5,0
"10","16423","samp. 26","PYROXENE","AEGERINE","COMENDITE",51.84,1.25,0.1,0,29.24,1.38,0,0.38,0.19,13,0.52,0,0,0,0.02,0,0,0,0,0,11.41,0
"11","24128","samp. MPD7","PYROXENE","AEGERINE","SYENITE, QUARTZ",51.28,0.19,0.29,0.02,29.98,0.63,0,0.25,0,13.22,0.01,0,0,0,0.014,0,0,0,0,0,1.14,0
"12","27234","samp. SE126-1-3","PYROXENE","AEGERINE","NOT GIVEN",52.39,0.04,0.49,0,30.04,0.04,0.02,0.29,0.01,13.56,0.12,0,0,0,0,0,0,0,0,0,1.24,0
"13","27233","samp. SE126-1-2","PYROXENE","AEGERINE","NOT GIVEN",52.51,0.03,0.24,0,30.16,0.03,0,0.24,0.01,13.77,0.09,0,0,0,0.03,0,0,0,0,0,1.42,0
"14","15725","samp. 15779","PYROXENE","AEGERINE","COMENDITE",51.92,3.21,0.25,0.03,27.25,0.31,0,0.4,0.02,13.15,0,0,0,0,0.015,0,0,0,0,0,0.45,0
"15","27239","samp. SE126-4-1","PYROXENE","AEGERINE","NOT GIVEN",52.56,0.85,0.4,0,29.79,0.46,0.01,0.14,0.02,13.45,0.1783,0,0,0,0.01,0,0,0,0,0,1.68,0
"16","24133","samp. MPD17","PYROXENE","AEGERINE","SYENITE, QUARTZ",52.21,5.12,0.01,0.08,25.91,1.39,0,0.54,0,13.07,0.1,0,0,0,0.07,0,0.01,0,0,0,1.46,0
"17","27240","samp. SE126-4-2","PYROXENE","AEGERINE","NOT GIVEN",53.17,0.03,0.4,0,30.21,0.02,0,0.54,0,13.81,0.13,0,0,0,0.016,0,0,0,0,0,0.13,0
"18","27236","samp. SE126-2-2","PYROXENE","AEGERINE","NOT GIVEN",52.01,0.04,0.19,0,30.24,0.03,0,0.19,0,13.71,0.6,0,0,0,0.07,0,0.167,0,0,0,6.82,0
"19","27239","samp. SE126-4-1","PYROXENE","AEGERINE","NOT GIVEN",52.56,0.85,0.4,0,29.79,0.46,0.01,0.14,0.02,13.45,0.1783,0,0,0,0.01,0,0,0,0,0,1.68,0
"20","27236","samp. SE126-2-2","PYROXENE","AEGERINE","NOT GIVEN",52.01,0.04,0.19,0,30.24,0.03,0,0.19,0,13.71,0.6,0,0,0,0.07,0,0.167,0,0,0,6.82,0
