"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","501360","samp. AS9","SPINEL","AL-SPINEL","GABBRO",0.2658,0.2158,68.119,0.0877,8.9692,0.0919,21.5338,0.3002,0.02,0.1333,0.0294,0,0,0,0.48,0,0,2.64,0,0,0,0
"2","518840","samp. S-13","SPINEL","AL-SPINEL","LHERZOLITE, SPINEL, XENOLITH",0.15,0.1338,58.35785,7.76765,10.5999,0.01,19.9722,0.17,0.061,0,0.0562,0,0,0,0.40155,0,0,0.205,0,0,0,0
"3","504862","samp. PE 21","SPINEL","AL-SPINEL","BASALT, ALKALINE",0.01,0.27,63.7,0.02,20.7,0.03,14.2,0.26,0.01,0,0,0,0,0,0.17,0,0,0.15,0,0,0,0
"4","471014","samp. I6","SPINEL","AL-SPINEL","ORTHOPYROXENITE, OLIVINE, XENOLITH",0.026,0.153,61.86,3.703,14.21,0.002,18.97,0.126,0.001,0.003,0.203,0,0,0,0.319,0,0,0.095,0,0,0,0
"5","485634","samp. AH3AX10","SPINEL","AL-SPINEL","NOT GIVEN",0.069,0,65.404,0.015,12.85,0.024,23.612,0.388,0.013,0.03,0.0527,0,0,0,0.167,0,0,0.54,0,0,0,0
"6","477587","samp. TL 5","SPINEL","AL-SPINEL","GABBRONORITE",0.06,0.09,63.17,3.17,12.27,0.01,19.64,0.8,0.05,0.029,0.02,0,0,0,0.28,0,0,0.2484,0,0,0,0
"7","472663","samp. 77SL-8","SPINEL","AL-SPINEL","PYROXENITE, XENOLITH",0.11,0.2,61.89,1.44,18.2,0.01,17.81,0.2,0.01,0,0.01,0,0,0,0.18198466,0,0,0.26,0,0,0,0
"8","484680","samp. P-6","SPINEL","AL-SPINEL","PERIDOTITE, XENOLITH",0.09,0.18,61.1,4.56,13.5,0.01,20,0.2,0.002125,0,0.0104,0,0,0,0.1,0,0,0.12,0,0,0,0
"9","498207","samp. KOZ-4","SPINEL","AL-SPINEL","WEBSTERITE, XENOLITH",0.08,0.05,62.36,4.76,9.46,0.07,21.68,0.07,0.03,0.042,0.0839,0,0,0,0.23,0,0,0.01,0,0,0,0
"10","514243","samp. LULIANGSHAN","SPINEL","AL-SPINEL","CARBONATITE",1.045,0.01,69.64,0.09,13.38,0.114,27.65,0.17,0.073,0.03,0.06,0,0,0,0.9134,0,0,0.47,0,0,0,0
"11","514254","samp. LULIANGSHAN","SPINEL","AL-SPINEL","CARBONATITE",0.99,0.25,68.76,0.03,12.92,0.03,28.09,0.184882892857143,0.0564,0.32,0.06,0,0,0,0.06,0,0,1.64,0,0,0,0
"12","485707","samp. AH3AX-16","SPINEL","AL-SPINEL","NOT GIVEN",0.06,0.11,61.35,0,20.98,0,23.02,0.24,0.02,0.017,0,0,0,0,0.07,0,0,0.14,0,0,0,0
"13","505538","samp. DAL","SPINEL","AL-SPINEL","PERIDOTITE, XENOLITH",40.9674,0.0636,0.0129,0.0122,9.7606,0.061,48.7656,0.1113,0.45875,20.23,0.0833333333333333,0,0,0,0.3437,0,0,1.3443,0,0,0,0
"14","485717","samp. AH3AX-92","SPINEL","AL-SPINEL","NOT GIVEN",0.172,0.05,67.079,0,11.99,0.03,24.961,0.125,0.041,0.6674,0.01,0,0,0,0.011,0,0,2.55,0,0,0,0
"15","485642","samp. AH3AX12","SPINEL","AL-SPINEL","NOT GIVEN",0.085,0.101,64.377,0,12.36,0.003,23.519,0.326,0.02,0,0.04,0,0,0,0.3148,0,0,1.41,0,0,0,0
"16","473766","samp. QL 13","SPINEL","AL-SPINEL","PYROXENITE, GARNET, XENOLITH",0.1,0.09,63.06,2.65,13.6,0.06,19.5,0.28,0.04,0.018,0.04,0,0,0,0.49,0,0,0.31,0,0,0,0
"17","506938","samp. C194","SPINEL","AL-SPINEL","WEBSTERITE, PLAGIOCLASE-OLIVINE",0.01,0,62.4,0.27,21.39,0,15.5,0.15,0,0.03,0.02,0,0,0,0.19,0,0,0.499,0,0,0,0
"18","473761","samp. Q9325","SPINEL","AL-SPINEL","PYROXENITE, SPINEL, XENOLITH",0.05,0.08,62.52,1.25,14.21,0.01,20.26,0.12,0.01,0,0,0,0,0,0.29,0,0,0.1321,0,0,0,0
"19","473073","samp. TG81-1","SPINEL","AL-SPINEL","WEBSTERITE, SPINEL-GARNET-AMPHIBOLE, XENOLITH",0.02,0,62.36,1.73,17.07,0.02,19.11,0.26,0,0.051,0,0,0,0,0.27,0,0,0.362,0,0,0,0
"20","504860","samp. OL 61","SPINEL","AL-SPINEL","HAWAIITE",0.01,0.1,64.7,0.01,17,0.01,16.1,0.21,0,0.01,0.08,0,0,0,0.275,0,0,0.476112,0,0,0,0
"21","466441","samp. PI-2-80","SPINEL","AL-SPINEL","LHERZOLITE, SPINEL, XENOLITH",0.287,0.19,51.21,12.3,10.846,0.11,19.43,0,0.029,0.0518,0.04,0,0,0,0.37,0,0,0.218,0,0,0,0
"22","505390","samp. LY401-9 OCZ","SPINEL","AL-SPINEL","PERIDOTITE, XENOLITH",0.07,0.01,61.87,0.05,11.66,0.03,24.51,0.18,0.01,0.32,0.05,0,0,0,0.05,0,0,0.439233,0,0,0,0
"23","486981","samp. AT 10","SPINEL","AL-SPINEL","LHERZOLITE, SPINEL, XENOLITH",0.1434,0.0192,58.4685,7.6046,12.0365,0,20.0913,0.128,0.0392,8e-04,0.02,0,0,0,0.4479,0,0,0,0,0,0,0
"24","472332","samp. BM 626","SPINEL","AL-SPINEL","PYROXENITE, SPINEL, XENOLITH",0,0,61.38,8.49,10.79,0.03,19.46,0.14,0,0,0,0,0,0,0.31,0,0,0.1892,0,0,0,0
"25","485643","samp. AH3AX12","SPINEL","AL-SPINEL","NOT GIVEN",0.055,0.096,63.519,0,12.5186931017264,0.005,22.283,0.181,0.01,0,0,0,0,0,0.09625,0,0,0.23,0,0,0,0
"26","485717","samp. AH3AX-92","SPINEL","AL-SPINEL","NOT GIVEN",0.172,0.05,67.079,0,11.99,0.03,24.961,0.125,0.041,0.6674,0.01,0,0,0,0.011,0,0,2.55,0,0,0,0
"27","481814","samp. 12","SPINEL","AL-SPINEL","NOT GIVEN",0.01,0.09,62.83,0.06,19.61,0.199,16.19,0.97,0.01,0.03,0.03,0,0,0,0.01,0,0,0.51,0,0,0,0
"28","514274","samp. LULIANGSHAN","SPINEL","AL-SPINEL","CARBONATITE",1.69,1.59,68.29,0.01,22.05,0.147,27.19,0.28,0.171,0.053,0,0,0,0,10.3313007406866,0,0,0.2249,0,0,0,0
"29","472348","samp. DR 9917","SPINEL","AL-SPINEL","WEHLERITE, XENOLITH",0,0,61.24,2.72,16.66,0,19.25,0.12,0,0,0,0,0,0,0.2,0,0,0.23,0,0,0,0
"30","490071","samp. TL 380","SPINEL","AL-SPINEL","METAPELITE",0.1092,0.1502,62.5331,0.1361,30.3265,0.02,8.6715,0.2595,0.002,0.016,0,0,0,0,0.021,0,0,0.0496,0,0,0,0
"31","520291","samp. TG62","SPINEL","CHROME-SPINEL","NOT GIVEN",0.01,1.86,21.18,36.71,21.786,0,11.36,0.27,0.009,0,0.01,0,0,0,0.21,0,0,0.1,0,0,0,0
"32","472641","samp. XE6B","SPINEL","CHROME-SPINEL","DUNITE, XENOLITH",0.01,0.13,34.06,33.74,15.97,0,14.33,0.07,0,0.001,0,0,0,0,0.12,0,0,0.52,0,0,0,0
"33","506339","samp. SO193DR14-14","SPINEL","CHROME-SPINEL","THOLEIITE",0.0731,0.21505,20.0533639231431,47.6072754875628,22.628,0,12.2175922923711,0.214384973733769,0.0173,0,0,0,0,0,0.10075,0,0,0.2,0,0,0,0
"34","501130","samp. ORKZC7A","SPINEL","CHROME-SPINEL","LHERZOLITE, XENOLITH",0.051,0.06,40.76,26.41,14.21,0,17.74,0.15,0.01,0,0,0,0,0,0.29,0,0,0.15,0,0,0,0
"35","476548","samp. PICTON QUARRY","SPINEL","CHROME-SPINEL","KIMBERLITE",0.311,2.271,40.564,13.114,20.4,0.203,18.497,0.354,0,0,0,0,0,0,0.2543,0,0,0.1,0,0,0,0
