"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","X1"
"1","514194","samp. 81-1-178.6B","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","BASALT, OLIVINE",0,0,0,0,25.6068085598,0.51,0,0,0.11,1.66,0,0,0,0,14.0564980128,44.0960254842,0.2915446315,0.4978836,0.20467503,29.3413,0,0,NA
"2","514279","samp. 81-1-169.9","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","NOT GIVEN",0,0,0,0,26.9925179004,0.51,0,0,0.01,0.2,0,0,0,0,1.3579786548,60.3168591058,0.0507310545,0.14936508,0.19390266,30.0379,0,0.56,NA
"3","514248","samp. 75-1-130.5","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","BASALT, OLIVINE",0,0,0,0,27.0580236576,0.51,0,0,0.11,0.2,0,0,0,0,2.6268761496,59.4493076518,0.154354637,1.7425926,0,30.0705,0,14.75,NA
"4","512095","samp. TC0248","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,23.39688754,0.21,0,0,0.11,0.2,0,0,0,0,53.94500532,3.91837814,2.1869026,0,0.06463422,32.44,0,0,NA
"5","512242","samp. TC0242/2","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","HARZBURGITE, XENOLITH",0,0,0,0,25.7047908,0.21,0,0,0.11,0.63,0,0,0,0,50.3308554,4.14371618,2.4920518,0,0,33.35,0,0.12,NA
"6","512938","samp. 80H1","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","CARBONATITE",0,0,0,0,27.32170506,0.51,0,0,0.11,0.2,0,0,0,0,46.01678208,0,0.77558755,0.06223545,0,36.58,0,0.12,NA
"7","512257","samp. TC0248","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,22.85791612,0.16,0,0,0.01,0.63,0,0,0,0,58.00456104,1.71507286,1.89446795,0.13691799,0.7540659,33.94,0,0.12,NA
"8","512253","samp. TC0247","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,3.75898016,0.21,0,0,0.11,0.63,0,0,0,0,67.5744228,1.84026066,6.70056785,0,0.19390266,36.68,0,0,NA
"9","512280","samp. TC0248","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,19.38915134,0.16,0,0,0.11,0.2,0,0,0,0,58.3481598,5.49574442,1.99618435,0,0.06463422,33.97,0,0.03,NA
"10","512274","samp. TC0248","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,17.31618434,0.16,0,0,0.11,1.66,0,0,0,0,45.38048808,16.66249618,1.86903885,0.02489418,0.06463422,33.84,0,0.02,NA
"11","512066","samp. TC0223","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","PYROXENITE, SPINEL, XENOLITH",0,0,0,0,27.65337978,0.51,0,0,0.01,0.63,0,0,0,0,42.22446984,0.52578876,6.5861369,0.06223545,0.19390266,37.96,0,0.12,NA
"12","512288","samp. TC0276/1","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","HARZBURGITE, XENOLITH",0,0,0,0,26.58925672,0.21,0,0,0.11,1.66,0,0,0,0,55.26849684,2.27841796,1.7546079,0,0,32.82,0,0,NA
"13","514131","samp. P-20","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","PERIDOTITE, XENOLITH",0,0,0,0,25.71170069,0.51,0,0,0.11,1.66,0,0,0,0,53.600133972,0,0.38652232,0,0.11849607,36.78,0,0.02,NA
"14","513218","samp. ISL2","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,20.8957096904081,0.21,0,0,0.11,0.63,0,0,0,0,5.48131994065662,23.9836886662733,2.1106153,0,0,36,0,14.61,NA
"15","512261","samp. TC0248","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,23.39688754,0.16,0,0,0.11,1.66,0,0,0,0,53.94500532,3.91837814,2.1869026,0.3734127,0.16158555,32.44,0,0.13,NA
"16","512108","samp. TC0248","SULFIDE","ALABANDITE/BROWNEITE/RAMBERGITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,17.31618434,0.21,0,0,0.01,0.2,0,0,0,0,45.38048808,16.66249618,1.86903885,0.02489418,0,33.84,0,0,NA
