"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","AS_ppm","PBO","S","ZRO2","GROUP"
"1","[743] FRIKH-KHAR D. I. (1988)","samp. 1","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"CARBONATITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.06,57.5,0.08,0,1.71,37.23,0.1,0.03,0.01,0.07,0.0383636363636364,0.19,0.16,0,0.059,0,0,0,0,0,0,0,"PEROVSKITE"
"2","[743] FRIKH-KHAR D. I. (1988)","samp. 1","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"CARBONATITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.04,58.76,0.13,0.77,2.58,37.88,0.4,0.03,0.1027,0,0.08,0.19,0.184,0,0.015,0,0,2.22334,0,0,0,0.595,"PEROVSKITE"
"3","[743] FRIKH-KHAR D. I. (1988)","samp. 1","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"CARBONATITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.03851,56.98,0.06,0.03,1.364,37.58,0.1,0.03,0.0082,0.15,0.07,0.42,0.171,0,0.017,0,0,0,0,0.25,0,0.12,"PEROVSKITE"
"4","[743] FRIKH-KHAR D. I. (1988)","samp. 1","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"CARBONATITE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.08,56.98,0.13,0.247,1.91,36.21,0.037,0.01,0.097,0.07,0.0512857142857143,0.19,0.109,0,0.0178,0,0,0,0,0.25,0,0.11,"PEROVSKITE"
"5","[932] FERGUSON A. K. (1978)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / TENERIFE",NA,28,28.6,-16.1,-16.9,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",3.6,35.8,0.41,1.38,1.07,2.42,2.49,0,0.43,10.7,0.08,0.42,0.063,0,0.0227,0,0,1.889767,0,0,0,0.2,"PEROVSKITE"
"6","[962] WOLFF J. A. (1987)","samp. SX3","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","LOPARITE","1337",NA,NA,NA,"primary",9.77,38.61,0.434,1,1.27,4.44,0.355,0.3580924,0.55,9.18,0.63,0.19,0.112,0.003,0.029,0,0,0,0,0.16,0,0.555,"PEROVSKITE"
"7","[962] WOLFF J. A. (1987)","samp. S1/4","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","LOPARITE","1342",NA,NA,NA,"primary",0.35,39.89,0.59,1.05,0.93,4.04,2.07,0,0.149,9.76,0.2,0.33,0.06,0,0.002,0,0,0,0,0,0,0.6,"PEROVSKITE"
"8","[962] WOLFF J. A. (1987)","samp. S1/4","OCEAN ISLAND","CANARY ISLANDS / TENERIFE / LAS CANADAS CALDERA",NA,28.3,28.3,-16.6,-16.6,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,"extensively altered","LOPARITE","1344",NA,NA,NA,"primary",1.2959,37.37,0.453,1.74,1.46,3.23,0.23,0,0.156,10.94,0.19,0.33,0.06,0,0.079,0,0,0,0,0.12,0,0.47,"PEROVSKITE"
"9","[2422] GIBSON S. A. (1999)","samp. 93SOB162","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZO / BRAZIL_MESOZOIC / LAGES VOLCANIC FIELD","CERRO ALTO DE CIMA, SANTA CATARINA",-27.58,-28,-50,-50.35,"subaerial",NA,NA,"MELILITITE, OLIVINE",NA,NA,NA,"fresh","PEROVSKITE",NA,NA,NA,NA,"primary",0.21,57.91,0.06,0.05,0.2371525,38.94,0.0688,0.02,0.126,1.11,0.0383636363636364,0.19,0.093,0,0.06,0,0,0.02,0,0,0,0,"PEROVSKITE"
"10","[2422] GIBSON S. A. (1999)","samp. 93SOB168","INTRAPLATE VOLCANICS","CIRCUM-PARANA ALKALINE VOLCANIC PROVINCES - MESOZO / BRAZIL_MESOZOIC / LAGES VOLCANIC FIELD","CHAPADA, SANTA CATARINA",-27.58,-28,-50,-50.35,"subaerial",NA,NA,"NEPHELINITE","FINE-GRAINED GROUNDMASS",NA,NA,NA,"PEROVSKITE",NA,NA,NA,NA,"primary",0.23,55.81,0.03,0.27,1.09,35.66,0,0,0.094,0.74,0,0.19,0.133,0.00566666666666667,0.01,0,0,0,0,0,0,0,"PEROVSKITE"
"11","[3727] DAWSON J. B. (1978)","samp. M6463/186","OCEANIC PLATEAU","ONTONG JAVA / MAIN (HIGH) PLATEAU - MALAITA",NA,-7.94,-9.25,160.79,161.91,"subaquatic",NA,NA,"ALN<d6>ITE",NA,NA,NA,NA,"PEROVSKITE",NA,"groundmass",NA,NA,"primary",0.4,56.8,0.358,0.234,1.124,40.4,0.09,0.03228,0,0.209,0.05,0.33,0.298,0.003,0.01,0,0,0,0,0,0,0,"PEROVSKITE"
