"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","AS_ppm","PBO","S","ZRO2","GROUP"
"1","[4289] BLUNDY J. D. (2001)","samp. SH149","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / WASHINGTON / MOUNT ST. HELENS",NA,46.2,46.2,-122.18,-122.18,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"QUARTZ",NA,"groundmass",NA,NA,"primary",100.44,0.03,0.64,0.013,0.12,0.11,0.01,0.02,0.04,0.22,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"2","[6338] FRENZEL G. (1990)","samp. 17","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER",NA,-18.5,-18.75,-175.75,-176.5,"subaquatic",NA,NA,"DACITE",NA,NA,NA,NA,"QUARTZ","1",NA,NA,NA,"primary",98.03,0.18,0.44,0,0.4,0.33,0.06,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"3","[6338] FRENZEL G. (1990)","samp. 17","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER",NA,-18.5,-18.75,-175.75,-176.5,"subaquatic",NA,NA,"DACITE",NA,NA,NA,NA,"QUARTZ","2",NA,NA,NA,"primary",96.47,0.24,0.82,0,0.182,0.47,0,0,0.25,0.37,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"4","[6338] FRENZEL G. (1990)","samp. 17","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER",NA,-18.5,-18.75,-175.75,-176.5,"subaquatic",NA,NA,"DACITE",NA,NA,NA,NA,"QUARTZ","3",NA,"intermediate zone",NA,"primary",97,0,0.74,0,0.2483,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"5","[6338] FRENZEL G. (1990)","samp. 17","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER",NA,-18.5,-18.75,-175.75,-176.5,"subaquatic",NA,NA,"DACITE",NA,NA,NA,NA,"QUARTZ","4",NA,"rim",NA,"primary",96.88,0.19,0.74,0,0,0.12,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"6","[6338] FRENZEL G. (1990)","samp. 72/2","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / VALU FA RIDGE",NA,-22.08,-22.5,-176.57,-176.7,"subaquatic",NA,NA,"ANDESITE",NA,NA,NA,NA,"QUARTZ","5",NA,"core",NA,"primary",98.7,0,0.05,0.06,0.283228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"7","[6338] FRENZEL G. (1990)","samp. 72/2","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / VALU FA RIDGE",NA,-22.08,-22.5,-176.57,-176.7,"subaquatic",NA,NA,"ANDESITE",NA,NA,NA,NA,"QUARTZ","6",NA,"rim",NA,"primary",98.69,0.18,0.3,0.06,1.08,0.36,0,0.05,0.44,0.13,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"8","[6338] FRENZEL G. (1990)","samp. 72/2","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / VALU FA RIDGE",NA,-22.08,-22.5,-176.57,-176.7,"subaquatic",NA,NA,"ANDESITE",NA,NA,NA,NA,"QUARTZ","7",NA,NA,NA,"primary",100.85,0,0.09,0,0.174,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"9","[6338] FRENZEL G. (1990)","samp. 72/2","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / VALU FA RIDGE",NA,-22.08,-22.5,-176.57,-176.7,"subaquatic",NA,NA,"ANDESITE",NA,NA,NA,NA,"QUARTZ","8",NA,NA,NA,"primary",100.43,0.08,0.06,0,0.216,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
"10","[6338] FRENZEL G. (1990)","samp. 72/2","CONVERGENT MARGIN","TONGA ARC / LAU BASIN / VALU FA RIDGE",NA,-22.08,-22.5,-176.57,-176.7,"subaquatic",NA,NA,"ANDESITE",NA,NA,NA,NA,"QUARTZ","9",NA,NA,NA,"primary",96.64,0.25,0.67,0,0.03,0.56,0.06,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,"QUARTZ"
