"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1",33572,"samp. H-4-74","APATITE","APATITE","HAWAIITE",1.08,0.04,0,0.01,0.3805,52.7,0.23,0.247,0.0088,0,40.5,0.0414267694897143,4.64,0.48,0,0,0,0,0,0,0,0
"2",33573,"samp. H-84-3","APATITE","APATITE","HAWAIITE",0.14,0,0.03411216,0,0.224455906159364,53.88,0.49,0.08,0.02,0.21,40.92,0.0132309050401268,3.75,0.392,0.0098,0,0,0,0,0.02,0.7485,0
"3",33574,"samp. H-22-74","APATITE","APATITE","MUGEARITE",0.34,0,0.002004,0.0348,0,53.8,0.03,0.237431975787277,0.01,0.118,41.2,0.0371918602368867,3.59,0.44,0,0,0,0,0,0.01,0.742,0
"4",33575,"samp. H-84-25","APATITE","APATITE","MUGEARITE",0.17,0.02,0.243,0.01,1.02595,53.36,0.48,0.1,0.16,0.01,40.53,0.11172582520465,3.45,0.23,0,0,0,0,0,0,0.14,0
"5",33576,"samp. H-28-74","APATITE","APATITE","BENMOREITE",0.265,0,0,0,0.086,53.5,0,0.02,0.02,0.128,41.1,0.0581176244376962,4.2,0.3,0,0,0,0,0,0.02,0.07,0
"6",33577,"samp. H-84-62","APATITE","APATITE","BENMOREITE",0.08,0,0,0,0.2,53.27,0.43,0.13,0.0605,0.09,40.8,0.626664502999063,2,0.83,0,0,0,0,0,0.02,0,0
"7",33578,"samp. H-84-61","APATITE","APATITE","TRACHYTE",0.17,0.02,0,0.01,0.581,53.18,0.38,0.13,0.0095,0.225,40.02,-0.046762398005165,3.68,0.294,0,0,0,0,0,0,0.6369,0
"8",33579,"samp. 90SAV1-1","APATITE","APATITE","HARZBURGITE, XENOLITH",0.27,0,0.06,0.02,0.393,52.16,0.43,0.0742,0.085,0.385158826086957,40.85,-0.0846354258259858,4.82,0.3,0.0098,0,0,0,0,0.02,0.5983,0
"9",33580,"samp. TBA1-9","APATITE","APATITE","WEHLERITE, XENOLITH",0.31,0,0.09,0,0.2501,51.87,0.43,0.055,0.01,0.204,39.9,0,5.51,0.3,0,0,0,0,0,0.01,0.7671,0
"10",33581,"samp. TBA4-11","APATITE","APATITE","DUNITE, XENOLITH",0.38,0,0,0,0.278,53.98,0.34,0.09,0,0.06,40.33,-0.129440851099831,4.4,0.23,0,0,0,0,0,0.02,0.6461,0
"11",33582,"samp. 1","APATITE","APATITE","CARBONATITE",0.56,0.016,0,0,0.44,53.13,0.36,0.091,0,0.073,38.58,0.947907252626606,1.66,0.29,0,0,0,0,0,0.17,0.24,0
"12",33583,"samp. 4","APATITE","APATITE","NOT GIVEN",0.16,0,0.017,0.006,0.14,50.47,0.01,0.03,0.01,0.04,48.25,0.755641524098199,1.15,0.3731,0,0,0,0,0,0,0,0
"13",33584,"samp. 1","APATITE","APATITE","SYENITE, NEPHELINE",0.15,0.002,0.08393916,0.012,0.109,48.4,0.057,0.07,0.11334746557607,1.38,37.9,0.0908614093189055,4.48,0,0,0,0,0,0,0.02,0.1,0
"14",33585,"samp. HSK26","APATITE","APATITE","RHYOLITE",3.66,0.09,0.17,0.06,0.27,49.96,0.09,0.28,0.27,0.231,38.12,0.693870638302443,2.22,0.096,0.028,0,0,0,0,0.17,0.08,0
"15",33586,"samp. JAN168","APATITE","APATITE","TRACHYTE",0.97,0,0.1438388,0.0348,0.79,49.83,0.23,0.25,0.0454,0.3082885,38.45,0.89,1.34,0.43,0.01,0,0,0,0,0.08,0.08,0
"16",33587,"samp. JAN175","APATITE","APATITE","TRISTANITE",0.56,0.043,0.1619481,0.02,0.28,49.87,0.06,0.26,0.15,0.162,39.04,0.288158529390858,3.39,0.09,0.01,0,0,0,0,0.02,0,0
"17",33588,"samp. JAN37","APATITE","APATITE","TRISTANITE",0.34,0,0.195,0,0.52,51.51,0.29,0.1,0.072,0.29,39.88,0.871055232289323,1.7,0.38,0,0,0,0,0,0.01,0,0
"18",33589,"samp. JAN70","APATITE","APATITE","TRISTANITE",0.24,0,0.02,0.038,0.4,52.14,0.29,0.1,0.00494604536186565,0.337,42.54,0.880597712336663,0.91,0.33,0,0,0,0,0,0.01,0.5748,0
"19",33590,"samp. JAN89","APATITE","APATITE","TRISTANITE",0.26,0.05,0.143707584147871,0.026,0.35,52.14,0.24,0.11,0.044,0.326,40.08,0.431474843260102,2.53,0.34,0.02,0,0,0,0,0.01,0.04,0
"20",33591,"samp. JAN52","APATITE","APATITE","BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE",0.24,0.04,0.03,0.02,1.11,53,0.54,0.13,0.004,0.578,41.11,0.964536593021501,1.68,0.27,0.02,0,0,0,0,0,0.06,0
"21",33592,"samp. JAN69","APATITE","APATITE","BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE",0.17,0.004,0,0,1.03,52.01,0.34,0.14,0,0.105302,40.51,0.495499573113202,2.46,0.3,0,0,0,0,0,0,0.04,0
"22",33593,"samp. JAN324","APATITE","APATITE","SYENITE",0.6,0,0.016204,0.0165,0.22,50.54,0.14,0.29,0.02959,0.33,40.11,0.317839683449148,3.28,0.4,0.01,0,0,0,0,0.08,0,0
"23",33594,"samp. JAN324","APATITE","APATITE","SYENITE",0.9,0.8,0.1108,0.055,7.83,45.28,0.3,0.39,0.3746,0.52,35.44,0.375016635810779,2.9,0.31,0.063,0,0,0,0,0.08,0.14,0
"24",33595,"samp. JAN329","APATITE","APATITE","NOT GIVEN",0.25,0.0076,0.01,0,0.22,55.35,0.1,0.12,0,0.125,41.77,0.880565245753565,0.93,0.48,0,0,0,0,0,0,0,0
"25",33596,"samp. JAN329","APATITE","APATITE","NOT GIVEN",0.24,0.02,0.0031,0.018,0.35,55.34,0.09,0.07,0,0.07,41.71,0.98,1.21,0.47,0,0,0,0,0,0.02,0,0
