"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1",236203,"samp. 12","ILMENITE","ILMENITE","GABBRO",0.01,46.6,0.38,0.1,43.4,0.046,6,0.51,0.001,0.045,0,0,0,0,0.02,0,0.02,0.09,0,0,0.01,0
"2",236204,"samp. 15B","ILMENITE","ILMENITE","GABBRO",0.2,47.2,0.37,0.264,46.3,0.11,5.8,0.44,0,0.024,0,0,0,0,0.017,0,0.04,0.03,0,0,0.31,0
"3",236205,"samp. 15A","ILMENITE","ILMENITE","GABBRO",0.013,46.7,0.5,0.024,46.8,0.06,5.2,0.39,0.002,0.002,0,0,0.005,0.04,0,0,0.08041259,0,0,0,0.03,0
"4",236206,"samp. 13","ILMENITE","ILMENITE","GABBRO",0.2,47.6,0.56,0.11,45,0,5.9,0.42,0,0,0.03,0,0,0,0.034,0,0.08,0,0,0,0.12,0
"5",236207,"samp. 115-4","ILMENITE","ILMENITE","BASALT, OLIVINE",0.023,48.69,0.36,0.06,44.48195,0.096,3.43,0.56,0.022,0,0,0,0.1297,0,0.015,0,0.07,0.023,0,0,0.21,0
"6",236208,"samp. 115-6","ILMENITE","ILMENITE","BASALT",0.028,49.47,0.17,0.004,47.7665,0.01,2.37,0.62,0,0,0,0,0.002,0,0,0,0.16,0.1,0,0,0.01,0
"7",236209,"samp. 97-14","ILMENITE","ILMENITE","ANKARAMITE",0.02,49.24,0.09,0.01,47.29,0.18,2.83,0.56,0.009,0.018,0,0,0,0,0,0,0.09591421,0.02,0,0,0.01,0
"8",236210,"samp. 83-27","ILMENITE","ILMENITE","BASALT, OLIVINE",0.05,48.59,0.33,0.0433,44.837,0.1429,2.78,0.65,0.0024,0.033,0.01,0,0,0,0.004925,0,0.10347325,0,0,0,0.12,0
"9",236211,"samp. PH-1","ILMENITE","ILMENITE","HAWAIITE",0.3,48.28,0.47,0.04,48.79,0.25,1.21,0.91,0.006,0,0.02,0,0,0.0165,0.02,0,0.02,0,0,0,0.13,0
"10",236212,"samp. P40-1","ILMENITE","ILMENITE","PICRITE",0.54,47.4,0.36,0.0673964982348536,47.4502,0.22,2.65,0.31,0,0,0.0115,0,0,0.049,0,0,0.09,0.017,0,0,0.64,0
"11",236213,"samp. C21","ILMENITE","ILMENITE","CLINOPYROXENITE, OLIVINE, XENOLITH",0.011,51,0.59,1.5,36.7,0.01,8.1,0.24,0.01,0,0.0178,0,0,0,0.11,0,0.01,0.12,0,0,0.01,0
"12",236214,"samp. C75G","ILMENITE","ILMENITE","GABBRO",0,51.4,0.2,0.39,34.2,0.04,10.1,0.42,0.0215,0.063,0,0,0.1297,0,0.1,0,0.16,0.03,0,0,0.25,0
"13",236215,"samp. A7","ILMENITE","ILMENITE","GABBRO",0,52.3,0.47,0.92,37.5,0.01,7.9,0.36,0.0103,0,0,0,0,0,0.06,0,0.02,0,0,0,0,0
"14",236216,"samp. A13","ILMENITE","ILMENITE","GABBRO",0.1,50.1,0.57,0.7,38.6,0,9,0.28,0.009,0,0,0,0,0,0.08,0,0.10347325,0.0453,0,0,0.11,0
"15",236217,"samp. C22","ILMENITE","ILMENITE","GABBRO",0,48.8,0.5,0.04,42.3,0.003,7.5,0.41,0,0,0,0,0.002,0,0,0,0,0.068,0,0,0,0
"16",236218,"samp. C3","ILMENITE","ILMENITE","GABBRO",0.013,49.7,0.63,0.31,38.4,0.013,8.3,0.34,0,0.017,0,0,0,0,0.11,0,0.02,0,0,0,0,0
"17",236219,"samp. A3","ILMENITE","ILMENITE","GABBRO",0.018,49.5,0.38,0.13,43.8,0.05,6.4,0.37,0,0,0,0,0,0,0.04,0,0.02,0.06,0,0,0,0
"18",236220,"samp. A9(OL)","ILMENITE","ILMENITE","GABBRO",0.0177,48.3,0.21,0.33,42.1,0,7.7,0.31,0,0.008,0.01,0,0.0915,0,0.06,0,0.02,0.1432,0,0,0,0
"19",236221,"samp. A9(PL)","ILMENITE","ILMENITE","GABBRO",0.0075,46.4,0.36,0.25,42.9,0,6.6,0.34,0,0,0,0,0.0915,0,0.17,0,0.04,0,0,0,0.01,0
"20",236222,"samp. C6","ILMENITE","ILMENITE","TROCTOLITE",0.6994,49.3,0.46,0.15,43,0.1,6.9,0.36,0.1,0.202,0.0766666666666667,0,0,0,0.06,0,0,0.02,0,0,0,0
"21",236223,"samp. A15","ILMENITE","ILMENITE","GABBRO",0.0238,50.8,0.47,0.05,38.1,0.02,7.4,0.38,0,0.002,0,0,0,0,0,0,0.06,0.03,0,0,0.03,0
"22",236224,"samp. C5","ILMENITE","ILMENITE","GABBRO",0,51.1,0.28,0.22,39.7,0.1,6.9,0.41,0,0.01,0,0,0,0,0.053,0,0.09,0,0,0,0.08,0
"23",236225,"samp. C4","ILMENITE","ILMENITE","GABBRO",0.01,47.5,0.36,0.01,43.9,0,6.4,0.28,0.011,0,0,0,0.025,0,0,0,0.09647809,0,0,0,0.13,0
"24",236226,"samp. A2-2","ILMENITE","ILMENITE","GABBRO",0.38,49.6,0.3,0.12,42.7,1.34,5.9,0.43,0.017,3.27,0,0,0,0,0.12,0,0.11379581,0.05468175,0,0,0.19,0
"25",236227,"samp. B4","ILMENITE","ILMENITE","GABBRO",0.02,51.1,0.46,0.08,38.7,0,6.9,0.28,0,0,0.0013,0,0,0,0.028,0,0.04,0,0,0,0.05,0
"26",236228,"samp. C19C","ILMENITE","ILMENITE","GABBRO",0,48.4,0.21,0.01,44.8,0,4.4,0.38,0.007,0.009,0,0,0.002,0,0.0379,0,0.05,0.073,0,0,0.25,0
"27",236229,"samp. C19F","ILMENITE","ILMENITE","GABBRO",0.0409,49.3,0.36,0.01,41.9,0.022,6.5,0.3,0,0.001,0,0,0.1297,0,0.0186,0,0.09591421,0.02,0,0,0.55,0
"28",236230,"samp. 1","ILMENITE","ILMENITE","THOLEIITE",0.3,49.5,1,0.21,45.1,0.445,2.4,0.47,0.061,0.0466666666666667,0.365,0,0,0,0,0,0.03,0.0868,0,0,0.2,0
"29",236231,"samp. 1960","ILMENITE","ILMENITE","BASALT",0.65,48.2,0.46,0.044,50.7,0.028,0.97,0.51,0.01,0.035,0,0,0,0,0.01,0,0.05,0.03,0,0,0.06,0
"30",236232,"samp. K73","ILMENITE","ILMENITE","RHYODACITE",0.81,42.8,0.57,0.03,50.2,0.1,2.5,0.7,0.14,0.0294,0.0433333333333333,0,0.005,0.015,0.0122,0,0.02,0,0,0,0.16,0
"31",236233,"samp. K116","ILMENITE","ILMENITE","RHYODACITE",0.8,42.2,0.52,0.069,50.8,0.11,2.2,0.64,0.1,0.165,0.04,0,0,0.011,0.05,0,0.04,0.16,0,0,0.15,0
"32",236234,"samp. A","ILMENITE","ILMENITE","HAWAIITE",0,49.7,0.83,0.09,43.53,0.0250248262164846,3.26,0.68,0.01,0.0034,0.002,0,0,0.04,0,0,0.09,0.08,0,0,0.14,0
"33",236235,"samp. UPO-2","ILMENITE","ILMENITE","BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE",0.1061,44.07,0.11,0.06,48.241,0.02,2.91,0.48,0.0078,0.035,0,0,0.005,0.049,0,0,0.05,0.018,0,0,0.62,0
"34",236236,"samp. UPO-4","ILMENITE","ILMENITE","BASALT, PLAGIOCLASE-OLIVINE-CLINOPYROXENE",0.01,47.22,0.02,0.06,46.65,0.02,1.62,0.47,0.03,0.074,0.07,0,0.1114,0,0.11,0,0.04,0,0,0,0.21,0
"35",236237,"samp. UPO-F-9-1","ILMENITE","ILMENITE","BASALT",0.4,49.4,0.13,0.123,26.903,0.82,2.84,0.47,0.026,0.043,0,0,0,0.011,0.1,0,0.09243187,0.03,0,0,0.55,0
"36",236238,"samp. UPO-F-21","ILMENITE","ILMENITE","BASALT, OLIVINE",0.11,48.79,0.83,0,45.14,1.05,1.74,0.83,0.11,0.081,0.0799,0,0,0.0069,0.04,0,0.02,0,0,0,0.64,0
"37",236239,"samp. UPO-F-6A","ILMENITE","ILMENITE","BASALT, CLINOPYROXENE-OLIVINE",0,50.09,0.07,0.03,42.34,0.05,5.01,0.78,0.009,0,0,0,0,0,0.002,0,0.06,0.0373059,0,0,0.05,0
"38",236240,"samp. G111","ILMENITE","ILMENITE","BASALT, PYROXENE-OLIVINE",0.19,49.09,0.2,0.13,48.1,0.03,2.54,0.43,0.01,0,0.005835,0,0,0,0.075,0,0,0,0,0,0.09,0
"39",236241,"samp. G14","ILMENITE","ILMENITE","BASALT, PYROXENE-OLIVINE",0.13,48.89,0.25,0.6,46.04,0.04,3.06,0.42,0.03,0.027,0.03,0,0,0,0.034,0,0.09591421,0.09,0,0,0.15,0
"40",236242,"samp. ALR49G","ILMENITE","ILMENITE","BASALT, PYROXENE-OLIVINE",0.09,50.69,0.23,0.05,47.38,0,3.85,0.57,0.009,0,0.01,0,0.028,0.07,0.018,0,0.03,0.04,0,0,0.21,0
"41",236243,"samp. G22","ILMENITE","ILMENITE","BASALT",0.15,46.53,0.41,0.1,38.07,0.1527,2.04,0.38,0.008,0.06,0.022,0,0.1297,0.04,0.07,0,0,0.05,0,0,0.02,0
"42",236244,"samp. 37N","ILMENITE","ILMENITE","PYROXENITE",0.058,46.57,0,0,48.447,0.123,1.43,1.4,0.0202,0,0.0449,0,0,0.049,0.27,0,0.01,0.0726,0,0,0.3,0
"43",236245,"samp. 36G","ILMENITE","ILMENITE","GABBRO",0.046,52.33,0,0,38.92,0.022,6.26,0.91,0.006,0,0,0,0,0,0.015,0,0.03,0,0,0,0.0199,0
"44",236246,"samp. 37H","ILMENITE","ILMENITE","MONZONITE",0.07,48.71,0,0.03,47.99,0.03,0.67,2.82,0,0,0.01,0,0,0.011,0,0,0,0.04,0,0,0.02,0
"45",236247,"samp. CZY","ILMENITE","ILMENITE","GABBRO, ALKALINE",0.047,53.64,0.02,0.05,37.6,0,7.52,2.33,0.018,0.007,0,0,0,0.05,0,0,0,0.11,0,0,0.09,0
"46",236248,"samp. TP4","ILMENITE","ILMENITE","GABBRO, ALKALINE",0.81,52.32,0.34,0,41.08,0.35,2.68,7.57,0,0,0,0,0,0.005,0.147,0,0.07,0.08,0,0,0.77,0
"47",236249,"samp. 42P","ILMENITE","ILMENITE","SYENITE, NEPHELINE",0.08,49.01,0.02,0,34.03,0.069,0.22,13.04,0.006,0.0281111111111111,0.012,0,0,0.005,0.008,0,0,0.0496,0,0,0,0
"48",236250,"samp. 1D","ILMENITE","ILMENITE","WEHRLITE, XENOLITH",0.01,54.28,0.27,0.75,30.49,0,14.48,0.63,0,0,0,0,0.38,0,0.11,0,0.09,0,0,0,0.23,0
"49",236251,"samp. 1D","ILMENITE","ILMENITE","WEHRLITE, XENOLITH",0.035,49.6,0.24,0.15,46.0037568613336,0.04,2.66,0.99,0,0.01265,0,0,0,0,0.013745,0,0.05,0.06,0,0,0.49,0
"50",236252,"samp. SN91-32","ILMENITE","ILMENITE","BASALT, TRANSITIONAL",0.08,47.98,0.21,0.02,45.27,0.056,1.69,0.6,0.02,0.08,0,0,0,0.015,0.02,0,0,0.05,0,0,0,0
"51",236253,"samp. SN91-51","ILMENITE","ILMENITE","BASALT, TRANSITIONAL",0.16,47.46,0.37,0.14,43.8,0.05,3.03,0.62,0.001,0.01,0,0,0.017,0,0.03,0,0.13033121,0.0496,0,0,0.01,0
