"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1",447293,"samp. 1","PEROVSKITE","PEROVSKITE","CARBONATITE",0.06,57.5,0.08,0,1.71,37.23,0.1,0.03,0.01,0.07,0.0383636363636364,0.19,0.16,0,0.059,0,0,0,0,0,0,0
"2",447294,"samp. 1","PEROVSKITE","PEROVSKITE","CARBONATITE",0.04,58.76,0.13,0.77,2.58,37.88,0.4,0.03,0.1027,0,0.08,0.19,0.184,0,0.015,0,0,2.22334,0,0,0.595,0
"3",447295,"samp. 1","PEROVSKITE","PEROVSKITE","CARBONATITE",0.03851,56.98,0.06,0.03,1.364,37.58,0.1,0.03,0.0082,0.15,0.07,0.42,0.171,0,0.017,0,0,0,0.25,0,0.12,0
"4",447296,"samp. 1","PEROVSKITE","PEROVSKITE","CARBONATITE",0.08,56.98,0.13,0.247,1.91,36.21,0.037,0.01,0.097,0.07,0.0512857142857143,0.19,0.109,0,0.0178,0,0,0,0.25,0,0.11,0
"5",447297,"samp. 1","PEROVSKITE","PEROVSKITE","SYENITE, NEPHELINE",3.6,35.8,0.41,1.38,1.07,2.42,2.49,0,0.43,10.7,0.08,0.42,0.063,0,0.0227,0,0,1.889767,0,0,0.2,0
"6",447298,"samp. SX3","PEROVSKITE","LOPARITE","SYENITE, NEPHELINE",9.77,38.61,0.434,1,1.27,4.44,0.355,0.3580924,0.55,9.18,0.63,0.19,0.112,0.003,0.029,0,0,0,0.16,0,0.555,0
"7",447299,"samp. S1/4","PEROVSKITE","LOPARITE","SYENITE, NEPHELINE",0.35,39.89,0.59,1.05,0.93,4.04,2.07,0,0.149,9.76,0.2,0.33,0.06,0,0.002,0,0,0,0,0,0.6,0
"8",447300,"samp. S1/4","PEROVSKITE","LOPARITE","SYENITE, NEPHELINE",1.2959,37.37,0.453,1.74,1.46,3.23,0.23,0,0.156,10.94,0.19,0.33,0.06,0,0.079,0,0,0,0.12,0,0.47,0
"9",447301,"samp. 93SOB162","PEROVSKITE","PEROVSKITE","MELILITITE, OLIVINE",0.21,57.91,0.06,0.05,0.2371525,38.94,0.0688,0.02,0.126,1.11,0.0383636363636364,0.19,0.093,0,0.06,0,0,0.02,0,0,0,0
"10",447302,"samp. 93SOB168","PEROVSKITE","PEROVSKITE","NEPHELINITE",0.23,55.81,0.03,0.27,1.09,35.66,0,0,0.094,0.74,0,0.19,0.133,0.00566666666666667,0.01,0,0,0,0,0,0,0
