"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1",464297,"samp. SH149","QUARTZ","QUARTZ","NOT GIVEN",100.44,0.03,0.64,0.013,0.12,0.11,0.01,0.02,0.04,0.22,0,0,0,0,0,0,0,0,0,0,0,0
"2",464298,"samp. 17","QUARTZ","QUARTZ","DACITE",98.03,0.18,0.44,0,0.4,0.33,0.06,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0
"3",464299,"samp. 17","QUARTZ","QUARTZ","DACITE",96.47,0.24,0.82,0,0.182,0.47,0,0,0.25,0.37,0,0,0,0,0,0,0,0,0,0,0,0
"4",464300,"samp. 17","QUARTZ","QUARTZ","DACITE",97,0,0.74,0,0.2483,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0
"5",464301,"samp. 17","QUARTZ","QUARTZ","DACITE",96.88,0.19,0.74,0,0,0.12,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0
"6",464302,"samp. 72/2","QUARTZ","QUARTZ","ANDESITE",98.7,0,0.05,0.06,0.283228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",464303,"samp. 72/2","QUARTZ","QUARTZ","ANDESITE",98.69,0.18,0.3,0.06,1.08,0.36,0,0.05,0.44,0.13,0,0,0,0,0,0,0,0,0,0,0,0
"8",464304,"samp. 72/2","QUARTZ","QUARTZ","ANDESITE",100.85,0,0.09,0,0.174,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",464305,"samp. 72/2","QUARTZ","QUARTZ","ANDESITE",100.43,0.08,0.06,0,0.216,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",464306,"samp. 72/2","QUARTZ","QUARTZ","ANDESITE",96.64,0.25,0.67,0,0.03,0.56,0.06,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0
"11",464307,"samp. 77/2","QUARTZ","QUARTZ","DACITE",97.95,0.19,0.17,0,0.92,0.17,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",464308,"samp. 77/2","QUARTZ","QUARTZ","DACITE",98.7,0,0.1,0,0.3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",464309,"samp. 77/2","QUARTZ","QUARTZ","DACITE",97.93,0,0,0,0.57,0,0,0,0.51,0.08,0,0,0,0,0,0,0,0,0,0,0,0
"14",464310,"samp. 7-CORE","QUARTZ","QUARTZ","BASALT",97.1,0.1,0.2,0,0.3,0,0,0,0.1,0,0,0,0,0,0.14,0,0,0,0,0,0,0
"15",464311,"samp. 7-CORE","QUARTZ","QUARTZ","BASALT",95.9,0.1,0.9,0.04,0.6,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",464312,"samp. 10-RIND","QUARTZ","QUARTZ","BASALT",97.8,0,0.1,0,0.3,0.1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"17",464313,"samp. 26","QUARTZ","QUARTZ","NOT GIVEN",99.35,0,0.14,0.027,0.1828,0.05,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0
"18",464314,"samp. XJ-325","QUARTZ","QUARTZ","ANDESITE",93.364,0.08,0.441,0,3.65,0.37,0.146,0.002,0.025,0.007,0,0,0,0,0,0,0,0,0,0,0,0
"19",464315,"samp. SZG-KLM01","QUARTZ","QUARTZ","WEBSTERITE, XENOLITH",101.5,0.03,0.03,0.12,0.27,0,0.02,0.04,0,0.01,0.04,0,0,0,0,0,0,0,0,0,0,0
