"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1",524990,"samp. 1","TITANITE","TITANITE (SPHENE)","CARBONATITE",30.52,30.05,0.17,0,3.31,25.7,0.75,0.04,0.02,0.24,0.025,0.621,0.2493,0,0.02,0,0,0.0184,0.1506769,0,0,0
"2",524991,"samp. 2","TITANITE","TITANITE (SPHENE)","PHONOLITE",30.35,34.93,1.87,0.029,2.51,25.25,0.02,0.13,0.07,0.34,0.071,0.43,0.453,0.174,0.079234,0,0,0.015,0.2583759,0,0.976458175947979,0
"3",524992,"samp. 2","TITANITE","TITANITE (SPHENE)","PHONOLITE",29.18,35.51,1.4,0,2.26,25.28,0.01,0.18,0.02,0.29,0.145,0.24,0.228,0.0137,0.03,0,0,0,0.2583759,0,0.372311849133822,0
"4",524993,"samp. 2","TITANITE","TITANITE (SPHENE)","PHONOLITE",29.88,36.16,1.53,0,2.08,25.39,0.0413,0.13,0.017,0.24,0.1759,0.474,0.02,0.0139,0.03,0,0,0,0.2583759,0,0.16,0
"5",524994,"samp. P-6A","TITANITE","TITANITE (SPHENE)","BASANITE",30.53,36.38,1.22,0.0141,0.83,28.81,0.04,0.19,0.01,0.01,0.02,0.542,0.195,0,0.0428,0,0,0.2316,0.1932616,0,0.38,0
"6",524995,"samp. P-6A","TITANITE","TITANITE (SPHENE)","BASANITE",29.42,37.13,1.36,0.06,1.13,28.63,0.03,0.05,0.006,0.02,0,0.652,0.26,0,0,0,0,0.0696,0.07681039,0,0.266,0
"7",524996,"samp. 1","TITANITE","TITANITE (SPHENE)","SYENITE, NEPHELINE",30,38.8,2.05,0.27,3.2,23.5,0.73,0.1,0.2158,1.88,0.157,0.6,1.14,0.07,0.263,0,0,0.2787,0.07681039,0,0.11,0
"8",524997,"samp. PLH2","TITANITE","TITANITE (SPHENE)","THOLEIITE",33.18,30.69,2.98,0,1.78,27.42,0.42,0.019,0.1067,0.318,0.03,0.43,0.373,0.0044,0.0239,0,0,0,0.07733048,0,0.5736,0
"9",524998,"samp. 4_SPHENE","TITANITE","TITANITE (SPHENE)","BASALT",31.5,31.02,2.91,0.1,2.59,29.63,0.1,0.0155,0,0.024,0,0.21,2.903211,0,0.02,0,0,0.016,0.1932616,0,0.3827,0
"10",524999,"samp. 5_SPHENE","TITANITE","TITANITE (SPHENE)","BASALT",32.23,29.09,3.92,0,3.17,28,0.1,0.03,0.5,0.2,0.04,0.301,0.447,0,0.03,0,0,0,0.07681039,0,3.98,0
"11",525000,"samp. ADK27","TITANITE","TITANITE (SPHENE)","MONZODIORITE, QUARTZ",30.72,30.36,6.93,0.05,1.6333,28.38,0.03,0.07,0.0086,0.018,0.048,0.25,2.52,0,0,0,0,0.0696,0.07733048,0,0.6597,0
