"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1",526486,"samp. 3/3","ZIRCON","ZIRCON","NOT GIVEN",31.79,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.33,0
"2",526487,"samp. 7","ZIRCON","ZIRCON","NOT GIVEN",31.06,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.75,0
"3",526488,"samp. LO10-6A","ZIRCON","ZIRCON","NOT GIVEN",31.95,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.88,0
"4",526489,"samp. 275","ZIRCON","ZIRCON","NOT GIVEN",31.44,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.87,0
"5",526490,"samp. 33033","ZIRCON","ZIRCON","RHYOLITE",32.44,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5,0
"6",526491,"samp. 33030","ZIRCON","ZIRCON","RHYOLITE",32.59,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4,0
"7",526492,"samp. 38990","ZIRCON","ZIRCON","RHYOLITE",31.61,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9,0
"8",526493,"samp. 38675","ZIRCON","ZIRCON","RHYOLITE",32.38,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.2,0
"9",526494,"samp. 31052","ZIRCON","ZIRCON","RHYOLITE",32.44,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4,0
"10",526495,"samp. SP106","ZIRCON","ZIRCON","BASANITE",32.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.343,0
"11",526496,"samp. SP106","ZIRCON","ZIRCON","BASANITE",32.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.614,0
"12",526497,"samp. SP99","ZIRCON","ZIRCON","NOT GIVEN",32.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.396,0
"13",526498,"samp. SP99","ZIRCON","ZIRCON","NOT GIVEN",32.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.396,0
"14",526499,"samp. R1","ZIRCON","ZIRCON","CAMPTONITE",32.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.39,0
"15",526500,"samp. R1","ZIRCON","ZIRCON","CAMPTONITE",32.32,0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.82,0
"16",526501,"samp. ZG1","ZIRCON","ZIRCON","SOIL",31.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.637,0
"17",526502,"samp. ZG1","ZIRCON","ZIRCON","SOIL",32.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.381,0
"18",526503,"samp. BT1","ZIRCON","ZIRCON","SOIL",32.224,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.663,0
"19",526504,"samp. BT5","ZIRCON","ZIRCON","SOIL",32.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.132,0
"20",526505,"samp. LO1","ZIRCON","ZIRCON","SOIL",32.816,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.696,0
"21",526506,"samp. LO3","ZIRCON","ZIRCON","SOIL",32.772,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.524,0
"22",526507,"samp. RT34E","ZIRCON","ZIRCON","RHYOLITE",32.28,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.74,0
"23",526508,"samp. RT165A","ZIRCON","ZIRCON","RHYOLITE",31.89,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.32,0
"24",526509,"samp. RT173B","ZIRCON","ZIRCON","RHYOLITE",32.14,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.57,0
