"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","46560","samp. 2N-239","FELDSPAR","SANIDINE","PHONOLITE",66.76,0,20.399,0,0.13,0.1,0,0,9.41,4.37,0.1,0,0.095,0.01,0.01,0,0,0,0,0,0,0
"2","46569","samp. SN-217","FELDSPAR","ANORTHOCLASE","MUGEARITE",58.82,0.0253,24.073,0.0164,0.25,2.31,0.051,0,4.12,6.94,0,0,1e-05,0.005,0.01,0,0,0,0,0,0,0
"3","46591","samp. WJ18B","FELDSPAR","ANORTHOCLASE","RHYOLITE",66.39,0.04,19.37,0,0.22,0.51,0.01,0,5.28,7.91,0,0,0,0,0,0,0,0,0,0,0,0
"4","46592","samp. WJ18B","FELDSPAR","ANORTHOCLASE","RHYOLITE",66.56,0.04,19.55,0,0.31,0.56,0.01,0,4.54,8.3,0,0,0,0.001,0,0,0,0,0,0,0,0
"5","46601","samp. 28","FELDSPAR","ANORTHOCLASE","COMENDITE",67.22,0.1,18.93,0.01,0.5,0.42,0,0,4.48,7.45,0,0,0,0.02,0.022,0,0,0,0,0,0,0
"6","46602","samp. 20","FELDSPAR","ANORTHOCLASE","COMENDITE",66.97,0.0122899159663866,17.71,0.02,0.25,0.48,0,0,5.17,7.46,0,0,0.027766,0.007,0.01,0,0,0,0,0,0,0
"7","46610","samp. 1","FELDSPAR","SANIDINE","PHONOLITE",65.52,0.42,17.5,0.005,0.51,0.01,0.0314,0.0077,10.11,4.23,0.067,0,0.0139,0,0.011,0,0,0,0,0,0,0
"8","46625","samp. 11","FELDSPAR","SANIDINE","HAWAIITE",65.82,0.22,17.71,0.004,0.36,0.47,0.0059,0,9.57,4.31,0,0,0,0,0,0,0,0,0,0,0,0
"9","46631","samp. 17","FELDSPAR","SANIDINE","BENMOREITE",64.14,0,19.3,0.01,0.09,0.73,0.0093,0.038,10.24,5.66,0.09,0,0,0.2,0.031,0,0,0,0,0,0,0
"10","46635","samp. 21","FELDSPAR","SANIDINE","TRACHYTE",64.84,0.16,19.8,0.002,0.18,0.91,0.2073,0.008,8.87,5.39,0.006,0,0,0.02,0.003375,0,0,0,0,0,0,0
"11","46636","samp. 22","FELDSPAR","SANIDINE","TRACHYTE",65.3,0.07,19.14,0,0.42,0.72,0,0.0153,6.5,7,0,0,0,1e-05,0,0,0,0,0,0,0,0
"12","46637","samp. 23","FELDSPAR","SANIDINE","TRACHYTE",66.5,0.07,19.8,0,0.38,0.87,0,0,5.35,7.41,0.00736322374672493,0,0.116,0,0,0,0,0,0,0,0,0
"13","46669","samp. EI9210","FELDSPAR","ANORTHOCLASE","TRACHYTE",67.43,0.0182811016144349,18.61,0.026,0.75,0.18,0.01,0,5.35,7.52,0,0,0.01,0,0,0,0,0,0,0,0,0
"14","46686","samp. 26.507ILM","FELDSPAR","ANORTHOCLASE","TRACHYANDESITE",66.69,0.17,18.13,0.005701,0.4795,0.56,0.0087,0.01,6.74,5.85,0.0199,0,0.012,0.006,0.01,0,0,0,0,0,0,0
"15","46687","samp. 26.519ILM","FELDSPAR","ANORTHOCLASE","SYENITE, HAUYNE",69.15,0.84,14.73,0.23,1.934316,0.426069565659907,0.04,0.28,9.63,4.26,0.14,0,0.16,0.08,0.91,0,0,0,0,0,0,0
"16","46688","samp. 26.077ILM","FELDSPAR","ANORTHOCLASE","SYENITE, HAUYNE",69.69,0.12,13.46,0.092,0.67,0.14,0.1,0.0162,8.76,5.93,0.3564692,0,0.107,0,0.02,0,0,0,0,0,0,0
"17","46998","samp. M-390","FELDSPAR","ANORTHOCLASE","HARZBURGITE, XENOLITH",66.39,0.037,19.33,0.0067,0.18,0.96,0,0,6.06,6.71,0.039,0,0.11,0,0,0,0,0,0,0,0,0
"18","47048","samp. JAN37","FELDSPAR","ANORTHOCLASE","TRISTANITE",60.69,0.24,22.22,0,0.415967218790104,2.48,0.04,0.00387382139866759,6.76,5.38,0.03,0,0,0,0,0,0,0,0,0,0,0
"19","47049","samp. JAN37","FELDSPAR","ANORTHOCLASE","TRISTANITE",62.46,0.27,21.28,0.17,0.92,2.04,0.01,0.0162,7.8,4.91,0,0,0.21,0.01,0.027,0,0,0,0,0,0,0
"20","47050","samp. JAN324","FELDSPAR","ANORTHOCLASE","SYENITE",64.8,0.044,21.72,0,0.069337799536202,1.92,0,0,3.33,8.04,0,0,0,0,0,0,0,0,0,0,0,0
"21","47051","samp. JAN81","FELDSPAR","ANORTHOCLASE","TRACHYTE",63.74,0.05,21.52,0.013,0.16,1.56,0.01,0,5.76,6.44,0.03,0,0.0225,0,0,0,0,0,0,0,0,0
"22","47052","samp. JAN175","FELDSPAR","ANORTHOCLASE","TRISTANITE",65.45,0.08,20.37,0,0.1406,1.02,0,0,6.07,6.27,0.02,0,0,0.005517,0,0,0,0,0,0,0,0
"23","47053","samp. JAN35","FELDSPAR","ANORTHOCLASE","TRACHYTE",64.46,0.0227,21.28,0,0.152,0.92,0,0.028408023590229,6.2,6.72,0,0,0,0.004,0,0,0,0,0,0,0,0
"24","47054","samp. JAN35","FELDSPAR","ANORTHOCLASE","TRACHYTE",64.72,0.28,19.91,0.064,0.210566666666667,0.54,0.09,0.052,7.13,5.98,0.08,0,0.095,0.044,0.14,0,0,0,0,0,0,0
"25","47055","samp. JAN142","FELDSPAR","ANORTHOCLASE","TRACHYTE",64.14,0.004,19.54,0.0095,0.01,0.41,0,0,10.22,4.69,0.0062,0,0.006797,0.004,0,0,0,0,0,0,0,0
"26","47056","samp. JAN329","FELDSPAR","ANORTHOCLASE","NOT GIVEN",65.22,0.12,19.28,0.014,0.22,0.34,0.07,0.124,8.43,5.65,0.023,0,0,0.001,0.015,0,0,0,0,0,0,0
"27","47057","samp. JAN142","FELDSPAR","ANORTHOCLASE","TRACHYTE",64.96,0.0849514563106796,19.06,0.0122,0.048,0.18,0,0,10.34,4.65,0,0,0.12469,0.07,0.04,0,0,0,0,0,0,0
"28","47134","samp. A264","FELDSPAR","ANORTHOCLASE","TRACHYTE, PHONOLITIC",65.05,0,19.09,0,0.11,0.32,0,0.0084,7.41,6.74,0.03,0,0,0,0.038,0,0,0,0,0,0,0
"29","47135","samp. A264","FELDSPAR","ANORTHOCLASE","TRACHYTE, PHONOLITIC",64.63,0,20.46,0.01,0.64,0.38,0,0.011863,5.53,7.26,0,0,0,0,0.02,0,0,0,0,0,0,0
"30","47160","samp. 311","FELDSPAR","SANIDINE","RHYOLITE, ALKALINE",66.5,0.19,19.4,0.01,0.3,0.03,0.0226,0,5.83,7.59,0.19,0,0.05,0.0104,0.014,0,0,0,0,0,0,0
"31","47161","samp. 311","FELDSPAR","SANIDINE","RHYOLITE, ALKALINE",67.1,9.209,18.9,0.25,0.15704845814978,0.03,0,0.016,5.98,7.26,0.024,0,0.42,0.03,0.02,0,0,0,0,0,0,0
"32","47162","samp. 311","FELDSPAR","SANIDINE","RHYOLITE, ALKALINE",66.8,0,19.1,0,0.119,0.01,0,0.011,5.98,7.46,0.1123749,0,0,0.008,0,0,0,0,0,0,0,0
"33","47163","samp. 295","FELDSPAR","SANIDINE","RHYOLITE, ALKALINE, OBSIDIAN",66.1,0.0515,19.8,0.02,0.1754,0.19,0,0.02,6.23,7.51,0.02,0,0.065,0,0,0,0,0,0,0,0,0
"34","47164","samp. 295","FELDSPAR","SANIDINE","RHYOLITE, ALKALINE, OBSIDIAN",65.6,0.16,19.2,0.06,0.333358,0.14,0,0.023,7.47,7.45,0.025,0,0,0.019,0.16,0,0,0,0,0,0,0
"35","47165","samp. 295","FELDSPAR","ANORTHOCLASE","RHYOLITE, ALKALINE, OBSIDIAN",65.8,0.0337,19.9,0.0048,0.155875789719174,0.25,0,0,5.43,8.5,0,0,0.056,0.0013,0,0,0,0,0,0,0,0
"36","47166","samp. 331","FELDSPAR","SANIDINE","COMENDITE",66.2,0,18.8,0,0.2,0.04,0,0.0201,7.37,6.83,0,0,0,0,0,0,0,0,0,0,0,0
"37","47167","samp. 331","FELDSPAR","SANIDINE","COMENDITE",66,0.37,18.5,0.07,0.34,0.03,0.0231,0.05,7.29,7.34,0.042,0,0.0503,0.02,0.08,0,0,0,0,0,0,0
"38","47168","samp. 331","FELDSPAR","SANIDINE","COMENDITE",66.2,0.055,18.8,0.03,0.18,0.04,0,0.008,7.68,6.24,0.018,0,0,0,0,0,0,0,0,0,0,0
"39","47191","samp. IM1","FELDSPAR","ANORTHOCLASE","BENMOREITE",65.31,0.11,19.04,0,0.3027,0.6,0.54,0,5.35,7.42,0.06,0,0.011,0.01,0.01,0,0,0,0,0,0,0
"40","47209","samp. 1","FELDSPAR","ANORTHOCLASE","BASALT",66.38,0.0758,17.96,0.01,0.845,0.05,0.0049,0,6.7,6.77,0,0,0.054,0.008,0.03,0,0,0,0,0,0,0
"41","47210","samp. 2","FELDSPAR","SANIDINE","BASALT",67.28,0,19.31,0.0276,0.16,0.32,0,0.06,6.78,6.52,0.0133951507497875,0,0,0.0029,0.012,0,0,0,0,0,0,0
"42","47212","samp. 107S","FELDSPAR","SANIDINE","BASALT",65.74,0.0246226666666667,19.56,0.01,0.3651,0.14,0.01,0.0221,7.72,6.04,0.01,0,0.168351,0.01,0,0,0,0,0,0,0,0
"43","47473","samp. 3","FELDSPAR","ANORTHOCLASE","BASALT, ANORTHOCLASE",59.44,0.42,23.15,0.09,0.98,4.42,0.43,0.05,2.81,7.44,0.17,0,0.168,0.08,0.0852,0,0,0,0,0,0,0
"44","47476","samp. 253","FELDSPAR","SANIDINE","BASALT",65.57,0.01,18.7,0.019,0.07,0.08,0.0027,0,15.3,0.14,0.008,0,0.013,0.0109,0.001,0,0,0,0,0,0,0
"45","47534","samp. 2215","FELDSPAR","ANORTHOCLASE","PICRITE",66.66,0,19.24,0.0387,0.14,0.9,0.01,0,6.92,6.15,0,0,1e-05,0,0,0,0,0,0,0,0,0
