"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","195312","samp. 10","FELDSPATHOID","ANALCIME","BASALT",53.2,0,23.7,0,0.21,1.14,0.04,0,0.02,12.7,0.05,7.92109999999998,0,0,0.011,0,0,0,0,0.35,0,0
"2","195313","samp. MO6,7,5A","FELDSPATHOID","NEPHELINE","NEPHELINITE, OLIVINE-MELILITE",41.5,0.0994,33.6,0.03,0.7633,0.27,0.17,0.015,7.33,16,0,9.28470000000002,0.16,1.71,0,0,0,0,0,0,0,0
"3","195314","samp. MO17","FELDSPATHOID","NEPHELINE","MELTEIGITE",41.7,0,33.9,0,0.6348,0.2,0.03,0,8.19,15.3,0.133174545249121,9.55759999999998,0,0.01,0,0,0,0,0,0.01,0,0
"4","195315","samp. MO6,7,5A","FELDSPATHOID","SODALITE","NEPHELINITE, OLIVINE-MELILITE",37.7,0,30.5,0.02,0.6988,0.0642,0.0249,0,0.26,24.1,0.04,0.3,0,7.76,0.03,0,0,0,0,0.01,0,0
"5","195316","samp. MO17,5B","FELDSPATHOID","SODALITE","MELTEIGITE",37.3,0.02,31.2,0.04,1.0525,0.438,0.0495,0.009,1.44,23.7,0,1.65,0.055,7.82,0,0,0,0,0,0.01,0,0
"6","195317","samp. MO24","FELDSPATHOID","SODALITE","IJOLITE",38.6,0.0234,30.2,0.04,0.4505,2.73,0.02,0,1.35,21.5,0,0.34,0.04,8.01,0,0,0,0,0,6.16,0,0
"7","195318","samp. 2N-239","FELDSPATHOID","NEPHELINE","PHONOLITE",46.99,0.19,34.98,0.014,1.453658,0.39,0.3697,0.0064,4.22,14.8,0,7.97399999999999,0.8950109,0.5569722,0.01,0,0,0,0,2.95,0,0
"8","195319","samp. 2N-239","FELDSPATHOID","NEPHELINE","PHONOLITE",46.45,0.0485,34.46,0.01,0.90957,0.03,0.0242,0.02,4.79,15.33,0.02,8.69710000000001,0,0.9249,0.015,0,0,0,0,0.01,0,0
"9","195320","samp. 2N-239","FELDSPATHOID","NEPHELINE","PHONOLITE",44.92,0,31.87,0.005,0.547,0.43,0,0,4.34,16.46,0,7.77,0,0.833794,0,0,0,0,0,0.01,0,0
"10","195321","samp. 2N-239","FELDSPATHOID","NEPHELINE","PHONOLITE",44.7,0,33.22,0,1.132,0.17,0,0,4.67,16.62,0,7.41,0,0.6,0,0,0,0,0,2.95,0,0
"11","195322","samp. FM42","FELDSPATHOID","ANALCIME","LAMPROPHYRE",52.35,0.05,22.65,0,0.12,1.61,0.066,0,2.65,10.86,0.07,5.94039999999998,0.145,0.2,0,0,0,0,0,1.07,0,0
"12","195323","samp. B-126/82","FELDSPATHOID","ANALCIME","PHONOLITE",54.34,0.08,22.6,0,0.539,0.6882035,0.08,0.0023,0.25,12.93,0,7.59969999999998,0.17,0,0,0,0,0,0,0.35,0,0
"13","195324","samp. B-127/82","FELDSPATHOID","ANALCIME","PHONOLITE",54.87,0,22.47,0,0.0511,0.01,0.01,0,0.08,12.57,0.161652245946146,17.4396,0,0.0093,0,0,0,0,0,1.07,0,0
"14","195325","samp. B-125/82","FELDSPATHOID","PSEUDOLEUCITE","PHONOLITE",57.18,0.11,22.14,0,0.524,0.3,0.0495,0,10.22,5.71,0.01,15.1133,0,0,0,0,0,0,0,0.01,0,0
"15","195326","samp. 1","FELDSPATHOID","NEPHELINE","PHONOLITE",44.44,0,32.94,0,0.571,0.49,0.0061,0,4.5,16.89,0,9.27,0,0.9815,0.007,0,0,0,0,2.95,0,0
"16","195327","samp. 1","FELDSPATHOID","NEPHELINE","PHONOLITE",44.8,0.0168,33,0,0.6173,0.14,0.0237,0,4.47,16.48,0,8.14230000000001,0.17,0.27,0,0,0,0,0,1.75,0,0
"17","195328","samp. 1","FELDSPATHOID","NEPHELINE","PHONOLITE",44.58,0.0195,32.76,0,1.0885,0.2094,0.1,0,3.7,16.49,0,7.92109999999998,0,0.42,0.01,0,0,0,0,0.01,0,0
"18","195329","samp. 1","FELDSPATHOID","SODALITE","PHONOLITE",41.1,0.0256,29.37,0.01,0.48,0.03,0.05,0.08,0.8,20.64,0.39,0.3,0,6.19,0.02,0,0,0,0,0.01,0,0
"19","195330","samp. 1","FELDSPATHOID","ANALCIME","PHONOLITE",53.25,0,22.29,0,0.31,0.62,0.05,0.089,0.06,12.91,0,6.82,0.09,0.1342,0,0,0,0,0,0.35,0,0
"20","195331","samp. G","FELDSPATHOID","NEPHELINE","CLINOPYROXENITE, XENOLITH",43.7,0.198,33.8,0.05,1.078739,0.35,0.64,0.21,6.5,12.9,0,8.991,0.1401,0.7581,0.194,0,0,0,0,0.01,0,0
"21","195332","samp. N-1","FELDSPATHOID","NEPHELINE","CLINOPYROXENITE, XENOLITH",44.1,0.02,33.9,0,0.57,1.7,0.05,0,4.8,14.1,0.04,8.69710000000001,0.09,0.4,0.015,0,0,0,0,0.01,0,0
"22","195333","samp. B","FELDSPATHOID","NEPHELINE","NOT GIVEN",46.6,0.198,31.4,0,1.45,0.69,1,0.02,6.3,12.1,0.03,8.2238,0,0,0,0,0,0,0,0,0,0
"23","195334","samp. HOST","FELDSPATHOID","NEPHELINE","NEPHELINITE, OLIVINE",42.8,0.0369,33.2,0,0.4861,0.25,0.24,0,7,16,0.107228787002342,8.14230000000001,0.16,0.56,0,0,0,0,0,0,0,0
"24","195335","samp. B","FELDSPATHOID","LEUCITE","NOT GIVEN",56.9,0.22379,23.2,0.02,0.42,0.3,0.06,0.0128,19.9,0.13,0.3518,18.0269,0,0.02,0.02,0,0,0,0,0.01,0,0
"25","195336","samp. 26.507ILM","FELDSPATHOID","HAUYNE","TRACHYANDESITE",33.55,0.01,26.52,0,0.26,6.42,0.017,0.0532,0.54,18.8,0.13,1.12,0,0.35,0,0,0,0,0,7.01,0,0
"26","195337","samp. 26.518ILM","FELDSPATHOID","HAUYNE","HAUYNOPHYRE, XENOLITH",34.45,0,27.45,0.01,0.12,6.69,0.02,0.0646,1.81,17.7,0.07,0.51,1e-04,0.67,0,0,0,0,0,5.97,0,0
"27","195338","samp. 26.518ILM","FELDSPATHOID","HAUYNE","HAUYNOPHYRE, XENOLITH",34.45,0,27.58,0.01,0.3,6.97,0.01,0.01,1.76,17.6,0,0.5,0.145,0.67,0.01,0,0,0,0,7.01,0,0
"28","195339","samp. 27.702ILM","FELDSPATHOID","HAUYNE","HAUYNOPHYRE, XENOLITH",34.1,0.01,27.18,0.01,0.09,6.97,0.024,0.01,1.32,17.8,0.04,0.18,0.5922,0.53,0.02,0,0,0,0,8.3,0,0
"29","195340","samp. 1","FELDSPATHOID","HAUYNE","PHONOLITE",34,0.093,27.3,0.032,1.23,0.27,0.05,0.08,0.4,18.6,0.107228787002342,0.34,0.04,1.44,0.11,0,0,0,0,0.35,0,0
"30","195341","samp. 1","FELDSPATHOID","SODALITE","SYENITE, NEPHELINE",37.8,0.041,28.8,0.04,1.0042,0.404,0,0.01,0.43,23.7,0.01,0.3,0.14,7.2,0.021,0,0,0,0,2.95,0,0
