"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","X1"
"1","521196","samp. 121-758A-56R-1,64-68","SULFIDE","CHALCOPYRITE","BASALT",0,0,0,0,39.1099774,0.16,0,0,0.01,0.63,0,0,0,0,2.37973956,36.304462,2.7209137,0.02489418,0,29.8,0,0,NA
"2","521197","samp. 121-758A-59R-2,58-62","SULFIDE","CHALCOPYRITE","BASALT",0,0,0,0,35.7932302,0.16,0,0,0.51,0.2,0,0,0,0,4.05955572,32.0480768,4.79338535,0.02489418,0,29.9,0,0.95,NA
"3","521198","samp. 121-758A-59R-2,58-62","SULFIDE","CHALCOPYRITE","BASALT",0,0,0,0,44.7760872,0.21,0,0,0.51,0.63,0,0,0,0,0.526851432,37.9319034,0.0508582,0.03734127,0.0146504232,31.3,0,0.06,NA
"4","521199","samp. 121-758A-59R-2,58-62","SULFIDE","CHALCOPYRITE","BASALT",0,0,0,0,44.914285,0.51,0,0,0.01,1.66,0,0,0,0,0.22906584,42.4386642,0.1271455,0.1244709,0.17235792,33.2,0,0,NA
"5","521200","samp. 121-758A-73R-4,105-109","SULFIDE","PYRITE","BASALT",0,0,0,0,67.5787242,0.51,0,0,0.11,0.2,0,0,0,0,11.14787088,0.08763146,0.0254291,0.02489418,0.23699214,50.6,0,0,NA
"6","521201","samp. 1","SULFIDE","PYRITE","BASALT",0,0,0,0,64.80094842,0.16,0,0,0.01,0.63,0,0,0,0,2.747517492,0.05007512,0.3502858525,0.32362434,0,53.55,0,0.12,NA
"7","521202","samp. 2","SULFIDE","PYRITE","BASALT",0,0,0,0,65.75451324,0.16,0,0,0.11,0.63,0,0,0,0,2.028505272,0.10015024,0.2797201,0,0.11849607,53.61,0,0.0615,NA
"8","521203","samp. 1","SULFIDE","CHALCOPYRITE","BASALT",0,0,0,0,42.50964328,0.21,0,0,0.11,0.2,0,0,0,0,28.63323,43.07712198,0.24157645,0.07468254,0.07540659,34.4,0,0.14,NA
"9","521204","samp. 2","SULFIDE","CHALCOPYRITE","BASALT",0,0,0,0,43.14535316,0.16,0,0,0.51,0.2,0,0,0,0,0.181980084,43.42764782,0.1041321645,0.13691799,0.00780996825,34.46,0,9,NA
"10","521205","samp. 3","SULFIDE","CHALCOPYRITE","BASALT",0,0,0,0,42.79985866,0.21,0,0,0.51,1.66,0,0,0,0,35.03434764,43.2523849,1.80292319,0,0,34.64,0,14.75,NA
