"","X1","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1",12997,"samp. 55-9/KP-67","AMPHIBOLES","ACTINOLITE","SYENITE",55.04,0.19,1.5,0.0508,9.867066,11.18,17.29,0.31,0.68,1.56,0.05,2.126,0.724,0.02,0.0515,0,0,0,0,0,0.0838,0
"2",4634,"samp. T289-R29","AMPHIBOLES","ACTINOLITE","BASALT",51.61,0.28,2.94,0,10.04,16.15,16.59,0.523622,0.02,0.23,0.0871,1.81161880598458,0.155736,0.03,0.04,0,0,0,0,0,0.1056,0
"3",4644,"samp. T289-R2","AMPHIBOLES","ACTINOLITE","BASALT",48.51,0.82,3.96,0.069,18.59,14.96,7.01,0.73,0.04,0.65,0.1254687,2.11,0.251,0.037,0,0,0,0,0,0,0.049,0
"4",6740,"samp. 35901","AMPHIBOLES","ACTINOLITE","SCHIST",58.73,0,2.04,0.13,4.396,10.51,21.28,0.12,0,0.24,0.012,2.03,0.11,0.009,0.069,0,0,0,0,0,0.061,0
"5",4639,"samp. T289-R12A","AMPHIBOLES","ACTINOLITE","BASALT",45.52,1.86,4.96,0.04,13.15,14.84,10.48,0.373,0.12,0.61,0.0701,2.08,0.1927,0.03,0,0,0,0,0,0,0.0309,0
"6",4642,"samp. T289-R3","AMPHIBOLES","ACTINOLITE","BASALT",49.19,0,3.88,0.03,23.71,10.15,9.67,0.45,0.03,0.4,0.05,2.11654968141805,0.12,0.07,0.131,0,0,0,0,0,0.095,0
"7",13092,"samp. KY-11","AMPHIBOLES","ACTINOLITE","SPESSARTITE",55.78,0.05,1.77,0.16,11,12.67,16.15,0.44,0.03,0.18,0.06,2.02,0.12,0,0,0,0,0,0,0,0.036,0
"8",7477,"samp. OU42180","AMPHIBOLES","ACTINOLITE","NOT GIVEN",50.6,0.07,4.6,0.06,20.2,9.2,10,0.29,0.22,1.6,0.021567,2.3096,0.23,0.11,0.01,0,0,0,0,0,0.07,0
"9",26614,"samp. ACT 7","AMPHIBOLES","ACTINOLITE","BASALT",55.88,0.11,3.21,0.42,6.82,12.45,18.78,0.25,0.03,0.29,0.014408,2.15987155076249,0.16,0.012965,0.05,0,0,0,0,0,0,0
"10",4637,"samp. T289-R14","AMPHIBOLES","ACTINOLITE","BASALT",46.7,1.17,4.25,0.8328,17.98,12.87,8.59,0.36,0.18,0.63,0.2488056,2.06396689777026,0.48,0.13,0.0484,0,0,0,0,0,0.077,0
"11",4640,"samp. T289-R6","AMPHIBOLES","ACTINOLITE","BASALT",51.64,0.12,1.05,0.01,13.4,18,12.5,0.31,0.05,0.25,0.0871,1.65,0.27,0.034848,0.0085,0,0,0,0,0,0,0
"12",6724,"samp. 10274","AMPHIBOLES","ACTINOLITE","GABBRO",53.5,0.17,2.1,0,15.6,12.6,14.8,0.25,0.1,0.27,0,2.03236041802085,0.05,0,0,0,0,0,0,0,0,0
"13",13102,"samp. KTS-2","AMPHIBOLES","ACTINOLITE","NOT GIVEN",53.77,0.19,2.11,0,10.87,12.35,16.99,0.79,0.15,0.38,0,2.21,0,0.004,0,0,0,0,0,0,0.0776,0
"14",4632,"samp. T289-R29","AMPHIBOLES","ACTINOLITE","BASALT",50.34,0.28,3.54,0.025,11.02,17.05,14.68,0.324,0,0.26,0.14,1.62201320155401,0.15,0.15,0.00599142857142857,0,0,0,0,0,0,0
"15",12869,"samp. EL","AMPHIBOLES","ACTINOLITE","CARBONATITE, CALCITE",53.36,0.03,1.45,0.05,13.81,10.25,13.65,0.26,0.52,2.06,0.18,1.87,0.95,0.06,0.08,0,0,0,0,0,0.0861,0
"16",4635,"samp. T289-R28","AMPHIBOLES","ACTINOLITE","BASALT",52.91,0.22,2.37,1.24,6.77,17.9,17.69,0.297,0.01,0.23,0.06,1.83767597368839,0.29,0.024,0.05,0,0,0,0,0,0.0973,0
"17",5254,"samp. GE-20","AMPHIBOLES","ACTINOLITE","BASALT",44.15,0.57,11.86,0.02,14.22,12.07,10.77,0.2,0.57,1.77,0.1,2.5671,0.107296696315121,0.04,0,0,0,0,0,0,0,0
