"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","8378","samp. JST26-3-1","AMPHIBOLES","ACTINOLITE","DIORITE, QUARTZ",50.1,0.89,4.6,0.27,9.1,11.8,17.8,0.33,0.45,0.97,0,2.04,0.51,0.07,0.09,0,0,0,0,0,0.0185,0
"2","19104","samp. LY401-9 AACZ","AMPHIBOLES","ACTINOLITE","PERIDOTITE, XENOLITH",48.02,0.21,6.91,0.01,4.41,25.27,14.01,0.07,0.01,0.02,0.03,1.88146515595017,0.69,0.13,0.02,0,0,0,0,0,0.1056,0
"3","24898","samp. RB1506","AMPHIBOLES","ACTINOLITE","NOT GIVEN",52.833263,0.301709,2.849331,0.0192,11.231383,11.797467,17.072361,0.487861,0.18586,0.618042,0,2,0.63,0.013324,0.00397904761904762,0,0,0,0,0,0.239,0
"4","6479","samp. CS10","AMPHIBOLES","ACTINOLITE","ANDESITE",50.24,0.53,4.84,0.25,11.26,11.72,16.29,0.39,0.2,0.86,0,2.05,0,0.03,0.01,0,0,0,0,0,0.05,0
"5","2425","samp. TO63B","AMPHIBOLES","ACTINOLITE","GRANITE",48.41,0.61,4.38,0,18.51,11.05,11.62,0.67,0.32,0.69,0.0602631065409512,1.94066510109586,0.3962,0.065,0.23,0,0,0,0,0,0.0881,0
"6","27204","samp. LY-6","AMPHIBOLES","ACTINOLITE","GRANITE",51.02,0.74,4.93,0.03,12.97,11.56,14.6,0.79,0.51,1.15,0.01,2.07,0.0782,0.06,0.01,0,0,0,0,0,0,0
"7","19312","samp. SCK-14","AMPHIBOLES","ACTINOLITE","NOT GIVEN",56.46,0.1018,0.6942,0.0416,9.61,12.35,19.08,0.444,0.0342,0.1946,0.025551,2.1,0.07,0,0.07,0,0,0,0,0,0.149,0
"8","18304","samp. CM-2-2","AMPHIBOLES","ACTINOLITE","METABASITE",56.37,0.03,0.89,0.07,10.9,11.56,16.13,0.28,0,0.84,0,1.969,0,0.02,0.0535,0,0,0,0,0,0.0945,0
"9","10962","samp. G77","AMPHIBOLES","ACTINOLITE","TRACHYTE",47.91,1.94,2.61,0.291523,17.6,15.07,7.17,0.8,0.66,1.96,0.44,2.7337,0.19,0,0.0554,0,0,0,0,0,0.024,0
"10","9024","samp. S83-05","AMPHIBOLES","ACTINOLITE","BASALT, ALKALINE",47.766,2.468,5.329,0,7.955,22.898,12.571,0.114,0.017,0.567,0.11,1.60594749706545,0.114,0,0,0,0,0,0,0,0,0
"11","24873","samp. RB1509","AMPHIBOLES","ACTINOLITE","NOT GIVEN",51.865543,0.462881,3.080272,0.09,10.929626,11.632929,17.010057,0.607779,0.27668,0.586677,0,2.04,0.17,0.076512,0,0,0,0,0,0,0,0
"12","22984","samp. BU-5","AMPHIBOLES","ACTINOLITE","GABBRO, BIOTITE",50.408,0.431,7.122,0,11.617,12.137,13.484,0.226,0.166,0.819,0.026,2.08414103360213,0.079,0.013,0,0,0,0,0,0,0,0
"13","4536","samp. XJ-388","AMPHIBOLES","ACTINOLITE","BASALT",49.718,0.477,4.141,0.25,7.199,21.744,14.693,0.148,0.042,0.314,0.1125161,1.79,0.234058,0.063,0,0,0,0,0,0,0.076,0
"14","20957","samp. TC15","AMPHIBOLES","ACTINOLITE","MONZONITE",52.46,0.38,2.97,0.08,9.14,12.26,17.71,0.95,0.3,0.82,0.0183966568270898,1.97,0.3,0.0832706,0.0374,0,0,0,0,0,0.036,0
"15","4254","samp. 14.18","AMPHIBOLES","ACTINOLITE","PYROXENITE, ORTHO",51.26,0.2,7.27,0.68,2.87,12.67,20.12,0,0.19,1.8,0.01,2.1246952939948,0.2076,0.01,0.096,0,0,0,0,0,0,0
"16","29789","samp. AS 120","AMPHIBOLES","ACTINOLITE","NOT GIVEN",50.0958,0.7322,4.6109,0.736505,12.4548,12.0317,15.4491,0.4351,0.3792,0.8416,0.01255,1.96,0.17,0.09,0.06,0,0,0,0,0,0.135,0
"17","10539","samp. SK16B","AMPHIBOLES","ACTINOLITE","GABBRODIORITE",52.9,0.66,4.75,0.15,8.93,12.33,17.52,0.21,0.24,0.75,0,2.05,0.2,0.06,0.01,0,0,0,0,0,0.125,0
"18","2189","samp. B95-11","AMPHIBOLES","ACTINOLITE","KOMATIITE",54,0.21,1,0.49,6.5,17.9,19.4,0.18,0,0.17,0.2359549,1.66,0.41,0.059,0.055,0,0,1,0,0,0.0945,0
"19","20881","samp. E-3","AMPHIBOLES","ACTINOLITE","MONZODIORITE",50.61,0.52,4.83,0.01,13.72,11.28,15.96,0.67,0.44,1.13,0.01,1.94123447292124,0.411,0.022,0,0,0,0,0,0,0,0
"20","13308","samp. 15","AMPHIBOLES","ACTINOLITE","CARBONATITE",56.67,0.12,1.09,0.18,8.39,8.65,19.37,0.286,1.08,2.58,0.0033,1.82992331518129,0.47,0.027,0.144,0,0,0,0,0,0.2039,0
"21","26743","samp. 7-745","AMPHIBOLES","ACTINOLITE","SYENITE",55.0299023926506,0.145,1.28356540850454,0.052,7.10250439087389,11.7791229909813,19.4678499052786,0.355,0.171543276972624,0.734,0.00933230124154839,1.99,0.328071791613723,0.008,0,0,0,0,0,0,0.066,0
"22","32814","samp. YALI LOWER PUMICE UNIT","AMPHIBOLES","ACTINOLITE","RHYOLITE",48.56,1.1821,4.91,0.05,14.91,11.19,14.19,0.5865,0.4526,1.2299,0,2.07,0.261,0.06,0,0,0,0,0,0,0.034,0
