"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","AS_ppm","PBO","S","ZRO2","GROUP"
"1","[46] SPENGLER S. (1988)","samp. H-4-74","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"HAWAIITE","FINE-GRAINED INTERGRANULAR, APHYRIC",NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",1.08,0.04,0,0.01,0.3805,52.7,0.23,0.247,0.0088,0,40.5,0.0414267694897143,4.64,0.48,0,0,0,0,0,0,0,0,"APATITE"
"2","[46] SPENGLER S. (1988)","samp. H-84-3","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"HAWAIITE","FINE-GRAINED INTERGRANULAR, APHYRIC",NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.14,0,0.03411216,0,0.224455906159364,53.88,0.49,0.08,0.02,0.21,40.92,0.0132309050401268,3.75,0.392,0.0098,0,0,0,0,0,0.02,0.7485,"APATITE"
"3","[46] SPENGLER S. (1988)","samp. H-22-74","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"MUGEARITE","FINE-GRAINED INTERGRANULAR, APHYRIC",NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.34,0,0.002004,0.0348,0,53.8,0.03,0.237431975787277,0.01,0.118,41.2,0.0371918602368867,3.59,0.44,0,0,0,0,0,0,0.01,0.742,"APATITE"
"4","[46] SPENGLER S. (1988)","samp. H-84-25","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"MUGEARITE","FINE-GRAINED INTERGRANULAR, APHYRIC",NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.17,0.02,0.243,0.01,1.02595,53.36,0.48,0.1,0.16,0.01,40.53,0.11172582520465,3.45,0.23,0,0,0,0,0,0,0,0.14,"APATITE"
"5","[46] SPENGLER S. (1988)","samp. H-28-74","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"BENMOREITE","PORPHYRITIC",NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.265,0,0,0,0.086,53.5,0,0.02,0.02,0.128,41.1,0.0581176244376962,4.2,0.3,0,0,0,0,0,0,0.02,0.07,"APATITE"
"6","[46] SPENGLER S. (1988)","samp. H-84-62","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"BENMOREITE","PORPHYRITIC",NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.08,0,0,0,0.2,53.27,0.43,0.13,0.0605,0.09,40.8,0.626664502999063,2,0.83,0,0,0,0,0,0,0.02,0,"APATITE"
"7","[46] SPENGLER S. (1988)","samp. H-84-61","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"TRACHYTE",NA,NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.17,0.02,0,0.01,0.581,53.18,0.38,0.13,0.0095,0.225,40.02,-0.046762398005165,3.68,0.294,0,0,0,0,0,0,0,0.6369,"APATITE"
"8","[457] HAURI E. H. (1993)","samp. 90SAV1-1","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I",NA,-13.5,-13.5,-172.5,-172.5,"subaerial",NA,NA,"HARZBURGITE, XENOLITH",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.27,0,0.06,0.02,0.393,52.16,0.43,0.0742,0.085,0.385158826086957,40.85,-0.0846354258259858,4.82,0.3,0.0098,0,0,0,0,0,0.02,0.5983,"APATITE"
"9","[457] HAURI E. H. (1993)","samp. TBA1-9","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / TUBUAI",NA,-23.38,-23.38,-149.45,-149.45,"subaerial",NA,NA,"WEHLERITE, XENOLITH","MILDLY PORPHYROCLASTIC",NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.31,0,0.09,0,0.2501,51.87,0.43,0.055,0.01,0.204,39.9,0,5.51,0.3,0,0,0,0,0,0,0.01,0.7671,"APATITE"
"10","[457] HAURI E. H. (1993)","samp. TBA4-11","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / TUBUAI",NA,-23.38,-23.38,-149.45,-149.45,"subaerial",NA,NA,"DUNITE, XENOLITH","CUMULATE",NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.38,0,0,0,0.278,53.98,0.34,0.09,0,0.06,40.33,-0.129440851099831,4.4,0.23,0,0,0,0,0,0,0.02,0.6461,"APATITE"
