"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","43249","samp. JO-10E","CARBONATE","ALSTONITE","ORTHOPYROXENITE, XENOLITH",0.51,0.4229157,0.06,0.26,3.22,17.8,20.2,0.7024,0.868,1,0.45,0,3.22,0.19,0.08,0,0,0.53,0,0.01,0.015,0
"2","43249","samp. JO-10E","CARBONATE","ALSTONITE","ORTHOPYROXENITE, XENOLITH",0.51,0.4229157,0.06,0.26,3.22,17.8,20.2,0.7024,0.868,1,0.45,0,3.22,0.19,0.08,0,0,0.53,0,0.01,0.015,0
"3","43866","samp. C2A26","CARBONATE","ALSTONITE","CLINOPYROXENITE",0.16,0.19,0.05,0.21,0.05,18.18,0.02,0.04,0.01,0.21,0.273,0,0.51,0.03,0.045,0,0,0.04,0,0.01,0.18,0
"4","43877","samp. C2B18","CARBONATE","ALSTONITE","CARBONATITE, FERRO",0.1205961,0.4136019,0.11,0.144,0.2166671,18.41556,0.04738484,0.3,0.06729081,11.8,1.15,0,0.17,0.26,0,0,0,0.13692,0,0.24,0.015,0
"5","43877","samp. C2B18","CARBONATE","ALSTONITE","CARBONATITE, FERRO",0.1205961,0.4136019,0.11,0.144,0.2166671,18.41556,0.04738484,0.3,0.06729081,11.8,1.15,0,0.17,0.26,0,0,0,0.13692,0,0.24,0.015,0
"6","43933","samp. C1C3B","CARBONATE","ALSTONITE","CARBONATITE, MAGNESIO",0.3883977,0.2054193,0.07858092,0.06,9.1,18.42877,0.4884591,0.8,0.02010521,1,0.01,0,4.15,0.14,0.07,0,0,0.06,0,0.19,0.18,0
"7","41413","samp. DDH94-11:87.7","CARBONATE","ALSTONITE","KIMBERLITE, CARBONATE-SERPENTINE",9.81,0.2211246,0.56,0.26,0.18,21.23,1.91,0.18,0.54,0.5,0.01,0,2.64,0.07,0.069,0,0,0,0,0.01,0.01,0
"8","43933","samp. C1C3B","CARBONATE","ALSTONITE","CARBONATITE, MAGNESIO",0.3883977,0.2054193,0.07858092,0.06,9.1,18.42877,0.4884591,0.8,0.02010521,1,0.01,0,4.15,0.14,0.07,0,0,0.06,0,0.19,0.18,0
"9","43934","samp. C1C3B","CARBONATE","ALSTONITE","CARBONATITE, MAGNESIO",0.08118693,1.124519,0,0,1.24,18.44321,0.1168829,0.1861177,0.16,0.1298501,0.01,0,3.47,0.03,0.03,0,0,0.06,0,0.19,0.18,0
"10","43866","samp. C2A26","CARBONATE","ALSTONITE","CLINOPYROXENITE",0.16,0.19,0.05,0.21,0.05,18.18,0.02,0.04,0.01,0.21,0.273,0,0.51,0.03,0.045,0,0,0.04,0,0.01,0.18,0
"11","43934","samp. C1C3B","CARBONATE","ALSTONITE","CARBONATITE, MAGNESIO",0.08118693,1.124519,0,0,1.24,18.44321,0.1168829,0.1861177,0.16,0.1298501,0.01,0,3.47,0.03,0.03,0,0,0.06,0,0.19,0.18,0
"12","41413","samp. DDH94-11:87.7","CARBONATE","ALSTONITE","KIMBERLITE, CARBONATE-SERPENTINE",9.81,0.2211246,0.56,0.26,0.18,21.23,1.91,0.18,0.54,0.5,0.01,0,2.64,0.07,0.069,0,0,0,0,0.01,0.01,0
"13","43933","samp. C1C3B","CARBONATE","ALSTONITE","CARBONATITE, MAGNESIO",0.3883977,0.2054193,0.07858092,0.06,9.1,18.42877,0.4884591,0.8,0.02010521,1,0.01,0,4.15,0.14,0.07,0,0,0.06,0,0.19,0.18,0
"14","43249","samp. JO-10E","CARBONATE","ALSTONITE","ORTHOPYROXENITE, XENOLITH",0.51,0.4229157,0.06,0.26,3.22,17.8,20.2,0.7024,0.868,1,0.45,0,3.22,0.19,0.08,0,0,0.53,0,0.01,0.015,0
"15","41413","samp. DDH94-11:87.7","CARBONATE","ALSTONITE","KIMBERLITE, CARBONATE-SERPENTINE",9.81,0.2211246,0.56,0.26,0.18,21.23,1.91,0.18,0.54,0.5,0.01,0,2.64,0.07,0.069,0,0,0,0,0.01,0.01,0
"16","43933","samp. C1C3B","CARBONATE","ALSTONITE","CARBONATITE, MAGNESIO",0.3883977,0.2054193,0.07858092,0.06,9.1,18.42877,0.4884591,0.8,0.02010521,1,0.01,0,4.15,0.14,0.07,0,0,0.06,0,0.19,0.18,0
"17","41413","samp. DDH94-11:87.7","CARBONATE","ALSTONITE","KIMBERLITE, CARBONATE-SERPENTINE",9.81,0.2211246,0.56,0.26,0.18,21.23,1.91,0.18,0.54,0.5,0.01,0,2.64,0.07,0.069,0,0,0,0,0.01,0.01,0
"18","43867","samp. C2A26","CARBONATE","ALSTONITE","CLINOPYROXENITE",0.2,0.03,0.11,0.03,1.06,18.89,0.02,0.21,0.3416,0.06,0,0,0,0,0.027,0,0,0.03,0,0,0.015,0
