"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","AS_ppm","PBO","S","ZRO2","GROUP"
"1","[919] KOGARKO L. N. (1995)","samp. MC-1","OCEAN ISLAND","CANARY ISLANDS / LANZAROTE / BASALT SERIES IV","ISLA DE MONTANA CLARA",29.29,29.29,-13.45,-13.45,"subaerial",NA,NA,"HARZBURGITE, XENOLITH",NA,NA,NA,NA,"CARBONATE",NA,NA,NA,NA,"primary",4.1,0.2499644,1.2,0.14,0.59,54.3,6.8,0.09,0.13,0.2,1.9,0,1.82,0.46,0,0,0,0.07095,0,0,0.24,0.01,"CARBONATE"
"2","[919] KOGARKO L. N. (1995)","samp. MC-1","OCEAN ISLAND","CANARY ISLANDS / LANZAROTE / BASALT SERIES IV","ISLA DE MONTANA CLARA",29.29,29.29,-13.45,-13.45,"subaerial",NA,NA,"HARZBURGITE, XENOLITH",NA,NA,NA,NA,"CARBONATE",NA,NA,NA,NA,"primary",1.1,0.031,0.27,0.18,0.28,50.8,3.1,0.241,0.1523831,0.31,0.06,0,0.05,0,0.03,0,0,0.02,0,0,0.19,0.04,"CARBONATE"
"3","[919] KOGARKO L. N. (1995)","samp. MC-1","OCEAN ISLAND","CANARY ISLANDS / LANZAROTE / BASALT SERIES IV","ISLA DE MONTANA CLARA",29.29,29.29,-13.45,-13.45,"subaerial",NA,NA,"HARZBURGITE, XENOLITH",NA,NA,NA,NA,"CARBONATE",NA,NA,NA,NA,"primary",0.04,0,0.03044188,0.173,0.1,47,3.1,0.32,0.04,0.13,0.15,0,0.0549,0.0042,0.048,0,0,0.02,0,0,0.14,0.18,"CARBONATE"
"4","[944] BARRERA J. L. (1981)","samp. F-368","OCEAN ISLAND","CANARY ISLANDS / FUERTEVENTURA",NA,28,28.75,-13.8,-14.5,"subaerial",NA,NA,"PYROXENITE",NA,NA,NA,NA,"CALCITE",NA,NA,NA,NA,"primary",0.03,0.01,0,0.04,0.06,54.64,0,0.05,0.02,0.42,0.01,0,0,0.006,0,0,0,0,0,0,0.01,0.18,"CARBONATE"
"5","[944] BARRERA J. L. (1981)","samp. F-303","OCEAN ISLAND","CANARY ISLANDS / FUERTEVENTURA",NA,28,28.75,-13.8,-14.5,"subaerial",NA,NA,"PYROXENITE",NA,NA,NA,NA,"CALCITE",NA,NA,NA,NA,"primary",0.07,0.01,0.01,0.21,0.12,53.78,0,0.03,0.01,0.14,0.01,0,1.3415,0.04,0,0,0,0,0,0,0,0.18,"CARBONATE"
"6","[944] BARRERA J. L. (1981)","samp. F-368","OCEAN ISLAND","CANARY ISLANDS / FUERTEVENTURA",NA,28,28.75,-13.8,-14.5,"subaerial",NA,NA,"PYROXENITE",NA,NA,NA,NA,"CALCITE",NA,NA,NA,NA,"primary",0.1749253,0.01,0.05788961,0.21,0.19468,53.56,0,0.04,0.02,0.14,0.12,0,1.66,0,0.0549,0,0,0,0,0,0,0.18,"CARBONATE"
"7","[1144] GENSHAFT YU. S. (1988)","samp. SP.10-3","OCEAN ISLAND","ICELAND / ICELAND","SNAEFELLSNES PENINSULA, HELLISFJALL",64.8,64.8,-23,-23,"subaerial",NA,NA,"GABBRO",NA,NA,NA,"moderately altered","CARBONATE",NA,NA,NA,NA,"primary",0.19,0.05,0.124642,0.07,0.81,50.53,0.88,0.12,0.2,0.14,0.253,0,0.1,1.15,0.2,0,0,0,0,0,0.4,0.015,"CARBONATE"
"8","[1144] GENSHAFT YU. S. (1988)","samp. SP.10-3","OCEAN ISLAND","ICELAND / ICELAND","SNAEFELLSNES PENINSULA, HELLISFJALL",64.8,64.8,-23,-23,"subaerial",NA,NA,"GABBRO",NA,NA,NA,"moderately altered","CARBONATE",NA,NA,NA,NA,"primary",9.81,0.5612103,1.988,0.173,4.52,36.08,5.63,10.31,1.16,0.15,0.02,0,0.29,0.2072,0.045,0,0,0.3871,0,0,0.6,0.01,"CARBONATE"
"9","[1179] WAGNER C. (1988)","samp. 1","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL","REQUIN 3 DRILL HOLE, WITHIN MURUROA LAGOON",-21.88,-21.88,-138.75,-138.75,"subaquatic",NA,NA,"TRACHYTE, COMENDITIC",NA,NA,NA,NA,"CARBONATE",NA,NA,NA,NA,"primary",0.02,0.03,0.22,0,23.07,3.43,7.88,0.81,0.022,0.0383,0.017,0,0.53,0.05,0,0,0,0.53,0,0,0.19,0.18,"CARBONATE"
"10","[1179] WAGNER C. (1988)","samp. 2","OCEAN ISLAND","PITCAIRN-GAMBIER CHAIN / MURUROA ATOLL","REQUIN 3 DRILL HOLE, WITHIN MURUROA LAGOON",-21.88,-21.88,-138.75,-138.75,"subaquatic",NA,NA,"TRACHYTE, COMENDITIC",NA,NA,NA,NA,"CARBONATE",NA,NA,NA,NA,"primary",0.043,0.07,0.17,0.011,47.52,7.77,3.91,3.15,0,3.21,0.225,0,0.8311,0.2072,0,0,0,0.15,0,0,0.6,0.04,"CARBONATE"
