"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"1","[268] HAY R. L. (1972)","samp. 2","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PAHALA ASH MEMBER","CRATER",19.4,19.4,-155.27,-155.27,"subaerial",1212,1212,"BASALT",NA,NA,NA,"extensively altered","PALAGONITE",NA,NA,NA,NA,"secondary",29.45,3.68,17.12,0,22.62,1.7,1.38,0.08,0.11,0.22,0.23,18.6,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"2","[268] HAY R. L. (1972)","samp. 3","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PAHALA ASH MEMBER","CRATER",19.4,19.4,-155.27,-155.27,"subaerial",1212,1212,"BASALT",NA,NA,NA,"extensively altered","PALAGONITE",NA,NA,NA,NA,"secondary",24.5,3.58,19.96,0,14.26,1.51,1.94,0.19,0.08,0.23,0.23,17.54,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"3","[268] HAY R. L. (1972)","samp. 4","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PAHALA ASH MEMBER","CRATER, NORTHEAST OF PAHALA",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"BASALT",NA,NA,NA,"extensively altered","PALAGONITE",NA,NA,NA,NA,"secondary",34.57,3.23,15.64,0.07,27.69,2.06,2.79,0.11,0.12,0.22,0.12,20.83,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"4","[307] HAY R. L. (1968)","samp. 1","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","KOKO CRATER, WESTERN SIDE OF CONE",21.29,21.29,-157.64,-157.64,"subaerial",NA,NA,"BASALT, ALKALINE","DENSE",NA,NA,"extensively altered","PALAGONITE",NA,NA,NA,NA,"secondary",47.7,4.1,9.3,0,16.8,5.4,1.7,0.1,0.3,0.3,0.28,20.9,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"5","[307] HAY R. L. (1968)","samp. 2","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","KOKO CRATER",21.29,21.29,-157.64,-157.64,"subaerial",NA,NA,"BASALT, ALKALINE","POROUS",NA,NA,"extensively altered","PALAGONITE",NA,NA,NA,NA,"secondary",41.8,4.3,9,0.07,7.57,2.5,7.8,0.22,1,0.7,0.26,18,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"6","[307] HAY R. L. (1968)","samp. 3","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","PALI VENT (VENT 14), RIM OF KOOLAU CALDERA",21.34,21.34,-157.85,-157.85,"subaerial",NA,NA,"BASALT, ALKALINE","DENSE",NA,NA,"extensively altered","PALAGONITE",NA,NA,NA,NA,"secondary",36.9,4.6,8.4,0,22.62,3.7,1.2,0.19,0.66,0.01,0.29,18.6,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"7","[307] HAY R. L. (1968)","samp. 4","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","TANTALUS CRATER, ROUND TOP",21.34,21.34,-157.85,-157.85,"subaerial",116,116,"BASALT, ALKALINE",NA,NA,NA,"extensively altered","PALAGONITE",NA,NA,NA,NA,"secondary",41.4,4.1,7.2,0,18,3.5,6,0.37,3,0.2,0.19,21.4,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"8","[307] HAY R. L. (1968)","samp. 5","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","TANTALUS CRATER, ROUND TOP",21.34,21.34,-157.85,-157.85,"subaerial",116,116,"BASALT, ALKALINE",NA,NA,NA,"extensively altered","PALAGONITE",NA,NA,NA,NA,"secondary",49.4,5,5.5,0,11.7,6.1,2.7,0.32,2.9,0.05,0.16,12.67,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"9","[307] HAY R. L. (1968)","samp. 6","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SALT LAKE CRATER",21.34,21.34,-157.92,-157.92,"subaerial",NA,NA,"THOLEIITE",NA,NA,NA,"extensively altered","PALAGONITE",NA,NA,NA,NA,"secondary",45.5,3.7,10.8,0,8.6,2.4,3.8,0,0.3,0.1,0.23,18,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
"10","[421] DALRYMPLE G. B. (1980)","samp. 430A-4-2","SEAMOUNT","HAWAIIAN-EMPEROR CHAIN / OJIN / SITE 430 / POST-SHIELD STAGE","HOLE 430A",37.9882,37.9882,-170.5977,-170.5977,"subaquatic",-1486,-1486,"HAWAIITE","MASSIVE, SUBTRACHYTIC",0.11,0.118,"slightly altered","CLAY MINERAL",NA,"groundmass",NA,NA,"secondary",44.5,0.13,5.3,0,17.19,0.02,14.1,0.28,0.67,1.2,0.09,21.4,0.06,0.2,NA,NA,NA,NA,NA,NA,NA,0,"CLAY"
