"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"1","45880","samp. WJ18B","FELDSPAR","ANORTHOCLASE","RHYOLITE",66.39,0.04,19.37,0,0.22,0.51,0.01,0,5.28,7.91,0,0,0,0,0,0,0,0,0,0,0,0,99.73
"2","45881","samp. WJ18B","FELDSPAR","ANORTHOCLASE","RHYOLITE",66.56,0.04,19.55,0,0.31,0.56,0.01,0,4.54,8.3,0,0,0,0.001,0,0,0,0,0,0,0,0,99.871
"3","45890","samp. 28","FELDSPAR","ANORTHOCLASE","COMENDITE",67.22,0.1,18.93,0.01,0.5,0.42,0,0,4.48,7.45,0,0,0,0.02,0.022,0,0,0,0,0,0,0,99.152
"4","45958","samp. EI9210","FELDSPAR","ANORTHOCLASE","TRACHYTE",67.43,0.0182811016144349,18.61,0.026,0.75,0.18,0.01,0,5.35,7.52,0,0,0.01,0,0,0,0,0,0,0,0,0,99.9042811016144
"5","46276","samp. M-390","FELDSPAR","ANORTHOCLASE","HARZBURGITE, XENOLITH",66.39,0.037,19.33,0.0067,0.18,0.96,0,0,6.06,6.71,0.039,0,0.11,0,0,0,0,0,0,0,0,0,99.8227
"6","46326","samp. JAN37","FELDSPAR","ANORTHOCLASE","TRISTANITE",62.46,0.27,21.28,0.17,0.92,2.04,0.01,0.0162,7.8,4.91,0,0,0.21,0.01,0.027,0,0,0,0,0,0,0,100.1232
"7","46327","samp. JAN324","FELDSPAR","ANORTHOCLASE","SYENITE",64.8,0.044,21.72,0,0.069337799536202,1.92,0,0,3.33,8.04,0,0,0,0,0,0,0,0,0,0,0,0,99.9233377995362
"8","46328","samp. JAN81","FELDSPAR","ANORTHOCLASE","TRACHYTE",63.74,0.05,21.52,0.013,0.16,1.56,0.01,0,5.76,6.44,0.03,0,0.0225,0,0,0,0,0,0,0,0,0,99.3055
"9","46329","samp. JAN175","FELDSPAR","ANORTHOCLASE","TRISTANITE",65.45,0.08,20.37,0,0.1406,1.02,0,0,6.07,6.27,0.02,0,0,0.005517,0,0,0,0,0,0,0,0,99.426117
"10","46330","samp. JAN35","FELDSPAR","ANORTHOCLASE","TRACHYTE",64.46,0.0227,21.28,0,0.152,0.92,0,0.028408023590229,6.2,6.72,0,0,0,0.004,0,0,0,0,0,0,0,0,99.7871080235902
"11","46331","samp. JAN35","FELDSPAR","ANORTHOCLASE","TRACHYTE",64.72,0.28,19.91,0.064,0.210566666666667,0.54,0.09,0.052,7.13,5.98,0.08,0,0.095,0.044,0.14,0,0,0,0,0,0,0,99.3355666666667
"12","46332","samp. JAN142","FELDSPAR","ANORTHOCLASE","TRACHYTE",64.14,0.004,19.54,0.0095,0.01,0.41,0,0,10.22,4.69,0.0062,0,0.006797,0.004,0,0,0,0,0,0,0,0,99.040497
"13","46333","samp. JAN329","FELDSPAR","ANORTHOCLASE","NOT GIVEN",65.22,0.12,19.28,0.014,0.22,0.34,0.07,0.124,8.43,5.65,0.023,0,0,0.001,0.015,0,0,0,0,0,0,0,99.507
"14","46334","samp. JAN142","FELDSPAR","ANORTHOCLASE","TRACHYTE",64.96,0.0849514563106796,19.06,0.0122,0.048,0.18,0,0,10.34,4.65,0,0,0.12469,0.07,0.04,0,0,0,0,0,0,0,99.5698414563107
