"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","196447","samp. TURJITE","FELDSPATHOID","ANALCIME","LAMPROPHYRE, ALKALINE",53.63,0.02,22.64,0,0.19,0.15,0.03,0.02,3.64369,12.69,0.43,18.0269,0,0.031,0.014,0,0,0,0,0.35,0,0
"2","196451","samp. B27","FELDSPATHOID","ANALCIME","BASANITE",52.55,0,26.11,0,0.13,0.23,0,0,0.12,11.25,0,5.22120000000001,0,0.01,0,0,0,0,0,1.75,0,0
"3","197480","samp. OCF 97 116NIA1","FELDSPATHOID","ANALCIME","LATITE",55.639,0.075,21.621,0.04,0.427,0.12,0,0,0.131,6.741,0.39,15.1133,0.16,0.08,0.021,0,0,0,0,2.95,0,0
"4","197996","samp. MFEH35","FELDSPATHOID","ANALCIME","DOLERITE, LAMPROPHYRIC",48.7628,0.2352,23.2192,0.01,6.35,0.1821,5.274,0,0.1051,13.1199,0.35,14.6109,0,0,0.2,0,0,0,0,0.01,0,0
"5","195322","samp. FM42","FELDSPATHOID","ANALCIME","LAMPROPHYRE",52.35,0.05,22.65,0,0.12,1.61,0.066,0,2.65,10.86,0.07,5.94039999999998,0.145,0.2,0,0,0,0,0,1.07,0,0
"6","195586","samp. PG1","FELDSPATHOID","ANALCIME","TRACHYTE",60.85,0.05,18.5,0.04,0.5111,0.25,0,0,0.28,10.47,0,14.6109,0.02,0.0177,0,0,0,0,0,2.95,0,0
"7","195563","samp. BK01/3C","FELDSPATHOID","ANALCIME","LAMPROITE, OLIVINE-CLINOPYROXENE-LEUCITE",59.39,0,23.161,0.04,0.611,0.869,0.177,0.026,0.755,7.712,0,8.2238,0.17,0.45,0,0,0,0,0,1.07,0,0
"8","196359","samp. F2","FELDSPATHOID","ANALCIME","PHONOLITE",54.37,0,22.84,0,0.04,0.03,0,0,0.15,12.76,0,15.9262,0.14,0,0.01,0,0,0,0,0.35,0,0
"9","196660","samp. KM-22","FELDSPATHOID","ANALCIME","LAMPROPHYRE, ALKALINE",52.64,0,24.73,0,0,0.31,0,0.02,0.02,12.09,1.01,7.77660000000002,0.145,0.3,0,0,0,0,0,0.71,0,0
"10","195664","samp. B.M. 1929, 173(57)","FELDSPATHOID","ANALCIME","PHONOLITE",53.6,0.0786,22.6,0.03,0.1592,0,0.01,0,0.13,12.8,0.2478,15.9262,0,0.1,0.01,0,0,0,0,1.75,0,0
"11","196441","samp. W-220","FELDSPATHOID","ANALCIME","NEPHELINITE, MELA, OLIVINE",50.63,0,23.68,0,0.37,0,0,0,0,16.27,0.3367,8.14230000000001,0.32,0.8753,0.0222,0,0,0,0,2.95,0,0
"12","196418","samp. P8","FELDSPATHOID","ANALCIME","LAMPROPHYRE",50.61,0.03,22.72,0.036,0.04,0.29,0.04,0.0045,0.27,11.46,0,14.3167,0.04,0,0.02,0,0,0,0,0.35,0,0
"13","196679","samp. AX4","FELDSPATHOID","ANALCIME","TRACHYTE",55.8144,0,23.5609,0,0.1575,0.2814,0.096,0,0.4201,11.0165,0,7.71350000000001,1e-04,0.21,0,0,0,0,0,0.01,0,0
"14","195565","samp. BK01/3C","FELDSPATHOID","ANALCIME","LAMPROITE, OLIVINE-CLINOPYROXENE-LEUCITE",62.572,0.341333333333333,17.047,0.01,2.157,2.045,0.179,0.046,8.244,2.288,0,5.22120000000001,0.09,0.13,0,0,0,0,0,2.95,0,0
"15","196801","samp. R21692","FELDSPATHOID","ANALCIME","MUGEARITE",53.06,0,24.27,0,0.22,0.77,0,0,0.97,12.5,0.03,7.65579999999999,0.09,0.1142,0.007,0,0,0,0,0,0,0
"16","195364","samp. TU31","FELDSPATHOID","ANALCIME","BASALT",48.01,0.72,29.28,0.032,2.538256,2.94,1.3917,0.0501,3.98,11.46,0.21,7.59969999999998,0.21,0.48,0.11,0,0,0,0,2.95,0,0
"17","195835","samp. DR 15023","FELDSPATHOID","ANALCIME","TRACHYTE, OLIVINE",55.09,0.007,23.18,0,0.16,0.11,0.02,0,0.45,10.96,0.007,8.991,0,0.0093,0.002,0,0,0,0,0.35,0,0
"18","195449","samp. 72103","FELDSPATHOID","ANALCIME","DOLERITE, ALKALINE, ANALCIME",53.98,0.0345,23.49,0,0.3185326,0.77,0,0.02,0.32,13.33,0,7.71350000000001,0,0.0197,0.001,0,0,0,0,0.35,0,0
"19","196551","samp. TARIAT","FELDSPATHOID","ANALCIME","BASALT",58.3,0.1468,22.6,0.07,0.89,0.31,0.1231,0,7.577,4.8,0.142486620038386,6.82,0.112,0.24,0.0062,0,0,0,0,2.95,0,0
