"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"1","[305] IIJIMA A. (1969)","samp. 10","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SOUTH OF KOKO CRATER, LOWER UNIT",21.29,21.29,-157.64,-157.64,"subaerial",NA,NA,"BASALT",NA,NA,NA,"extensively altered","ANALCIME",NA,NA,NA,NA,"secondary",53.2,0,23.7,0.03,0.09,1.14,0.06,0,0.02,12.7,0,7.97399999999999,0.06,0.0029,NA,NA,NA,NA,NA,NA,NA,1.07,"FELDSPATHOID"
"2","[369] WILKINSON J. F. G. (1983)","samp. MO6,7,5A","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SUGARLOAF CONE, MO(I)LIILI QUARRY",21.34,21.34,-157.85,-157.85,"subaerial",NA,NA,"NEPHELINITE, OLIVINE-MELILITE",NA,NA,NA,NA,"NEPHELINE","1","groundmass",NA,NA,"primary",41.5,0.0621,33.6,0,0.5299,0.27,0.101,0.05,7.33,16,0.161652245946146,7.92980000000001,0.14,1.32,NA,NA,NA,NA,NA,NA,NA,0,"FELDSPATHOID"
"3","[369] WILKINSON J. F. G. (1983)","samp. MO17","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SUGARLOAF CONE, MO(I)LIILI QUARRY",21.34,21.34,-157.85,-157.85,"subaerial",NA,NA,"MELTEIGITE",NA,NA,NA,NA,"NEPHELINE","2",NA,"core",NA,"primary",41.7,0.012,33.9,0,1.601493,0.2,0.05,0.0182,8.19,15.3,0,6.82,0,0,NA,NA,NA,NA,NA,NA,NA,0,"FELDSPATHOID"
"4","[369] WILKINSON J. F. G. (1983)","samp. MO6,7,5A","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SUGARLOAF CONE, MO(I)LIILI QUARRY",21.34,21.34,-157.85,-157.85,"subaerial",NA,NA,"NEPHELINITE, OLIVINE-MELILITE",NA,NA,NA,NA,"SODALITE","3",NA,NA,NA,"primary",37.7,0.0042,30.5,0.02,0.39,0.04627931,0.0234,0,0.26,24.1,0.28,7.68079999999999,0,7.76,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"5","[369] WILKINSON J. F. G. (1983)","samp. MO17,5B","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SUGARLOAF CONE, MO(I)LIILI QUARRY",21.34,21.34,-157.85,-157.85,"subaerial",NA,NA,"MELTEIGITE",NA,NA,NA,NA,"SODALITE","4",NA,"core",NA,"primary",37.3,0.0046,31.2,0,0.7492,0.1,0.01,0,1.44,23.7,0.03,6.47209999999998,0.2556,7.82,NA,NA,NA,NA,NA,NA,NA,0.22,"FELDSPATHOID"
"6","[369] WILKINSON J. F. G. (1983)","samp. MO24","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SUGARLOAF CONE, MO(I)LIILI QUARRY",21.34,21.34,-157.85,-157.85,"subaerial",NA,NA,"IJOLITE",NA,NA,NA,NA,"SODALITE","5",NA,"rim",NA,"primary",38.6,0.0199,30.2,0.02,0.91,0.659,0.054,0.0067,1.35,21.5,0.261642934773144,0.34,1e-04,8.01,NA,NA,NA,NA,NA,NA,NA,1.25,"FELDSPATHOID"
"7","[725] ROCHA DE MACEDO J. (1989)","samp. 2N-239","OCEAN ISLAND","CAPE VERDE ISLANDS / SAO NICOLAO / ANTIGO COMPLEX","1500 M SOUTHWEST OF BELEM",16.5,16.7,-24,-24.3,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",46.99,0.022,34.98,0.0064,0.7069,0.39,0,0,4.22,14.8,0.01,9.28470000000002,0.14,0.61,NA,NA,NA,NA,NA,NA,NA,0.22,"FELDSPATHOID"
"8","[725] ROCHA DE MACEDO J. (1989)","samp. 2N-239","OCEAN ISLAND","CAPE VERDE ISLANDS / SAO NICOLAO / ANTIGO COMPLEX","1500 M SOUTHWEST OF BELEM",16.5,16.7,-24,-24.3,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",46.45,0.01,34.46,0.04,0.918,0.03,0.04,0,4.79,15.33,0,9.55759999999998,0.02,0.47,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"9","[725] ROCHA DE MACEDO J. (1989)","samp. 2N-239","OCEAN ISLAND","CAPE VERDE ISLANDS / SAO NICOLAO / ANTIGO COMPLEX","1500 M SOUTHWEST OF BELEM",16.5,16.7,-24,-24.3,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",44.92,0.0115,31.87,0,0.463879,0.43,0.03,0,4.34,16.46,0,5.22120000000001,0,0.4,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
"10","[725] ROCHA DE MACEDO J. (1989)","samp. 2N-239","OCEAN ISLAND","CAPE VERDE ISLANDS / SAO NICOLAO / ANTIGO COMPLEX","1500 M SOUTHWEST OF BELEM",16.5,16.7,-24,-24.3,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"NEPHELINE",NA,NA,NA,NA,"primary",44.7,0,33.22,0.11,1.25,0.17,0.03,0.01,4.67,16.62,0.0282,5.22120000000001,0,0.2,NA,NA,NA,NA,NA,NA,NA,0.01,"FELDSPATHOID"
