id,SAMPLE,GROUP,MINERAL,ROCK,SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5,H20,F,CL,NIO,CUO,COO,ZNO,PBO,S,ZRO2,AS,X1_1
1,samp. 2016KL17B/15D071H5,AMPHIBOLES,ACTINOLITE,"DIORITE, GABBROIC",52.84,0.24,3.72,0.27,13.63,12.12,13.65,0.3,0.12,0.47,0.019,2.129705858,0.07,0.050161,0.08,0,0,0,0,0,0.057,0,NA
2,samp. 2,AMPHIBOLES,ACTINOLITE,BASALT,49.43,0.11,6.35,0.229,18.825,18.33,9.02,0.51,0,1.17,0.18,2.07,0.2123,0.076,0.033,0,0,0,0,0,-0.0028,0,NA
3,samp. 7-745,AMPHIBOLES,ACTINOLITE,SYENITE,53.65485558,0.159,2.351609018,0.062,9.373135764,12.29550534,17.71188914,0.268,0.187937874,0.675,0.012,2.05,0.290098475,0.022,0.083,0,0,0,0,0,0.0511,0,NA
4,samp. ACT 7,AMPHIBOLES,ACTINOLITE,BASALT,55.88,0.11,3.21,0.42,6.82,12.45,18.78,0.25,0.03,0.29,0.014408,2.159871551,0.16,0.012965,0.05,0,0,0,0,0,0,0,NA
5,samp. MAR14-24,AMPHIBOLES,ACTINOLITE,DIORITE,48.495,0.372,7.358,0.076,16.145,12.29,10.961,0.241,0.609,0.548,0,2.098426407,0.154,0.06,0.01,0,0,0,0,0,0,0,NA
6,samp. ST01,AMPHIBOLES,ACTINOLITE,NOT GIVEN,52.64,0.22,4.01,0.09,9.23192,12.23,16.66,0.07,0.08,0.2,0.024351,2.03,0.615,0.017927,0,0,0,0,0,0,0.164,0,NA
7,samp. MC066A,AMPHIBOLES,ACTINOLITE,KOMATIITE,53.2,0.08,3.86,0,14.4,12.69,14.61,0.23,0.21,0.27,0,2.13,0.06,0.02,0.004,0,0,0,0,0,0.075,0,NA
8,samp. RB1505,AMPHIBOLES,ACTINOLITE,NOT GIVEN,51.141445,0.826352,4.094418,0.02,14.966835,11.808702,14.436463,0.325977,0.342547,0.637921,0.013,2.01,0.22,0.070201,0,0,0,0,0,0,0,0,NA
9,samp. RBEP-010,AMPHIBOLES,ACTINOLITE,NOT GIVEN,54.39,0.19,1.64,0.003301112,12.65,12.46,15.95,0.41,0.03,0.22,0.022828,2.24613378,0.063,0,0,0,0,0,0,0,0.02,0,NA
10,samp. GH177-2,AMPHIBOLES,ACTINOLITE,ANDESITE,53.78,0.09,3,0.0639,11.91,11.88,15.63,0.46,0.12,0.32,0.013831766,1.993,0,0.02,0.005,0,0,0,0,0,0.0938,0,NA
11,samp. SCR-6,AMPHIBOLES,ACTINOLITE,NOT GIVEN,54.2,0.2556,1.4025,0,13.4,11.73,15.99,0.4481,0.1421,0.7063,0.013,2.04,0,0.03219,0.0058,0,0,0,0,0,0.075,0,NA
12,samp. 15ZB118-2,AMPHIBOLES,ACTINOLITE,NOT GIVEN,52.5,0.351,2.52,0.006754,17.8,11.5,10.8,0.581,0.258,0.878,0,2.01,0.1,0.025,0.0045,0,0,0,0,0,0.1149,0,NA
13,samp. 226/2,AMPHIBOLES,ACTINOLITE,HORNBLENDITE,54.1456,0.3059,2.8233,0.06,9.0056,12.2242,18.5299,0.182,0.0409,0.3702,0.026,2.07,0.2057,0.017,0.0188,0,0,0,0,0,0.0937,0,NA
14,samp. LY-1,AMPHIBOLES,ACTINOLITE,GRANITE,51.57,0.36,3.25,0,12.27,11.54,15.85,0.68,0.37,1.13,0,1.95,0.14,0.119,0,0,0,0,0,0,0,0,NA
15,samp. 08AET045,AMPHIBOLES,ACTINOLITE,NOT GIVEN,52.458,0.634,4.472,0.06,12.846,11.676,13.924,0.396,0.391,1.116,0.11,1.77,0.22,0.069736,0.16,0,0,0,0,0,0.126,0,NA
16,samp. Q4,AMPHIBOLES,ACTINOLITE,ANDESITE,50.92,0.36,3.38,0.02,15.44,11.76,14.08,0.53,0.2,0.57,0,2.03,0.1,0,0.005432381,0,0,0,0,0,0.017,0,NA
17,samp. TV1,AMPHIBOLES,ACTINOLITE,NOT GIVEN,52.277,0,1.603,0.089,11.985,11.547,16.229,0.329,0,0.144,0,2,0.022,0,0.0097,0,0,0,0,0,0,0,NA
18,samp. SS.25,AMPHIBOLES,ACTINOLITE,"GABBRO, PYROXENE",53.21,0.26,1.92,0.26,10.22,11.56,19.11,0.31,0.21,0.63,0,2.01,0.21,0.03,0.06,0,0,0,0,0,0.04,0,NA
19,samp. DR-1,AMPHIBOLES,ACTINOLITE,SYENITE,50.86,0.19,6.78,0.434575,6.83,12.69,18.22,0.25,0.24,0.9,0,2.03,0.24,0,0,0,0,0,0,0,0.02,0,NA
20,samp. 565464,AMPHIBOLES,ACTINOLITE,AMPHIBOLITE,53.2056,0.300989,2.8275,0.286374,9.10105,11.8474,18.7037,0.263147,0.244584,0.575786,0,2.042668757,0,0.034355,0.03394,0,0,0,0,0,1.326,0,NA
21,samp. S-8,AMPHIBOLES,ACTINOLITE,DACITE,51.489,0.215,3.745,0,12.314,13.021,14.748,0.428,0.302,0.615,0,2.03,0,0.03,0.0098,0,0,0,0,0,0.0309,0,NA
22,samp. VS-2,AMPHIBOLES,ACTINOLITE,LAMPROITE,56.18,0.02,0.98,0,11.36,11.37,16.09,0.17,0.05,0.14,0,2.485149365,0,0.02,0.01,0,0,0,0,0,0.0695,0,NA
23,samp. Z36408,AMPHIBOLES,ACTINOLITE,"LAMPROPHYRE, CALC-ALKALINE",54.68,0.1283,2.02,0.1442,8.67,12.69,18.39,0.0698,0.0426,0.5135,0.01,2.042316755,0.1627,0.0042,0.02,0,0,0,0,0,0.042,0,NA
24,samp. ZN12-16-2,AMPHIBOLES,ACTINOLITE,NOT GIVEN,50.57,0.15,4.12,0.04,10.47,11.6,16.66,0.59,0.4,0.64,0,2.07,1.13,0.04,0.02,0,0,0,0,0,0.0444,0,NA
25,samp. HC1305,AMPHIBOLES,ACTINOLITE,NOT GIVEN,50.594261,0.503636,2.751165,0.234,17.86758,11.124595,12.94677,0.476893,0.248806,0.685043,0.02,1.849606938,0.1839,0.074721,0.01,0,0,0,0,0,0.118,0,NA
26,samp. TV1,AMPHIBOLES,ACTINOLITE,NOT GIVEN,50.426,0,4.089,0,14.547,11.244,14.385,0.41,0.06,0.369,0.009,2.03,0.01,0,0.005345004,0,0,0,0,0,0,0,NA
27,samp. RB1604,AMPHIBOLES,ACTINOLITE,NOT GIVEN,52.671188,0.540319,3.337971,0.12578,9.543218,12.527907,18.259645,0.199279,0.206954,0.433981,0,2.05,0.12,0.032242,0.0525,0,0,0,0,0,0.1895,0,NA
28,samp. SER-24,AMPHIBOLES,ACTINOLITE,NOT GIVEN,55.07,0.12,1.64,0.04,6.77,13.14,19.78,0.1,0.24,0.48,0.254,2.03,0.15,0.016,0.065,0,0,0,0,0,0.036,0,NA
29,samp. 15ZB118-3,AMPHIBOLES,ACTINOLITE,NOT GIVEN,50.4,0.44,3.05,0.0094,19.5,11.4,10.6,0.492,0.365,0.867,0,2.139791114,0.33,0.046,0,0,0,0,0,0,0.0209,0,NA
