"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","24094","samp. TM122","PYROXENE","ACMITE","RHYOLITE",51.72,1.06,0.27,0.06,32.09,0.26,0,1.56,0.01,10.11,0.11,0,0,0,0.05,0,0.04,0,0,0,1.5,0
"2","5653","samp. 59336","PYROXENE","ACMITE","TRACHYTE, FAYALITE-HEDENBERGITE",47.43,1.16,0.83,0,27.22,18.75,0,1.08,0.22,0.64,0.03,0,0,0,0.02,0,0.01,0,0,0,3.44,0
"3","27235","samp. SE126-2-1","PYROXENE","ACMITE","NOT GIVEN",52.82,1.33,0.47,0,29.45,0.65,0,0.17,0,13.39,0.01,0,0,0,0.023,0,0.041,0,0,0,1.11,0
"4","24128","samp. MPD7","PYROXENE","ACMITE","SYENITE, QUARTZ",51.28,0.19,0.29,0.01,29.98,0.63,0,0.25,0,13.22,0.1,0,0,0,0.05,0,0,0,0,0,2.67,0
"5","27235","samp. SE126-2-1","PYROXENE","ACMITE","NOT GIVEN",52.82,1.33,0.47,0,29.45,0.65,0,0.17,0,13.39,0.01,0,0,0,0.023,0,0.041,0,0,0,1.11,0
"6","24094","samp. TM122","PYROXENE","ACMITE","RHYOLITE",51.72,1.06,0.27,0.06,32.09,0.26,0,1.56,0.01,10.11,0.11,0,0,0,0.05,0,0.04,0,0,0,1.5,0
"7","27226","samp. SE19-4-2","PYROXENE","ACMITE","NOT GIVEN",50.43,1.74,0.19,0.01,28.17,7.33,0,0.36,0,9.19,0.03,0,0,0,0.02,0,0,0,0,0,0.9,0
"8","27240","samp. SE126-4-2","PYROXENE","ACMITE","NOT GIVEN",53.17,0.03,0.4,0,30.21,0.02,0,0.54,0,13.81,0.1,0,1,0,0.01,0,0.01,0,0,0,0.78,0
"9","27236","samp. SE126-2-2","PYROXENE","ACMITE","NOT GIVEN",52.01,0.04,0.19,0,30.24,0.03,0,0.19,0,13.71,0.08,0,0,0,0.048,0,0,0,0,0,2.8,0
"10","27237","samp. SE126-2-3","PYROXENE","ACMITE","NOT GIVEN",52.59,1.55,0.34,0,29.11,0.41,0,0.17,0.01,13.52,0.12,0,0,0,0.03,0,0.09,0,0,0,1.11,0
"11","27226","samp. SE19-4-2","PYROXENE","ACMITE","NOT GIVEN",50.43,1.74,0.19,0.01,28.17,7.33,0,0.36,0,9.19,0.03,0,0,0,0.02,0,0,0,0,0,0.9,0
"12","24128","samp. MPD7","PYROXENE","ACMITE","SYENITE, QUARTZ",51.28,0.19,0.29,0.01,29.98,0.63,0,0.25,0,13.22,0.1,0,0,0,0.05,0,0,0,0,0,2.67,0
"13","5653","samp. 59336","PYROXENE","ACMITE","TRACHYTE, FAYALITE-HEDENBERGITE",47.43,1.16,0.83,0,27.22,18.75,0,1.08,0.22,0.64,0.03,0,0,0,0.02,0,0.01,0,0,0,3.44,0
