"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"1","[55] NICHOLLS J. (1988)","samp. HI68-14","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE","HIIAKA CRATER",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"PICRITE","PORPHYRITIC",NA,NA,NA,"PYROXENE","HI68-4_1C","microphenocryst","core",NA,"primary",50.81,1.53,4.54,0.4,6.86,20.09,15.8,0.12,0,0.26,0.36,0.67,0,0,NA,NA,NA,NA,NA,NA,NA,0,"QUARTZ"
"2","[55] NICHOLLS J. (1988)","samp. HI68-14","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE","HIIAKA CRATER",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"PICRITE","PORPHYRITIC",NA,NA,NA,"PYROXENE","HI68-4_1R","microphenocryst","rim",NA,"primary",53.31,0.78,1.98,0.44,8.19,17.25,18.76,0.2,0.02,0.14,0.32,0.3,0,0,NA,NA,NA,NA,NA,NA,NA,0,"QUARTZ"
"3","[55] NICHOLLS J. (1988)","samp. HI68-14","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE","HIIAKA CRATER",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"PICRITE","PORPHYRITIC",NA,NA,NA,"PYROXENE","HI68-4_2","groundmass",NA,NA,"primary",50.84,1.27,3.38,0.72,7.24,20.29,16.4,0.16,0.07,0.26,0,0.67,0,0,NA,NA,NA,NA,NA,NA,NA,0,"QUARTZ"
"4","[55] NICHOLLS J. (1988)","samp. HI68-14","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE","HIIAKA CRATER",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"PICRITE","PORPHYRITIC",NA,NA,NA,"PYROXENE","HI68-4_3","groundmass",NA,NA,"primary",53.33,0.76,1.83,0.62,9.26,14.92,20.24,0.18,0.031,0.14,0,0.67,0,0,NA,NA,NA,NA,NA,NA,NA,0,"QUARTZ"
"5","[55] NICHOLLS J. (1988)","samp. HI68-14","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE","HIIAKA CRATER",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"PICRITE","PORPHYRITIC",NA,NA,NA,"PYROXENE","HI68-4_4","groundmass",NA,NA,"primary",51.85,1.29,2.87,0.4,9.92,15.76,18.41,0.26,0,0.17,0.29,0.3,0,0,NA,NA,NA,NA,NA,NA,NA,0,"QUARTZ"
"6","[55] NICHOLLS J. (1988)","samp. HM68-2","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE","HIIAKA CRATER",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"BASALT","APHYRIC",NA,NA,NA,"PYROXENE","HM68-2_1C","microphenocryst","core",NA,"primary",51.55,1.07,2.58,0.37,8,19.47,16.4,0.19,0,0.23,0,0.67,0,0,NA,NA,NA,NA,NA,NA,NA,0,"QUARTZ"
"7","[55] NICHOLLS J. (1988)","samp. HM68-2","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE","HIIAKA CRATER",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"BASALT","APHYRIC",NA,NA,NA,"PYROXENE","HM68-2_2C","microphenocryst","core",NA,"primary",52.04,0.8,2.24,0.28,8.65,18.2,17.6,0.25,0,0.25,0.32,0.67,0,0,NA,NA,NA,NA,NA,NA,NA,0,"QUARTZ"
"8","[55] NICHOLLS J. (1988)","samp. HM68-2","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE","HIIAKA CRATER",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"BASALT","APHYRIC",NA,NA,NA,"PYROXENE","HM68-2_3C","microphenocryst","core",NA,"primary",51.63,1.24,2.29,0.3,9.27,18.3,16.81,0.13,0,0.23,0.29,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,"QUARTZ"
"9","[55] NICHOLLS J. (1988)","samp. HM68-2","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE","HIIAKA CRATER",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"BASALT","APHYRIC",NA,NA,NA,"PYROXENE","HM68-2_4","groundmass",NA,NA,"primary",50.69,1.04,3.13,0.36,8.67,19.59,16.45,0.24,0.05,0.12,0.24,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,"QUARTZ"
"10","[55] NICHOLLS J. (1988)","samp. HM68-2","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE","HIIAKA CRATER",19.4,19.4,-155.27,-155.27,"subaerial",NA,NA,"BASALT","APHYRIC",NA,NA,NA,"PYROXENE","HM68-2_5","groundmass",NA,NA,"primary",52.54,0.83,1.71,0.25,8.68,18.14,17.78,0.17,0.003,0.19,0.4,0.3,0,0,NA,NA,NA,NA,NA,NA,NA,0,"QUARTZ"
