"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","X1"
"1","521248","samp. CV-1","SULFIDE","ALABANDITE","HARZBURGITE, XENOLITH",0,0,0,0,28.330549,0.51,0,0,0.11,1.66,0,0,0,0,58.2845304,0,1.198982065,0,0,33.5,0,0.0374,NA
"2","521248","samp. CV-1","SULFIDE","ALABANDITE","HARZBURGITE, XENOLITH",0,0,0,0,28.330549,0.51,0,0,0.11,1.66,0,0,0,0,58.2845304,0,1.198982065,0,0,33.5,0,0.0374,NA
"3","522754","samp. PSS14-(5)-2","SULFIDE","ALABANDITE","NOT GIVEN",0,0,0,0,28.56548526,0.16,0,0,0.11,0.2,0,0,0,0,45.6859092,1.57736628,0.13986005,0.51033069,0,41.36,0,0,NA
"4","522605","samp. MX45","SULFIDE","ALABANDITE","ECLOGITE, XENOLITH",0,0,0,0,23.2172304,0.21,0,0,0.11,1.66,0,0,0,0,36.0142404,8.5127704,1.780037,0,0,46.7,0,0,NA
"5","521546","samp. BD 4155","SULFIDE","ALABANDITE","CARBONATITE, NATRO",0,0,0,0,22.3880436,0.51,0,0,0.11,0.63,0,0,0,0,9.62076528,42.15073226,0.52129655,0.17425926,0.22621977,35.2,0,0.0586,NA
"6","521548","samp. BD 4155","SULFIDE","ALABANDITE","CARBONATITE, NATRO",0,0,0,0,28.6069446,0.95,0,0,0.51,1.66,0,0,0,0,42.674965992,0.03755634,1.66560605,10.56757941,1.37886336,32.9,0,0,NA
"7","521795","samp. TC0242/2","SULFIDE","ALABANDITE","HARZBURGITE, XENOLITH",0,0,0,0,28.8142413,0.21,0,0,0.01,1.66,0,0,0,0,34.57621596,17.50125444,1.33502775,0.0404530425,0.11849607,32.98,0,0,NA
"8","522669","samp. 80H1","SULFIDE","ALABANDITE","CARBONATITE",0,0,0,0,24.84796444,0.16,0,0,0.01,0.2,0,0,0,0,1.585644648,42.4386642,0.20597571,0.1244709,0.00780996825,36.73,0,0,NA
"9","522950","samp. ISL2","SULFIDE","ALABANDITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,23.3600933468015,0.16,0,0,0.51,0.2,0,0,0,0,6.1359535842315,24.2241985815405,0.8288615145,0.47298942,1.37886336,36,0,0.0586,NA
"10","522754","samp. PSS14-(5)-2","SULFIDE","ALABANDITE","NOT GIVEN",0,0,0,0,28.56548526,0.16,0,0,0.11,0.2,0,0,0,0,45.6859092,1.57736628,0.13986005,0.51033069,0,41.36,0,0,NA
"11","521792","samp. TC0225","SULFIDE","ALABANDITE","LHERZOLITE, SPINEL, XENOLITH",0,0,0,0,23.8391205,0.16,0,0,0.11,1.66,0,0,0,0,54.25042644,2.80420672,3.1023502,0.1244709,0,33.74,0,0,NA
"12","522757","samp. PSS15-(5)-2","SULFIDE","ALABANDITE","NOT GIVEN",0,0,0,0,29.51905008,0.21,0,0,0.11,1.66,0,0,0,0,41.38456176,0.40060096,0.41958015,0.17425926,0.07540659,45.47,0,0,NA
"13","522742","samp. LS2-(3)-1","SULFIDE","ALABANDITE","NOT GIVEN",0,0,0,0,21.0751645,0.51,0,0,0.11,0.2,0,0,0,0,43.8406566,4.28142276,0.4322947,0.1244709,0,46.25,0,0,NA
