"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"1","[604] RIGHTER K. (1998)","samp. SR9A","OCEAN ISLAND","GALAPAGOS ISLANDS / ISABELA (ALBEMARLE) / ALCEDO",NA,-0.41,-0.41,-91.03,-91.03,"subaerial",NA,NA,"RHYOLITE",NA,NA,NA,NA,"SULFIDE",NA,NA,NA,NA,"primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,59.36,NA,NA,NA,NA,NA,NA,39.33,"SULFIDE"
"2","[998] FREY F. A. (1991)","samp. 121-758A-56R-1,64-68","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 758","HOLE 758A",5.384,5.384,90.361,90.361,"subaquatic",-2935,-2935,"BASALT","PHYRIC AND GLOMEROPHYRIC",NA,NA,"moderately altered","CHALCOPYRITE",NA,NA,NA,"20 YM","secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,28.3,1.87,29,2.14,0.02,NA,NA,29.8,"SULFIDE"
"3","[998] FREY F. A. (1991)","samp. 121-758A-59R-2,58-62","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 758","HOLE 758A",5.384,5.384,90.361,90.361,"subaquatic",-2935,-2935,"BASALT","INTERSERTAL, APHYRIC, DOLERITIC",NA,NA,"moderately altered","CHALCOPYRITE",NA,NA,NA,"50 YM","secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,25.9,3.19,25.6,3.77,0.02,NA,NA,29.9,"SULFIDE"
"4","[998] FREY F. A. (1991)","samp. 121-758A-59R-2,58-62","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 758","HOLE 758A",5.384,5.384,90.361,90.361,"subaquatic",-2935,-2935,"BASALT","INTERSERTAL, APHYRIC, DOLERITIC",NA,NA,"moderately altered","CHALCOPYRITE",NA,NA,NA,NA,"secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,32.4,NA,30.3,0.04,0.03,NA,NA,31.3,"SULFIDE"
"5","[998] FREY F. A. (1991)","samp. 121-758A-59R-2,58-62","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 758","HOLE 758A",5.384,5.384,90.361,90.361,"subaquatic",-2935,-2935,"BASALT","INTERSERTAL, APHYRIC, DOLERITIC",NA,NA,"moderately altered","CHALCOPYRITE",NA,NA,NA,"20 YM","secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,32.5,0.18,33.9,0.1,0.1,NA,NA,33.2,"SULFIDE"
"6","[998] FREY F. A. (1991)","samp. 121-758A-73R-4,105-109","SUBMARINE RIDGE","NINETYEAST RIDGE / NINETYEAST RIDGE / SITE 758","HOLE 758A",5.384,5.384,90.361,90.361,"subaquatic",-2935,-2935,"BASALT","SPARSELY PHYRIC",NA,NA,"extensively altered","PYRITE",NA,NA,NA,"105-109 CM","secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,48.9,NA,NA,0.02,NA,NA,NA,50.6,"SULFIDE"
"7","[1054] EXLEY R. A. (1982)","samp. 1","OCEAN ISLAND","ICELAND / ICELAND","ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR",65.02,65.02,-14.3,-14.3,"subaerial",NA,NA,"BASALT",NA,1912.12,1912.12,"extensively altered","PYRITE",NA,NA,NA,NA,"secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,46.89,NA,0.04,NA,0.26,NA,NA,53.55,"SULFIDE"
"8","[1054] EXLEY R. A. (1982)","samp. 2","OCEAN ISLAND","ICELAND / ICELAND","ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR",65.02,65.02,-14.3,-14.3,"subaerial",NA,NA,"BASALT",NA,1912.12,1912.12,"extensively altered","PYRITE",NA,NA,NA,NA,"secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,47.58,NA,0.08,NA,0,NA,NA,53.61,"SULFIDE"
"9","[1054] EXLEY R. A. (1982)","samp. 1","OCEAN ISLAND","ICELAND / ICELAND","ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR",65.02,65.02,-14.3,-14.3,"subaerial",NA,NA,"BASALT",NA,1912.12,1912.12,"extensively altered","CHALCOPYRITE",NA,NA,NA,NA,"secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,30.76,NA,34.41,NA,0.06,NA,NA,34.4,"SULFIDE"
"10","[1054] EXLEY R. A. (1982)","samp. 2","OCEAN ISLAND","ICELAND / ICELAND","ICELAND RESEARCH DRILLING PROJECT BOREHOLE, WEST OF REYDARFJOERDUR",65.02,65.02,-14.3,-14.3,"subaerial",NA,NA,"BASALT",NA,1912.12,1912.12,"extensively altered","CHALCOPYRITE",NA,NA,NA,NA,"secondary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,31.22,NA,34.69,NA,0.11,NA,NA,34.46,"SULFIDE"
