"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","AS_ppm","PBO","S","ZRO2","GROUP"
"1","[743] FRIKH-KHAR D. I. (1988)","samp. 1","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"CARBONATITE",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,NA,NA,NA,"primary",30.52,30.05,0.17,0,3.31,25.7,0.75,0.04,0.02,0.24,0.025,0.621,0.2493,0,0.02,0,0,0.0184,0,0.1506769,0,0,"TITANITE"
"2","[743] FRIKH-KHAR D. I. (1988)","samp. 2","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,NA,NA,NA,"primary",30.35,34.93,1.87,0.029,2.51,25.25,0.02,0.13,0.07,0.34,0.071,0.43,0.453,0.174,0.079234,0,0,0.015,0,0.2583759,0,0.976458175947979,"TITANITE"
"3","[743] FRIKH-KHAR D. I. (1988)","samp. 2","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,NA,NA,NA,"primary",29.18,35.51,1.4,0,2.26,25.28,0.01,0.18,0.02,0.29,0.145,0.24,0.228,0.0137,0.03,0,0,0,0,0.2583759,0,0.372311849133822,"TITANITE"
"4","[743] FRIKH-KHAR D. I. (1988)","samp. 2","OCEAN ISLAND","CAPE VERDE ISLANDS / SANTIAGO","TARAFAL",14.9,14.9,-24.3,-24.3,"subaerial",NA,NA,"PHONOLITE",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,NA,NA,NA,"primary",29.88,36.16,1.53,0,2.08,25.39,0.0413,0.13,0.017,0.24,0.1759,0.474,0.02,0.0139,0.03,0,0,0,0,0.2583759,0,0.16,"TITANITE"
"5","[766] DIXON T. H. (1984)","samp. P-6A","OCEAN ISLAND","CAROLINE ISLANDS / PONAPE","NEAR ROAD ALONG THE COAST OF THE LAGOON NEAR UH JUST SOUTH OF NAN-UH",6.9,6.9,-158.25,-158.25,"subaerial",NA,NA,"BASANITE",NA,NA,NA,"fresh","TITANITE (SPHENE)",NA,NA,NA,NA,"primary",30.53,36.38,1.22,0.0141,0.83,28.81,0.04,0.19,0.01,0.01,0.02,0.542,0.195,0,0.0428,0,0,0.2316,0,0.1932616,0,0.38,"TITANITE"
"6","[766] DIXON T. H. (1984)","samp. P-6A","OCEAN ISLAND","CAROLINE ISLANDS / PONAPE","NEAR ROAD ALONG THE COAST OF THE LAGOON NEAR UH JUST SOUTH OF NAN-UH",6.9,6.9,-158.25,-158.25,"subaerial",NA,NA,"BASANITE",NA,NA,NA,"fresh","TITANITE (SPHENE)",NA,NA,NA,NA,"primary",29.42,37.13,1.36,0.06,1.13,28.63,0.03,0.05,0.006,0.02,0,0.652,0.26,0,0,0,0,0.0696,0,0.07681039,0,0.266,"TITANITE"
"7","[932] FERGUSON A. K. (1978)","samp. 1","OCEAN ISLAND","CANARY ISLANDS / TENERIFE",NA,28,28.6,-16.1,-16.9,"subaerial",NA,NA,"SYENITE, NEPHELINE",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,NA,NA,NA,"primary",30,38.8,2.05,0.27,3.2,23.5,0.73,0.1,0.2158,1.88,0.157,0.6,1.14,0.07,0.263,0,0,0.2787,0,0.07681039,0,0.11,"TITANITE"
"8","[1858] HELLMAN P. L. (1981)","samp. PLH2","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","BHOIWADA SECTION, BOMBAY ISLAND, ZONE 2",18.9,18.9,72.85,72.85,"subaerial",30,30,"THOLEIITE",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,NA,NA,NA,"secondary",33.18,30.69,2.98,0,1.78,27.42,0.42,0.019,0.1067,0.318,0.03,0.43,0.373,0.0044,0.0239,0,0,0,0,0.07733048,0,0.5736,"TITANITE"
"9","[1929] HELLMAN P. L. (1985)","samp. 4_SPHENE","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","BHOIWADA SECTION, BOMBAY ISLAND",18.9,18.9,72.85,72.85,"subaerial",NA,NA,"BASALT",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,NA,NA,NA,"secondary",31.5,31.02,2.91,0.1,2.59,29.63,0.1,0.0155,0,0.024,0,0.21,2.903211,0,0.02,0,0,0.016,0,0.1932616,0,0.3827,"TITANITE"
"10","[1929] HELLMAN P. L. (1985)","samp. 5_SPHENE","CONTINENTAL FLOOD BASALT","DECCAN / SOUTHERN DECCAN","BHOIWADA SECTION, BOMBAY ISLAND",18.9,18.9,72.85,72.85,"subaerial",NA,NA,"BASALT",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,NA,NA,NA,"secondary",32.23,29.09,3.92,0,3.17,28,0.1,0.03,0.5,0.2,0.04,0.301,0.447,0,0.03,0,0,0,0,0.07681039,0,3.98,"TITANITE"
"11","[2670] KAY S. M. (1983)","samp. ADK27","CONVERGENT MARGIN","ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK","FINGER BAY PLUTON",51.84,51.84,-176.58,-176.58,"subaerial",NA,NA,"MONZODIORITE, QUARTZ",NA,NA,NA,NA,"TITANITE (SPHENE)","1",NA,NA,NA,"primary",30.72,30.36,6.93,0.05,1.6333,28.38,0.03,0.07,0.0086,0.018,0.048,0.25,2.52,0,0,0,0,0.0696,0,0.07733048,0,0.6597,"TITANITE"
"12","[2670] KAY S. M. (1983)","samp. FB61","CONVERGENT MARGIN","ALEUTIAN ARC / CENTRAL ALEUTIAN ARC / ADAK","FINGER BAY PLUTON",51.84,51.84,-176.58,-176.58,"subaerial",NA,NA,"MONZODIORITE, QUARTZ",NA,NA,NA,NA,"TITANITE (SPHENE)","2",NA,NA,NA,"primary",30.8,35.03,2.48,0,0.968,29.15,0.02,0.1,0,0,0.05,0.428,0.5331,0,0,0,0,0.0194,0,0.07733048,0,0.544,"TITANITE"
"13","[3965] LUHR J. F. (1984)","samp. 7","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / CHIAPAS / EL CHICHON",NA,17.36,17.36,-93.23,-93.23,"subaerial",NA,NA,"TRACHYANDESITE, SPHENE",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,NA,NA,NA,"primary",30.04,36.84,0.92,0,1.3,26.95,0.02,0.13,0,0,0.016,0.652,0.21,0,0.0213,0,0,0,0,0.1506769,0,0.066,"TITANITE"
"14","[4445] ANDERSON A. T. JR. (1971)","samp. HC4-5SV-2E-4","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / CALIFORNIA / LASSEN VOLCANIC CENTER","HAT CREEK VALLEY",40.5,40.5,-121.085,-121.085,"subaerial",NA,NA,"THOLEIITE, OLIVINE",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,"microphenocryst",NA,NA,"primary",30.4,38.3,0,0.02,2.2,28.5,0.1,0.05,0.0515,0,0.046,0.732,0.372,0,0.0094,0,0,0.2787,0,0.07733048,0,0.35,"TITANITE"
"15","[6058] FOURNELLE J. H. (1996)","samp. ZAM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GABBRO",NA,NA,NA,NA,"TITANITE (SPHENE)",NA,NA,NA,NA,"primary",31.78,32.95,3.04,0,1.56,27.66,0.25,0.01,0,0,0,0.151,1,0,0,0,0,0,0,0.07681039,0,0.488,"TITANITE"
