"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"1","96","samp. LIMBURGITE","AMPHIBOLES","KAERSUTITE","LIMBURGITE",40.94,4.99,13.18,0,11.71,12.61,11.7,0.143,1.69,2.53,0.0469,2.09,0.04,0.029,0.02,0,0,0,0,0,0.0182,0,101.7371
"2","546","samp. 43-382-25-2,105-108","AMPHIBOLES","KAERSUTITE","BASALT",40.01,7.21,12.08,0,12.72,11.05,11.23,0.16,1.17,3.28,0,0.59,0.154752,0,0.049,0,0,1,0,0,0.0695,0,100.773252
"3","556","samp. HIE-1","AMPHIBOLES","HORNBLENDE (SENSU LATO)","NOT GIVEN",40.1,2.71,12.3,0.0018,11.7,11.3,15,0.15,0.69,2.41,0.02,2.1150855190348,0.26,0.02,0.02,0,0,0,0,0,0.018,0,98.8148855190348
"4","557","samp. KZS-3","AMPHIBOLES","HORNBLENDE (SENSU LATO)","DACITE, HYPERSTHENE-BIOTITE-HORNBLENDE",48.4,1.29,6.94,0.03739,16.2,10.7,13,0.56,0.54,1.23,0,2.00157031983615,0.21,0,0.011,0,0,0,0,0,0,0,101.119960319836
"5","558","samp. KZS-6","AMPHIBOLES","HORNBLENDE (SENSU LATO)","NOT GIVEN",46.4,1.26,7.33,0,16.2,11.2,14.3,0.57,0.51,1.42,0,2,0.3,0.1,0,0,0,0,0,0,0.027,0,101.617
"6","579","samp. 1A/1","AMPHIBOLES","KAERSUTITE","GABBRO",39.88,5.21,13.06,0.12,11.11,11.74,12.43,0.16,0.92,2.5,0.068,2.04,0.182,0.03,0,0,0,0,0,0,0,0,99.45
"7","616","samp. AM31","AMPHIBOLES","TREMOLITE","PERIDOTITE",53.4,0.39,3.4,1.07,2.34,12.3,21.8,0.07,0.24,1.33,0.0434,2.04551352614791,0.02,0.004,0.13,0,0,0,0,0,0.06,0,98.6429135261479
"8","620","samp. 7","AMPHIBOLES","PARGASITE","LHERZOLITE, XENOLITH",43.9,1.42,13.9,0.99,3.46,12.5,18.4,0.0728,0.6618,2.72,0.034,2,0.09,0.0326,0.13,0,0,0,0,0,0.0937,0,100.4049
"9","621","samp. 11","AMPHIBOLES","PARGASITE","LHERZOLITE, XENOLITH",47.5,0.63,9.88,0.84,2.93,12.5,19.7,0.03,0.148414,2.06,0.065,2,0.145,0.033,0.1055,0,0,0,0,0,0,0,98.566914
"10","622","samp. 10","AMPHIBOLES","PARGASITE","LHERZOLITE, XENOLITH",44,1.23,14.9,1.07,3.57,12.3,18,0.04,0.657,2.82,0.03,2,0,0.03,0.131,0,0,0,0,0,0,0,100.778
"11","753","samp. 6982313","AMPHIBOLES","PARGASITE","LHERZOLITE, GARNET, XENOLITH",42.4,1,15.7,0.48,4.3,11.9,19.2,0.09,0.07,3.1,0.05,2.3974,0,0.05,0.09,0,0,0,0,0,0.031,0,100.8584
"12","754","samp. 6982314","AMPHIBOLES","PARGASITE","LHERZOLITE, SPINEL, XENOLITH",43.1,1,15.4,0.48,4.3,11.9,17.8,0.09,0.07,2.6,0.0174752031593687,3.67,0.001,0.02,0.11,0,0,0,0,0,0.046,0,100.604475203159
"13","755","samp. 6982312","AMPHIBOLES","PARGASITE","LHERZOLITE, GARNET, XENOLITH",45.38,0.54,13.24,0.55,6.32,11.81,18.37,0.11,0,2.14,0.1978831,2.01,0.08,0.02,0.023,0,0,0,0,0,0.067,0,100.8578831
"14","756","samp. 6982408","AMPHIBOLES","PARGASITE","LHERZOLITE, SPINEL, XENOLITH",43.19,1.04,14.56,0.7,6.07,11.38,17.52,0.12,0.57,2.2,0.01,2.04,0.05,0.0335,0.0785,0,0,0,0,0,0.033,0,99.595
