"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS"
"1","44973","samp. A7-55-25","CLAY","SAPONITE","BASALT, TRANSITIONAL",44.5,0.46,6.1,0.06,12.3,0.38,6.8,0.07,3.59,1,0.07,11.31,0,0.08,0.41,0,0,0,0,0,0,0
"2","44974","samp. A7-55-29","CLAY","SAPONITE","THOLEIITE",48,0.09,2.1,0.04,10.1,0.43,17.8,0.07,2.2,0.87,0.02,11.13,0,0.07,0.11,0,0,0,0,0,0,0
"3","44975","samp. A7-51-21","CLAY","MONTMORILLONITE","BASALT, ALKALINE",50,0,9.9,0,16.4,0.61,2.6,0.09,3.41,0.71,0.05,12.67,0,0.08,0.02,0,0,0,0,0,0,0
"4","44976","samp. A7-52-50","CLAY","MONTMORILLONITE","BASALT, ALKALINE",49.6,0.05,16.6,0,1.3,3.48,0,0.04,3.99,4.67,0.06,28.05,0,0.2,0.13,0,0,0,0,0,0,0
"5","44977","samp. A7-53-12","CLAY","MONTMORILLONITE","BASALT, ALKALINE",35.5,0.4,5.8,0.03,32.1,0.35,8.8,0.37,1.46,0.36,0,21.4,0,0.07,0,0,0,0,0,0,0,0
"6","44978","samp. A7-53-12","CLAY","MONTMORILLONITE","BASALT, ALKALINE",51.4,0.07,7.3,0.17,13.8,0.41,12,0,3.98,1.2,0,11.31,0,0.07,0.41,0,0,0,0,0,0,0
"7","44979","samp. A7-55-25","CLAY","MONTMORILLONITE","BASALT, TRANSITIONAL",50.1,0,4.45,0.06,12.3,0.46,15.2,0,3.33,1.22,0,7.75,0,0.2,0.36,0,0,0,0,0,0,0
"8","44980","samp. A7-55-29","CLAY","MONTMORILLONITE","THOLEIITE",47.8,0,3.8,0,14.3,0.52,15.5,0.04,2.9,1.08,0.01,16.99,0,0.2,0.41,0,0,0,0,0,0,0
"9","44985","samp. 121-756D-7R-3,50-54","CLAY","SAPONITE","BASALT",40.2,0.21,6.47,0,17.3,0.06,13,0.19,0.27,1.8,0.01,16.99,0,0.2,0,0,0,0,0,0,0,0
"10","44986","samp. 121-756D-7R-3,50-54","CLAY","SAPONITE","BASALT",38.3,0,5.93,0.01,11.4,0.15,12.1,0.17,0.13,2.14,0.08,20.9,0,0.08,0,0,0,0,0,0,0,0
"11","44987","samp. 121-756D-7R-3,50-54","CLAY","SAPONITE","BASALT",39.1,0,5.65,0,17.13,0.13,13.3,0.08,0.17,2.31,0,21.4,0,0.08,0,0,0,0,0,0,0,0
"12","44988","samp. 121-756D-7R-3,50-54","CLAY","SAPONITE","BASALT",35.9,0.03,6.7,0,20.3,0.17,12.5,0.2,0.18,2.11,0.01,28.05,0,0.07,0,0,0,0,0,0,0,0
"13","44989","samp. 121-756D-7R-3,50-54","CLAY","SAPONITE","BASALT",39.9,0.02,8.2,0.06,17.42,1.57,13,0.13,2.81,0.99,0.06,17.54,0,0.08,0.26,0,0,0,0,0,0,0
"14","44990","samp. 121-756D-7R-3,50-54","CLAY","SAPONITE","BASALT",39.5,0.11,7.52,0.14,23.1,0.29,12.4,0.16,2.89,0.94,0.08,20.9,0,0.2,0.08,0,0,0,0,0,0,0
"15","44991","samp. 121-756D-7R-3,50-54","CLAY","SAPONITE","BASALT",39.5,0.29,6.94,0.13,21.64,0.21,12.1,0.11,3.23,0.95,0.02,16.99,0,0.07,0.02,0,0,0,0,0,0,0
"16","44992","samp. 121-756D-7R-3,50-54","CLAY","SAPONITE","BASALT",38.6,0.16,7.58,0.03,17.42,0.24,12.5,0.13,2.56,1.21,0.08,20.9,0,0.07,0.07,0,0,0,0,0,0,0
"17","44993","samp. 121-758A-61R-5,22-26","CLAY","SAPONITE","BASALT",43.6,0.09,4.7,0,14.88,1.29,15,0.06,0.46,0.97,0.27,11.13,0,0.08,0.05,0,0,0,0,0,0,0
"18","44994","samp. 119-738C-34R-5,32-35","CLAY","SAPONITE","NOT GIVEN",40.22,0.06,6.08,0.02,12.12,1.21,19.65,0.12,0.54,0.97,0.05,28.05,0,0.08,0.1,0,0,0,0,0,0,0
"19","44995","samp. 119-738C-34R-5,44-46","CLAY","SAPONITE","NOT GIVEN",46.63,0,7.45,0,6.3,0.4,24.69,0.08,0.04,0.17,0,28.05,0,0.2,0.07,0,0,0,0,0,0,0
"20","44996","samp. 119-738C-34R-5,44-46","CLAY","SAPONITE","NOT GIVEN",46.39,0.02,7.45,0,9.03,0.36,24.36,0.14,0.05,0.16,0.02,18.6,0,0.2,0.02,0,0,0,0,0,0,0
"21","44997","samp. 119-738C-34R-5,44-46","CLAY","SAPONITE","NOT GIVEN",46.15,0.03,7.2,0.03,8.7,2.39,23.4,0.3,0.05,0.22,0.09,11.91,0,0.07,0,0,0,0,0,0,0,0
"22","44998","samp. 119-738C-34R-5,44-46","CLAY","SAPONITE","NOT GIVEN",44.46,0.02,6.8,0.02,11.44,0.74,22.35,0.11,0.04,0.49,0.05,11.91,0,0.07,0.03,0,0,0,0,0,0,0
"23","44999","samp. 119-738C-33R-1,2-4","CLAY","SAPONITE","THOLEIITE",44.34,0.02,7.21,0.02,20.84,1.76,12.36,0.04,0.69,0.49,0,12.67,0,0.08,0.01,0,0,0,0,0,0,0
"24","45000","samp. 119-738C-33R-1,2-4","CLAY","SAPONITE","THOLEIITE",46.4,0.73,8.36,0.01,15.56,1.52,9.58,0.05,0.79,0.4,0.05,11.31,0,0.07,0.41,0,0,0,0,0,0,0
"25","45001","samp. 119-738C-33R-3,118-120","CLAY","SAPONITE","NOT GIVEN",47.38,0.13,7.28,0.06,16.8,0.86,14.9,0.02,0.75,0.41,0.02,11.13,0,0.07,0.26,0,0,0,0,0,0,0
"26","45002","samp. 119-738C-33R-3,118-120","CLAY","SAPONITE","NOT GIVEN",47.83,0.16,6.5,0,11.54,0.72,12.43,0.07,1.63,0.39,0.08,12.67,0,0.2,0.2,0,0,0,0,0,0,0
"27","45003","samp. 119-738C-33R-3,118-120","CLAY","SAPONITE","NOT GIVEN",47.15,0.02,5.76,0,11.37,0.38,20.04,0.05,0.7,0.13,0.01,11.31,0,0.07,0.35,0,0,0,0,0,0,0
"28","45004","samp. 119-738C-33R-3,118-120","CLAY","SAPONITE","NOT GIVEN",47.76,0.15,6.87,0,17.81,0.89,13.25,0.02,1.12,0.47,0.17,11.31,0,0.2,0.13,0,0,0,0,0,0,0
"29","45005","samp. 119-738C-33R-5,30-32","CLAY","SAPONITE","THOLEIITE",46.37,0.05,7.37,0,13.85,0.98,17.06,0.04,0.36,0.26,0.09,11.31,0,0.2,0.09,0,0,0,0,0,0,0
"30","45006","samp. 119-738C-33R-5,30-32","CLAY","SAPONITE","THOLEIITE",46.42,0.11,7.44,0.01,9.67,1.01,16.08,0.05,0.53,0.29,0.06,14.43,0,0.07,0.27,0,0,0,0,0,0,0
"31","45007","samp. 119-738C-33R-5,30-32","CLAY","SAPONITE","THOLEIITE",47.63,0.08,6.72,0.02,11.65,1.03,15.28,0.11,1,0.33,0,7.75,0,0.08,0,0,0,0,0,0,0,0
"32","45008","samp. 119-738C-36R-1,148-150","CLAY","SAPONITE","THOLEIITE",44.24,0.07,4.63,0,11.18,0.6,16.28,0.05,0.46,0.12,0,21.4,0,0.07,0.02,0,0,0,0,0,0,0
"33","45009","samp. 119-738C-32R-CC,10-12","CLAY","MONTMORILLONITE","THOLEIITE",61.08,0.26,17.47,0,3.56,0.89,6.99,0.07,1,0.18,0.29,12.67,0,0.08,0.07,0,0,0,0,0,0,0
"34","45010","samp. 119-738C-32R-CC,10-12","CLAY","MONTMORILLONITE","THOLEIITE",59.37,0.77,19.2,0.04,3.8,0.98,5.91,0,0.75,0.16,0.17,12.67,0,0.08,0.26,0,0,0,0,0,0,0
