"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"1","461602","samp. 781A-10R-3,17-21 CM","SPINEL","MAGNETITE","BASALT, THOLEIITIC",0.08,15.1,2.46,0.12,78.08,0.04,1.84,0.6,0,0,0,0,0,0,0.03,0,0,0.105,0,0,0,0,98.455
"2","461707","samp. 397F","SPINEL","CHROMITE","GABBRO",0.104266666666667,1.18,23.1,40.27,24.27,0.021,10.4,0.29,0.009,0.03,0.02,0,0,0,0.2221,0,0,0.08,0,0,0,0,99.9963666666667
"3","461708","samp. 210A","SPINEL","CHROMITE","GABBRO",0.01,0.94,20.85,39.66,29.44,0,8.46,0.45,0,0.026,0,0,0,0,0.01,0,0,0.1,0,0,0,0,99.946
"4","461709","samp. 454E","SPINEL","CHROMITE","GABBRO",0,0.63,23.96,39.56,25.34,0.07,11.21,0.43,0,0.0023,0,0,0,0,0.1082,0,0,0.311,0,0,0,0,101.6215
"5","461710","samp. 176D","SPINEL","CHROMITE","GABBRO",0.07,0.31,15.83,46.29,26.14,0.02,9.26,0.36,0,0.018,0,0,0,0,0.07,0,0,0.01,0,0,0,0,98.378
"6","461711","samp. 181-G","SPINEL","CHROMITE","GABBRO",0.079,0.18,11.98,53.87,23.46,0.026,9.58,0.42,0.06,0.0262,0,0,0,0,0.08,0,0,0.23,0,0,0,0,99.9912
"7","461712","samp. 276-ZS","SPINEL","CHROMITE","GABBRO",0.0907,0.09,37.93,29.97,15.97,0,15.71,0.24,0.042,0.025,0.0267,0,0,0,0.22,0,0,0.24,0,0,0,0,100.5544
"8","461771","samp. FB61","SPINEL","MAGNETITE","MONZODIORITE, QUARTZ",0.06,4.97,0.42,0.02,92.13,0,0.01,1.14,0.018,0,0.03,0,0,0,0.03,0,0,0.06,0,0,0,0,98.888
"9","461853","samp. D1C2","SPINEL","MAGNETITE","NOT GIVEN",0.277,21.84,6.82,0.64,60.6,0.04,7.49,0.3,0.011,0.12,0.001375,0,0,0,0.124,0,0,0.1,0,0,0,0,98.363375
"10","462303","samp. T5","SPINEL","MAGNETITE","TRACHYBASALT, NEPHELINE",0.77,5.83,15,0.4,70.92,0.18,4.68,0.5,0.074,0.03,0.05,0,0,0,0.14,0,0,0.14,0,0,0,0,98.714
"11","462340","samp. L078","SPINEL","CHROMITE","NOT GIVEN",0.11,4.48,11.55,45.54,23.29,0.05,14.77,0.22,0.041,0.009,0.01,0,0,0,0.28,0,0,0.01,0,0,0,0,100.36
"12","462342","samp. M077","SPINEL","CHROMITE","NOT GIVEN",0.15,2.72,11.4,48.35,22.96,0.04,13.55,0.35,0,0.02,0,0,0,0,0.09,0,0,0.087,0,0,0,0,99.717
"13","462343","samp. H077","SPINEL","CHROMITE","NOT GIVEN",0.13,2.29,13.92,47.28,21.72,0.04,14.25,0.34,0,0.04,0,0,0,0,0.043,0,0,0,0,0,0,0,100.053
"14","462344","samp. R078","SPINEL","CHROMITE","NOT GIVEN",0.18,0.49,12.41,51.74,22.77,0,12.87,0.21,0.0025,0.01,0,0,0,0,0.189,0,0,0.03,0,0,0,0,100.9015
"15","462345","samp. 118","SPINEL","CHROMITE","NOT GIVEN",0.36,1.8,12.96,47.44,22.21,0.301,14.79,0.2,0,0.0055,0,0,0,0,0.196,0,0,0,0,0,0,0,100.2625
