"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","FE","NI","CU","CO","ZN","AS","PB","S","GROUP"
"1","[3482] DE HOOG J. C. M. (2000)","samp. 3/3","CONVERGENT MARGIN","SUNDA ARC / SUNDA ARC / LOMBLEN / LEWOTOLO (SELAT BOLENG)",NA,-8.27,-8.27,123.51,123.51,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"ZIRCON",NA,NA,NA,NA,"primary",31.79,0.06,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ZIRCON"
"2","[3482] DE HOOG J. C. M. (2000)","samp. 7","CONVERGENT MARGIN","SUNDA ARC / SUNDA ARC / LOMBLEN / LEWOTOLO (SELAT BOLENG)",NA,-8.27,-8.27,123.51,123.51,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"ZIRCON",NA,NA,NA,NA,"primary",31.06,0.12,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ZIRCON"
"3","[3482] DE HOOG J. C. M. (2000)","samp. LO10-6A","CONVERGENT MARGIN","SUNDA ARC / SUNDA ARC / LOMBLEN / LEWOTOLO (SELAT BOLENG)",NA,-8.27,-8.27,123.51,123.51,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"ZIRCON",NA,NA,NA,NA,"primary",31.95,0.03,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ZIRCON"
"4","[7587] FEDERICO M. (2002)","samp. 275","CONVERGENT MARGIN","APENNINIC-MAGHREBIDES CHAIN / APENNINE / ROMAN VOLCANIC PROVINCE / ALBAN HILLS (COLLI ALBANI)",NA,41.73,41.73,12.65,12.65,"subaerial",NA,NA,"NOT GIVEN",NA,NA,NA,NA,"ZIRCON",NA,NA,NA,NA,"primary",31.44,0.05,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ZIRCON"
"5","[8236] EWART A. (1981)","samp. 33033","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / FOCAL PEAK / MAIN RANGE VOLCANICS - LAMINGTON GROUP","MOUNT GILLIES RHYOLITE",-28.2467,-28.2467,153.2333,153.2333,"subaerial",NA,NA,"RHYOLITE",NA,NA,NA,NA,"ZIRCON",NA,"microphenocryst",NA,NA,"primary",32.44,0.16,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ZIRCON"
"6","[8236] EWART A. (1981)","samp. 33030","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / FOCAL PEAK / MAIN RANGE VOLCANICS - LAMINGTON GROUP","MOUNT GILLIES RHYOLITE",-28.2467,-28.2467,153.2333,153.2333,"subaerial",NA,NA,"RHYOLITE",NA,NA,NA,NA,"ZIRCON",NA,"microphenocryst",NA,NA,"primary",32.59,0.05,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ZIRCON"
"7","[8236] EWART A. (1981)","samp. 38990","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / QUEENSLAND / MOUNT ALFORD VOLCANIC CENTRE","MOUNT ALFORD RHYOLITE",-28.06,-28.075,152.59,152.6,"subaerial",NA,NA,"RHYOLITE",NA,NA,NA,NA,"ZIRCON",NA,"microphenocryst",NA,NA,"primary",31.61,0.05,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ZIRCON"
"8","[8236] EWART A. (1981)","samp. 38675","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / TWEED / MAIN RANGE VOLCANICS - LAMINGTON GROUP","BINNA BURRA RHYOLITE",-28.3972,-28.3972,153.2708,153.2708,"subaerial",NA,NA,"RHYOLITE",NA,NA,NA,NA,"ZIRCON",NA,"microphenocryst",NA,NA,"primary",32.38,0.12,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ZIRCON"
"9","[8236] EWART A. (1981)","samp. 31052","INTRAPLATE VOLCANICS","AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / NEW SOUTH WALES / TWEED / MAIN RANGE VOLCANICS - LAMINGTON GROUP","SPRINGBROOK RHYOLITE",-28.3972,-28.3972,153.2708,153.2708,"subaerial",NA,NA,"RHYOLITE",NA,NA,NA,NA,"ZIRCON",NA,"microphenocryst",NA,NA,"primary",32.44,0.05,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ZIRCON"
"10","[10016] VISONA D. (2007)","samp. SP106","INTRAPLATE VOLCANICS","ADRIA DOMAIN / SOUTHERN ALPS / VENETO VOLCANIC PROVINCE / MONTI LESSINI","CAMPANELLA, EASTERN MONTI LESSINI",45.6,45.6,11.25,11.25,"subaerial",NA,NA,"BASANITE","PORPHYRITIC",NA,NA,NA,"ZIRCON",NA,"macrocryst","core",NA,"primary",32.472,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ZIRCON"
