SAMPLE	MINERAL	GROUP	   As    	   W     	   Fe    	   Co    	   Ni    	   Cu    	   Zn    	   Bi    	   Te    	   Pt    	   Au    	   Mo    	   S     	   Pb    	   Ag    	   Sb    
Come Quieto	PYRITE	SULFIDE	0.00	0.00	48.19	0.05	0.01	0.01	0.00	0.00	0.00	0.02	0.00	0.07	51.06	0.11	0.00	0.00
Escorpião	PYRITE	SULFIDE	0.00	0.01	46.62	0.05	0.00	0.02	0.01	0.00	0.00	0.00	0.00	0.08	51.92	0.46	0.00	0.01
Valdette	PYRITE	SULFIDE	0.00	0.00	48.05	0.05	0.01	0.01	0.02	0.00	0.00	0.00	0.00	0.08	50.90	0.18	0.00	0.01
Mãe de Leite	PYRITE	SULFIDE	0.01	0.00	47.72	0.04	0.00	0.01	0.01	0.00	0.01	0.00	0.00	0.08	51.94	0.15	0.00	0.00
Galena	PYRITE	SULFIDE	0.00	0.01	47.16	0.05	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.06	49.56	0.17	0.00	0.00
Galena	PYRITE	SULFIDE	0.01	0.02	46.68	0.05	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.05	50.66	0.10	0.01	0.01
Serra	PYRITE	SULFIDE	0.00	0.00	48.75	0.04	0.01	0.00	0.00	0.00	0.02	0.00	0.00	0.09	51.51	0.08	0.00	0.00
Serra	PYRITE	SULFIDE	0.01	0.00	48.38	0.06	0.01	0.04	0.02	0.00	0.01	0.00	0.00	0.08	50.51	0.14	0.00	0.00
Serra	PYRITE	SULFIDE	0.01	0.00	48.03	0.07	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.06	51.43	0.14	0.01	0.00
Serra	PYRITE	SULFIDE	0.01	0.00	48.04	0.06	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.08	52.92	0.15	0.00	0.00
Meio	PYRITE	SULFIDE	0.00	0.01	47.71	0.05	0.01	0.03	0.04	0.00	0.01	0.00	0.00	0.07	52.32	0.15	0.01	0.00
Meio	PYRITE	SULFIDE	0.00	0.01	47.92	0.05	0.01	0.01	0.06	0.00	0.00	0.00	0.00	0.09	53.32	0.15	0.01	0.00
Come Quieto	GALENA	SULFIDE	0.00	0.01	0.03	0.02	0.00	0.02	0.00	0.00	0.05	0.00	0.04	0.87	13.39	86.53	0.00	0.03
Mãe de Leite	GALENA	SULFIDE	0.00	0.00	0.12	0.00	0.02	0.02	0.00	0.18	0.02	0.01	0.03	0.84	13.08	85.02	0.10	0.01
Galena	GALENA	SULFIDE	0.00	0.04	1.12	0.00	0.02	0.00	0.00	0.00	0.03	0.02	0.00	0.79	13.20	84.88	0.00	0.02
Galena	GALENA	SULFIDE	0.00	0.00	0.03	0.01	0.01	0.00	0.00	0.42	0.03	0.01	0.01	0.82	12.88	83.64	0.23	0.01
Escorpião	GALENA	SULFIDE	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.04	0.00	0.00	0.88	13.37	85.78	0.01	0.00
Valdette	GALENA	SULFIDE	0.00	0.01	0.24	0.00	0.01	0.01	0.11	0.00	0.01	0.00	0.01	0.87	12.98	84.93	0.00	0.00
Serra	GALENA	SULFIDE	0.02	0.01	0.02	0.01	0.01	0.01	0.00	1.84	0.03	0.01	0.00	0.85	13.06	82.48	0.78	0.00
Serra	GALENA	SULFIDE	0.00	0.01	0.31	0.01	0.01	0.02	0.00	0.36	0.05	0.01	0.01	0.87	13.33	84.54	0.24	0.01
Serra	GALENA	SULFIDE	0.00	0.00	0.02	0.01	0.00	0.02	0.00	4.66	0.03	0.00	0.00	0.86	13.89	77.14	2.04	0.00
Meio	GALENA	SULFIDE	0.00	0.02	0.20	0.01	0.01	0.28	0.01	0.02	0.02	0.00	0.00	0.95	13.44	82.61	0.02	0.00
Meio	GALENA	SULFIDE	0.00	0.00	0.05	0.00	0.02	0.01	0.00	0.00	0.03	0.00	0.00	0.95	13.60	83.61	0.00	0.00
Come Quieto	CHALCOPYRITE	SULFIDE	0.00	0.00	30.95	0.03	0.01	35.39	0.02	0.00	0.01	0.00	0.00	0.02	34.19	0.10	0.01	0.00
Mãe de Leite	CHALCOPYRITE	SULFIDE	0.00	0.00	30.02	0.01	0.01	34.42	1.34	0.00	0.00	0.00	0.00	0.03	33.77	0.11	0.01	0.01
Valdette	CHALCOPYRITE	SULFIDE	0.01	0.01	28.88	0.02	0.02	33.40	2.47	0.00	0.00	0.00	0.00	0.08	34.44	0.12	0.02	0.00
Serra	CHALCOPYRITE	SULFIDE	0.02	0.00	30.72	0.01	0.00	35.12	0.04	0.00	0.01	0.00	0.00	0.06	33.44	0.12	0.01	0.02
Serra	CHALCOPYRITE	SULFIDE	0.00	0.01	30.59	0.04	0.01	34.84	0.05	0.00	0.02	0.02	0.01	0.04	33.45	0.10	0.01	0.01
Serra	CHALCOPYRITE	SULFIDE	0.01	0.00	30.58	0.03	0.00	33.82	0.04	0.00	0.01	0.00	0.00	0.05	34.26	0.13	0.01	0.01
Serra	CHALCOPYRITE	SULFIDE	0.00	0.00	30.55	0.03	0.01	34.56	0.02	0.01	0.01	0.01	0.00	0.05	34.89	0.12	0.02	0.00
Meio	CHALCOPYRITE	SULFIDE	0.02	0.00	30.66	0.03	0.00	34.43	0.03	0.00	0.01	0.00	0.00	0.04	34.48	0.12	0.01	0.01
Come Quieto	SPHALERITE	SULFIDE	0.01	0.00	0.62	0.01	0.02	0.02	66.09	0.00	0.00	0.00	0.00	0.12	32.94	0.09	0.00	0.00
Mãe de Leite	SPHALERITE	SULFIDE	0.00	0.00	0.52	0.01	0.02	0.05	65.68	0.00	0.01	0.01	0.02	0.12	32.13	0.08	0.00	0.00
Valdette	SPHALERITE	SULFIDE	0.01	0.00	0.19	0.00	0.00	0.07	65.41	0.00	0.00	0.02	0.00	0.18	32.17	0.08	0.00	0.00
Galena	SPHALERITE	SULFIDE	0.01	0.00	0.76	0.01	0.01	0.12	63.41	0.00	0.00	0.00	0.00	0.11	32.33	0.05	0.00	0.00
Serra	SPHALERITE	SULFIDE	0.00	0.01	1.50	0.00	0.01	0.93	64.06	0.00	0.00	0.00	0.00	0.13	32.01	0.12	0.00	0.00
Serra	SPHALERITE	SULFIDE	0.00	0.00	0.74	0.02	0.00	0.01	66.61	0.00	0.00	0.00	0.00	0.20	31.66	0.09	0.01	0.00
Meio	SPHALERITE	SULFIDE	0.00	0.00	0.26	0.01	0.01	0.08	65.69	0.00	0.00	0.00	0.00	0.15	33.03	0.05	0.00	0.01
Meio	SPHALERITE	SULFIDE	0.02	0.02	0.25	0.01	0.01	0.07	66.17	0.00	0.00	0.00	0.00	0.16	33.25	0.08	0.00	0.00
Serra	AIKINITE	SULFIDE	0.010	0.000	0.308	0.000	0.000	11.040	0.000	36.403	0.000	0.000	0.000	0.578	16.652	34.195	0.000	0.010
