SAMPLE	MINERAL	GROUP	   Au    	   Pt    	   W     	   As    	   Se    	   Cu    	   Ni    	   Mn    	   Sb    	   Pb    	   S     	   Zn    	   Co    	   Fe    	   Te    	   Cd    	   Ag    	   Bi    	   Hg    
JB-0905-3_C1_Sulf-1-1 	ARSENOPYRITE	SULFIDE	0	0	0	44.327	0.189	0.055	0.028	0	0.055	0	19.032	0	0.007	34.373	0.005	0.016	0	0	0
JB-0905-3_C1_Sulf-1-2 	ARSENOPYRITE	SULFIDE	0	0.022	0.032	44.091	0.151	0.017	0	0.046	0.023	0	18.304	0.031	2.023	31.469	0	0	0.013	0	0
JB-0905-3_C1_Sulf-1-3 	ARSENOPYRITE	SULFIDE	0	0	0.037	43.432	0.134	0.028	0.072	0	0	0	18.666	0.007	2.157	31.143	0.002	0.047	0	0	0
JB-0905-3_C1_Sulf-1-4 	ARSENOPYRITE	SULFIDE	0.018	0	0.029	43.058	0.2	0.006	0	0	0.047	0	18.593	0.031	0.115	33.485	0.005	0	0	0	0
JB-0905-3_C1_Sulf-1-5 	ARSENOPYRITE	SULFIDE	0.006	0	0.01	40.983	0.149	0	0	0	0.023	0	19.877	0	0.129	33.713	0	0.011	0	0	0
JB-0905-3_C1_Sulf-2-1 	ARSENOPYRITE	SULFIDE	0	0	0.054	43.083	0.18	0	0.067	0	0.086	0	19.491	0.008	0.113	33.436	0.001	0	0	0	0
JB-0905-3_C1_Sulf-2-2 	ARSENOPYRITE	SULFIDE	0.087	0.007	0	42.638	0.143	0.039	0.095	0	0.157	0	19.323	0	0.017	33.156	0.008	0	0	0	0
JB-0905-3_C1_Sulf-2-3 	ARSENOPYRITE	SULFIDE	0.124	0	0	43.043	0.122	0	0.01	0	0.022	0	19.222	0	0.03	33.089	0.01	0.078	0	0	0
JB-0905-3_C1_Sulf-3-1 	ARSENOPYRITE	SULFIDE	0.049	0	0	45.592	0.131	0.05	0	0	0.005	0	18.376	0	1.512	32.007	0.052	0.035	0	0	0
JB-0905-3_C1_Sulf-3-2 	ARSENOPYRITE	SULFIDE	0	0	0.007	45.76	0.143	0.057	0.142	0	0.003	0.053	18.194	0	2.192	30.782	0.023	0.009	0	0	0
JB-0905-3_C1_Sulf-4-1 	ARSENOPYRITE	SULFIDE	0.014	0	0	44.905	0.196	0.032	0.506	0	0.052	0	19.444	0	0.009	33.244	0	0.042	0	0	0
JB-0905-3_C1_Sulf-4-2 	ARSENOPYRITE	SULFIDE	0.004	0.055	0	45.175	0.192	0.054	0	0	0.151	0	19.225	0	0.084	33.14	0	0.042	0	0	0
JB-0905-3_C1_Sulf-4-3 	ARSENOPYRITE	SULFIDE	0.07	0	0.116	43.44	0.126	0	0	0	0.008	0	19.934	0	0.262	33.284	0	0	0	0	0
JB-0905-3_C1_Sulf-5-1 	ARSENOPYRITE	SULFIDE	0.05	0.007	0.018	43.172	0.243	0.082	0.342	0	0.032	0	18.854	0	0.013	32.754	0.044	0.01	0	0	0
JB-0905-3_C1_Sulf-5-2 	ARSENOPYRITE	SULFIDE	0.001	0.006	0.046	42.595	0.209	0.042	0	0	0.051	0.023	19.359	0.007	0.082	33.476	0.04	0.001	0	0	0
JB-0905-3_C1_Sulf-5-3 	ARSENOPYRITE	SULFIDE	0.04	0.008	0.033	42.833	0.159	0.066	0.387	0	0.08	0.004	19.277	0	0.13	33.054	0	0	0	0	0
JB-0905-3_C1_Sulf-6-1 	ARSENOPYRITE	SULFIDE	0.034	0	0	42.37	0.181	0.048	0	0	0.028	0	20.001	0.034	0.33	33.647	0.024	0	0	0	0
JB-0905-3_C1_Sulf-6-2 	ARSENOPYRITE	SULFIDE	0	0	0.052	42.87	0.147	0.074	0	0	0.007	0	19.381	0	0.405	33.503	0.01	0.004	0	0	0
