"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","C(WT%)","F(WT%)","CL(WT%)","SO3(WT%)","S(WT%)","LOI(WT%)","O(WT%)","MG(WT%)","K(WT%)","MG(PPM)","AL(PPM)","AR40(MOL/G)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","AG(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","AU(PPM)","TH(PPM)","U(PPM)","SR87_SR86","RB87_SR86","D18O(‰SMOW)","D18O(‰VSMOW)","DD(‰)","DD(‰VSMOW)","AGE(MA)",
"[84] CONRAD M. E. (1997)","samp. 1-3989","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-1 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1216","1216","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5","","","",
"[84] CONRAD M. E. (1997)","samp. 1-4863","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-1 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1482","1482","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","","","",
"[84] CONRAD M. E. (1997)","samp. 1-5474","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-1 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1668","1668","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","","","",
"[84] CONRAD M. E. (1997)","samp. 2-3185","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-2 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1216","1216","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5","","","",
"[84] CONRAD M. E. (1997)","samp. 2-4338","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-2 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1322","1322","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.4","-60","","",
"[84] CONRAD M. E. (1997)","samp. 2-5168","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-2 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1575","1575","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","-81","","",
"[84] CONRAD M. E. (1997)","samp. 2-5549","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-2 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1691","1691","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3","-73","","",
"[84] CONRAD M. E. (1997)","samp. 2-6293","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-2 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","1918","1918","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","-41","","",
"[84] CONRAD M. E. (1997)","samp. 2-6592","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-2 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","2009","2009","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","","","",
"[84] CONRAD M. E. (1997)","samp. 4-2618","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT","SOH-4 DRILL CORE","19.4","19.4","-155.27","-155.27","subaerial","","","THOLEIITE","","971","971","","CLAY MINERAL","","","","","secondary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","-85","","",
