"CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2(WT%)","TIO2(WT%)","ZRO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","LA2O3(WT%)","CE2O3(WT%)","V2O3(WT%)","FE2O3T(WT%)","FE2O3(WT%)","FEOT(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","BAO(WT%)","SRO(WT%)","PBO(WT%)","NIO(WT%)","ZNO(WT%)","COO(WT%)","RB2O(WT%)","K2O(WT%)","NA2O(WT%)","LI2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","CO2(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","S2(WT%)","LOI(WT%)","O(WT%)","SI(WT%)","AL(WT%)","FE(WT%)","MG(WT%)","CA(WT%)","K(WT%)","NA(WT%)","HE(CCMSTP/G)","LI(PPM)","BE(PPM)","B(PPM)","P(PPM)","S(PPM)","AR36(CCMSTP/G)","AR40(AT/G)","AR40(CCMSTP/G)","AR40(MOL/G)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","SN(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","PB(PPM)","TH(PPM)","U(PPM)","U(PPB)","H2O(PPM)","ND143_ND144","SM147_ND144","SR87_SR86","RB87_SR86","PB206_PB204","PB207_PB204","PB207_PB206","PB208_PB204","PB208_PB206","HE3_HE4(R/R(A))","AR36_AR39","AR37_AR39","AR38_AR39","AR40_AR39","PB210_TH230_ACT","RA226_TH230_ACT","RA226_U238_ACT","TH230_TH232_ACT","TH230_U238_ACT","U234_U238_ACT","U238_TH230_ACT","U238_TH232_ACT","D13C(‰PDB)","D18O(‰)","D18O(‰SMOW)","D18O(‰VSMOW)","D34S(‰CDT)","D56FE(‰IRMM-014)","D57FE(‰IRMM-014)","ALBITE(MOL%)","ANORTHITE(MOL%)","CELSIAN(MOL%)","KALSILITE(MOL%)","(AL)KALIFELDSPAR(MOL%)","NEPHELINE(MOL%)","ORTHOCLASE(MOL%)","QUARTZ(MOL%)","AGE(KA)","AGE(MA)",
"[305] IIJIMA A. (1969)","samp. 10","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SOUTH OF KOKO CRATER, LOWER UNIT","21.29","21.29","-157.64","-157.64","subaerial","","","BASALT","","","","extensively altered","ANALCIME","","","","","secondary","53.2","0","","23.7","","","","","","0.12","","","1.14","","","","","","","","","","0.02","12.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[369] WILKINSON J. F. G. (1983)","samp. MO6,7,5A","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SUGARLOAF CONE, MO(I)LIILI QUARRY","21.34","21.34","-157.85","-157.85","subaerial","","","NEPHELINITE, OLIVINE-MELILITE","","","","","NEPHELINE","1","groundmass","","","primary","41.5","","","33.6","","","","","1.46","","","","0.27","","","","","","","","","","7.33","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[369] WILKINSON J. F. G. (1983)","samp. MO17","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SUGARLOAF CONE, MO(I)LIILI QUARRY","21.34","21.34","-157.85","-157.85","subaerial","","","MELTEIGITE","","","","","NEPHELINE","2","","core","","primary","41.7","","","33.9","","","","","1.2","","","","0.2","","","","","","","","","","8.19","15.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[369] WILKINSON J. F. G. (1983)","samp. MO6,7,5A","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SUGARLOAF CONE, MO(I)LIILI QUARRY","21.34","21.34","-157.85","-157.85","subaerial","","","NEPHELINITE, OLIVINE-MELILITE","","","","","SODALITE","3","","","","primary","37.7","","","30.5","","","","","1.44","","","","","","","","","","","","","","0.26","24.1","","","","","","","","7.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[369] WILKINSON J. F. G. (1983)","samp. MO17,5B","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SUGARLOAF CONE, MO(I)LIILI QUARRY","21.34","21.34","-157.85","-157.85","subaerial","","","MELTEIGITE","","","","","SODALITE","4","","core","","primary","37.3","","","31.2","","","","","0.97","","","","","","","","","","","","","","1.44","23.7","","","","","","","","7.82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[369] WILKINSON J. F. G. (1983)","samp. MO24","OCEAN ISLAND","HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES","SUGARLOAF CONE, MO(I)LIILI QUARRY","21.34","21.34","-157.85","-157.85","subaerial","","","IJOLITE","","","","","SODALITE","5","","rim","","primary","38.6","","","30.2","","","","","1.61","","","","","","","","","","","","","","1.35","21.5","","","","","","","","8.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[725] ROCHA DE MACEDO J. (1989)","samp. 2N-239","OCEAN ISLAND","CAPE VERDE ISLANDS / SAO NICOLAO / ANTIGO COMPLEX","1500 M SOUTHWEST OF BELEM","16.5","16.7","-24","-24.3","subaerial","","","PHONOLITE","","","","","NEPHELINE","","","","","primary","46.99","","","34.98","","","","","","","","","0.39","","","","","","","","","","4.22","14.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[725] ROCHA DE MACEDO J. (1989)","samp. 2N-239","OCEAN ISLAND","CAPE VERDE ISLANDS / SAO NICOLAO / ANTIGO COMPLEX","1500 M SOUTHWEST OF BELEM","16.5","16.7","-24","-24.3","subaerial","","","PHONOLITE","","","","","NEPHELINE","","","","","primary","46.45","","","34.46","","","","","","","","","0.03","","","","","","","","","","4.79","15.33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[725] ROCHA DE MACEDO J. (1989)","samp. 2N-239","OCEAN ISLAND","CAPE VERDE ISLANDS / SAO NICOLAO / ANTIGO COMPLEX","1500 M SOUTHWEST OF BELEM","16.5","16.7","-24","-24.3","subaerial","","","PHONOLITE","","","","","NEPHELINE","","","","","primary","44.92","","","31.87","","","","","","","","","0.43","","","","","","","","","","4.34","16.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"[725] ROCHA DE MACEDO J. (1989)","samp. 2N-239","OCEAN ISLAND","CAPE VERDE ISLANDS / SAO NICOLAO / ANTIGO COMPLEX","1500 M SOUTHWEST OF BELEM","16.5","16.7","-24","-24.3","subaerial","","","PHONOLITE","","","","","NEPHELINE","","","","","primary","44.7","","","33.22","","","","","","","","","0.17","","","","","","","","","","4.67","16.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
