id	SAMPLE	MINERAL	POINT	 S(WT%) 	 MN(WT%) 	 FE(WT%) 	 CO(WT%) 	 NI(WT%) 	 CU(WT%) 	 ZN(WT%) 	 AS(WT%) 	 AG(WT%) 	 SB(WT%) 	 AU(WT%) 	 PB(WT%) 
1	Mb-R-012A	SPHALERITE	Mb-R-012-A_C1_ESFAL_1	32.98	0.03	7.05	0.43		0.24	57.48	0.02				0.02
2	Mb-R-012A	SPHALERITE	Mb-R-012-A_C1_ESFAL_2	33.53	0.03	7.25	0.46		0.07	57.21			0.01		0.04
3	Mb-R-012A	SPHALERITE	Mb-R-012-A_C1_ESFAL_3	33.31	0.04	7.66	0.54	0	0.01	57.05			0.01		0.05
4	Mb-R-012A	SPHALERITE	Mb-R-012-A_C1_ESFAL_4	33.02	0.03	6.69	0.42		0.11	57.6			0		0.04
5	Mb-R-012A	SPHALERITE	Mb-R-012-A_C1_ESFAL_5	32.94	0.04	7.56	0.48	0.01	0.17	56.75					0.04
6	Mb-R-012A	CALCHOPYRITE	Mb-R-012-A_C1_CALCO_6	34.49	0	30.04	0.02		33.86		0.02	0.04		0.01	0.11
7	Mb-R-012A	CALCHOPYRITE	Mb-R-012-A_C1_CALCO_7	34.99	0	30.04	0.04		33.5			0.03		0	0.12
8	Mb-R-012A	CALCHOPYRITE	Mb-R-012-A_C1_CALCO_8	34.85	0	29.94	0.04		34.03			0.04		0.01	0.11
9	Mb-R-012A	CALCHOPYRITE	Mb-R-012-A_C1_CALCO_9	34.44	0	29.41	0.03		33.31			0.04		0.02	0.14
10	Mb-R-012A	CALCHOPYRITE	Mb-R-012-A_C1_CALCO_10	34.81		29.97	0.04	0	33.76			0.03			0.1
11	Mb-R-012A	PYRITE	Mb-R-012-A_C1_PY_1	52.99	0	40.68	4.96	0.16	0.02	0	3				0.14
12	Mb-R-012A	PYRITE	Mb-R-012-A_C1_PY_2	53.22		45.21	0.08	0.44	0.03		0			0.01	0.12
13	Mb-R-012A	PYRITE	Mb-R-012-A_C1_PY_3	53.5		42.25	3.61	0.06	0.3		3.03			0.03	0.14
14	Mb-R-012A	PYRITE	Mb-R-012-A_C1_PY_4	53.3		45.37	0.09	0.19	0.03						0.12
15	Mb-R-012A	PYRITE	Mb-R-012-A_C1_PY_5	53.41		39.92	5.47	0.19	0.04	0.01	3.48			0.02	0.14
16	Mb-R-012A	ARSENOPYRITE	Mb-R-012-A_C1_ASPY_1	24.26	0	6.53	30.08	0.66	0.45		53.01			0.01	0.06
17	Mb-R-012A	ARSENOPYRITE	Mb-R-012-A_C1_ASPY_2	26.43	0	7.61	29.63	0.72	0.16		46.8	0.01		0	0.07
18	Mb-R-012A	CALCHOPYRITE	Mb-R-012-A_C1_CALCO_11	34.46		29.75	0.07		33.75			0.04		0.01	0.09
19	Mb-R-012A	CALCHOPYRITE	Mb-R-012-A_C1_CALCO_12	33.95		29.97	0.07	0.01	33.36			0.02			0.06
20	Mb-R-012A	CALCHOPYRITE	Mb-R-012-A_C1_CALCO_13	34.53		29.95	0.04		33.55			0.02		0.01	0.08
21	Mb-R-012A	PYRITE	Mb-R-012-A_C2_Py_1	52.99		42.35	3.18	0.39	0.01	0	2.69				0.12
22	Mb-R-012A	PYRITE	Mb-R-012-A_C2_Py_2	52.32		42.17	3.21	0.39			2.66			0.03	0.14
23	Mb-R-012A	PYRITE	Mb-R-012-A_C2_Py_3	52.48		42.56	2.84	0.35	0	0.01	2.69			0.01	0.12
