SAMPLE	MINERAL	GROUP	   S     	   Fe    	   As    	   Pb    	   Cu    	   Zn    	   Au    	   Ag    	   Bi    	   Co    	   Ni    	   Cr    	   V     
ek65e 1c 1 	PYRITE	SULFIDE	53.32	46.37	0.00	0.09	0.01	0.00	0.00	0.00	0.12	0.05	0.00	0.00	0.00
ek65e 1c 2 	PYRITE	SULFIDE	53.51	46.17	0.00	0.06	0.01	0.00	0.00	0.00	0.13	0.16	0.02	0.01	0.00
ek65e 1c 3 	PYRITE	SULFIDE	53.06	45.68	0.01	0.07	0.00	0.00	0.00	0.00	0.17	0.06	0.04	0.00	0.01
ek65e 2c 1 	PYRITE	SULFIDE	53.57	46.49	0.03	0.22	0.02	0.00	0.00	0.00	0.03	0.08	0.00	0.02	0.01
ek65e 2c 2 	PYRITE	SULFIDE	53.83	46.79	0.02	0.08	0.02	0.00	0.00	0.00	0.16	0.04	0.03	0.00	0.01
ek65e 2c 3 	PYRITE	SULFIDE	53.76	46.46	0.00	0.14	0.00	0.02	0.00	0.05	0.19	0.05	0.00	0.00	0.00
ek65e 2c 4 	PYRITE	SULFIDE	53.63	46.56	0.11	0.09	0.01	0.00	0.00	0.01	0.11	0.03	0.00	0.00	0.01
ek65e 2c 5 	PYRITE	SULFIDE	53.42	46.17	0.08	0.05	0.00	0.01	0.00	0.00	0.20	0.07	0.02	0.01	0.01
ek65e 3c 1 	PYRITE	SULFIDE	53.68	46.00	0.04	0.20	0.04	0.01	0.00	0.04	0.17	0.18	0.42	0.01	0.00
ek65e 3c 2 	PYRITE	SULFIDE	53.03	46.28	0.00	0.13	0.00	0.00	0.00	0.01	0.06	0.18	0.10	0.00	0.01
ek65e 3c 3 	PYRITE	SULFIDE	53.20	46.39	0.34	0.10	0.01	0.00	0.00	0.01	0.12	0.07	0.00	0.01	0.01
ek65e 3c 4 	PYRITE	SULFIDE	53.24	46.51	0.00	0.04	0.02	0.03	0.00	0.00	0.12	0.08	0.02	0.01	0.00
ek65e 3c 5 	PYRITE	SULFIDE	53.57	46.42	0.07	0.07	0.00	0.00	0.00	0.01	0.13	0.09	0.00	0.00	0.00
ek65e 4c 1 	PYRITE	SULFIDE	53.49	46.41	0.08	0.12	0.06	0.00	0.00	0.00	0.08	0.07	0.03	0.00	0.00
ek65e 4c 2 	PYRITE	SULFIDE	53.37	46.48	0.30	0.10	0.03	0.02	0.00	0.00	0.21	0.03	0.02	0.01	0.00
ek65e 4c 3 	PYRITE	SULFIDE	53.87	46.46	0.00	0.09	0.03	0.00	0.00	0.00	0.12	0.07	0.04	0.00	0.00
ek65e 4c 4 	PYRITE	SULFIDE	53.69	46.63	0.02	0.14	0.06	0.00	0.00	0.00	0.19	0.06	0.04	0.00	0.00
ek65e 4c 5 	PYRITE	SULFIDE	53.33	46.42	0.25	0.09	0.02	0.02	0.00	0.00	0.21	0.05	0.02	0.00	0.00
ek68b 2c 1 	PYRITE	SULFIDE	53.23	46.08	0.00	0.19	0.12	0.01	0.00	0.00	0.16	0.03	0.01	0.00	0.01
ek68b 2c 2 	PYRITE	SULFIDE	53.09	46.02	0.05	0.16	0.16	0.00	0.00	0.00	0.07	0.05	0.02	0.02	0.00
df1 1 	PYRITE	SULFIDE	53.17	46.65	0.13	0.10	0.00	0.00	0.00	0.00	0.19	0.04	0.03	0.01	0.00
df1 2 	PYRITE	SULFIDE	52.86	45.89	0.45	0.17	0.01	0.00	0.00	0.00	0.12	0.03	0.01	0.01	0.00
df1 3 	PYRITE	SULFIDE	53.04	46.37	0.21	0.08	0.00	0.00	0.00	0.00	0.11	0.07	0.03	0.02	0.00
df1 4 	PYRITE	SULFIDE	52.67	45.96	0.32	0.15	0.00	0.00	0.00	0.02	0.17	0.07	0.00	0.00	0.00
df1 5 	PYRITE	SULFIDE	53.28	46.64	0.01	0.03	0.03	0.04	0.00	0.00	0.14	0.04	0.02	0.00	0.00
df1 6 	PYRITE	SULFIDE	52.88	46.21	0.29	0.10	0.01	0.00	0.00	0.01	0.16	0.04	0.01	0.01	0.01
df1 7 	PYRITE	SULFIDE	52.74	46.54	0.44	0.13	0.04	0.01	0.00	0.00	0.11	0.05	0.04	0.01	0.00
df1 8 	PYRITE	SULFIDE	52.86	46.17	0.00	0.13	0.01	0.01	0.00	0.03	0.07	0.06	0.03	0.00	0.01
ek66a 1c 10 	PYRITE	SULFIDE	53.23	46.66	0.40	0.21	0.08	0.00	0.00	0.01	0.08	0.05	0.00	0.00	0.00
EK-16_C1_Py 1 	PYRITE	SULFIDE	52.184	44.597	0	0.117	0.039	0	0	0.021	0	0.047	0.021		
EK-16_C1_Py 3 	PYRITE	SULFIDE	52.341	45.816	0	0.137	0.049	0	0	0	0	0.025	0.023		
EK-16_C2_Py 4 	PYRITE	SULFIDE	52.493	45.184	0	0.187	0.048	0.025	0	0	0	0.014	0		
EK-16_C2_Py 5 	PYRITE	SULFIDE	52.495	45.109	0	0.189	0.04	0	0	0.011	0	0.025	0.021		
