" ",,,,,,,,,,,,,,,,,
"Weight percent  ","      Group : 2020_03_11    ","  Sample : 2020_03_11_0002_QNT  "," Page ",1," ",,,,,,,,,,,,
" ",,,,,,,,,,,,,,,,,
"   No. ","   Na2O  ","   F     ","   MgO   ","   Al2O3 ","   SiO2  ","   Cl    ","   P2O5  ","   K2O   ","   CaO   ","   TiO2  ","   Cr2O3 ","   MnO   ","   V2O3  ","   FeO   ","   NiO   ","  Total  ","Comment  "
1,11.64,0,0,19.22,68.09,0,0.01,0.18,0,0.07,0,0,0,0,0.06,99.26,"Albita_padrao_teste_2 "
" ",,,,,,,,,,,,,,,,,
"Minimum",11.64,0,0,19.22,68.09,0,0.01,0.18,0,0.07,0,0,0,0,0.06,99.26,
"Maximum",11.64,0,0,19.22,68.09,0,0.01,0.18,0,0.07,0,0,0,0,0.06,99.26,
"Average",11.64,0,0,19.22,68.09,0,0.01,0.18,0,0.07,0,0,0,0,0.06,99.26,
"Sigma  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"No. of data   1 ",,,,,,,,,,,,,,,,,
