SIO2,TIO2,AL2O3,CR2O3,FEOT,CAO,MGO,MNO,K2O,NA2O,P2O5,H20,F,CL,NIO,CUO,COO,ZNO,PBO,S,ZRO2,AS,MINERAL,GROUP
55.63,0.15,3.53,0.57,6.82,12.52,18.38,0.2,0.06,0.43,0.06,1.91,0.03,0.01,0.23,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ACTINOLITE,AMPHIBOLES
55.81,0.07,2.75,0.24,8.3,11.99,18.2,0.14,0.03,0.38,0.0,2.14,0.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ACTINOLITE,AMPHIBOLES
56.52,0.02,2.22,0.08,7.42,12.47,18.81,0.13,0.02,0.37,0.01,2.14,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
49.19,0.0,3.88,0.03,23.71,10.15,9.67,0.45,0.03,0.4,0.05,2.12,0.12,0.07,0.13,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ACTINOLITE,AMPHIBOLES
52.39,0.21,3.66,0.0,13.94,12.29,14.82,0.22,0.16,0.43,0.02,2.01,0.2,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.16,0.0,ACTINOLITE,AMPHIBOLES
50.2,0.11,4.3,0.1,20.8,9.2,10.1,0.32,0.21,1.9,0.02,2.32,0.07,0.15,0.05,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,ACTINOLITE,AMPHIBOLES
44.15,0.57,11.86,0.02,14.22,12.07,10.77,0.2,0.57,1.77,0.1,2.57,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
50.6,0.07,4.6,0.06,20.2,9.2,10.0,0.29,0.22,1.6,0.02,2.31,0.23,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,ACTINOLITE,AMPHIBOLES
48.97,0.31,5.42,0.04,18.33,11.97,10.73,0.54,0.24,0.62,0.0,2.04,0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,ACTINOLITE,AMPHIBOLES
52.04,0.21,1.65,0.07,15.58,12.21,12.12,0.32,0.07,1.13,0.02,2.03,0.43,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
53.3,0.0,1.28,0.03,20.42,8.74,13.02,0.41,0.02,0.15,0.13,2.02,0.23,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.11,0.0,ACTINOLITE,AMPHIBOLES
52.91,0.22,2.37,1.24,6.77,17.9,17.69,0.3,0.01,0.23,0.06,1.84,0.29,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,ACTINOLITE,AMPHIBOLES
54.39,0.19,1.64,0.0,12.65,12.46,15.95,0.41,0.03,0.22,0.02,2.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,ACTINOLITE,AMPHIBOLES
52.43,0.01,2.57,0.2,9.36,14.5,18.3,0.14,0.0,0.23,0.11,2.05,0.15,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.06,0.0,ACTINOLITE,AMPHIBOLES
56.44,0.04,2.53,0.0,7.31,12.43,19.21,0.12,0.04,0.31,0.83,2.15,0.15,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ACTINOLITE,AMPHIBOLES
50.83,0.08,2.99,0.04,12.9,11.5,18.02,0.42,0.03,0.21,0.0,1.99,0.3,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.0,ACTINOLITE,AMPHIBOLES
55.78,0.05,1.77,0.16,11.0,12.67,16.15,0.44,0.03,0.18,0.06,2.02,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,ACTINOLITE,AMPHIBOLES
54.06,0.02,0.81,0.03,15.64,11.1,13.44,0.26,0.39,1.34,0.02,2.04,0.86,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ACTINOLITE,AMPHIBOLES
46.95,0.3,7.45,0.01,13.1,10.97,15.81,0.29,0.24,1.56,0.0,2.07,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
56.38,0.11,2.14,0.3,7.82,12.24,18.85,0.19,0.07,0.33,0.44,2.09,0.06,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.14,0.0,ACTINOLITE,AMPHIBOLES
53.13,0.06,2.33,0.04,14.02,12.37,14.77,0.28,0.14,0.28,0.0,2.06,0.05,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ACTINOLITE,AMPHIBOLES
48.48,0.78,4.16,0.08,18.58,15.03,7.95,0.47,0.13,0.43,0.25,2.04,0.14,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,ACTINOLITE,AMPHIBOLES
49.35,0.2,8.01,0.37,11.46,12.4,14.98,0.3,0.27,1.14,0.01,2.09,0.1,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
51.24,0.74,3.31,0.03,14.93,12.26,13.82,0.26,0.1,0.11,0.0,2.07,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
56.53,0.01,1.91,0.06,8.5,12.38,18.56,0.1,0.05,0.22,0.0,2.12,0.06,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
53.5,0.17,2.1,0.0,15.6,12.6,14.8,0.25,0.1,0.27,0.0,2.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
54.25,0.11,1.88,0.04,14.78,11.4,15.92,0.2,0.03,0.28,0.0,2.15,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,ACTINOLITE,AMPHIBOLES
52.53,0.17,4.37,0.62,8.51,12.26,18.42,0.12,0.05,1.29,0.02,2.08,0.27,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.12,0.0,ACTINOLITE,AMPHIBOLES
55.88,0.11,3.21,0.42,6.82,12.45,18.78,0.25,0.03,0.29,0.01,2.16,0.16,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
52.3,0.13,4.63,0.0,9.16,11.42,18.12,0.2,0.07,0.4,0.0,2.06,0.08,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
53.36,0.03,1.45,0.05,13.81,10.25,13.65,0.26,0.52,2.06,0.18,1.87,0.95,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.09,0.0,ACTINOLITE,AMPHIBOLES
50.34,0.28,3.54,0.02,11.02,17.05,14.68,0.32,0.0,0.26,0.14,1.62,0.15,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACTINOLITE,AMPHIBOLES
58.73,0.0,2.04,0.13,4.4,10.51,21.28,0.12,0.0,0.24,0.01,2.03,0.11,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.06,0.0,ACTINOLITE,AMPHIBOLES
50.26,0.06,4.06,0.12,21.72,9.19,9.65,1.88,0.18,0.5,0.18,2.02,0.06,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.56,0.0,ACTINOLITE,AMPHIBOLES
53.49,0.15,3.96,0.39,8.12,12.15,18.68,0.16,0.08,1.03,0.0,2.04,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,ACTINOLITE,AMPHIBOLES
52.46,0.18,2.66,0.01,15.05,12.86,14.42,0.44,0.05,0.65,0.01,2.02,0.13,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.17,0.0,ACTINOLITE,AMPHIBOLES
