"","Sample","Mineral","SiO2","TiO2","Al2O3","FeOt","MgO","MnO","CaO","Na2O","K2O","F","Cl","Total","TSi","TAl","TFe3","TTi","CAl","CCr","CTi","CMg","CMn","CCa","BMg","BMn","BCa","BNa","ACa","ANa","AK","Cations","CCl","CF","SumT","CFe2","CFe3","SumC","BFe2","XMg","SumB","SumA","SumO"
"1","ITA-68A1-C1-2","Pargasite",45.018,0.763,14.189,3.561,17.555,0.006,13.05,1.59,1.078,0.413,0.072,97.3,6.402,1.598,0,0,0.778,0,0.082,3.722,0,0,0,0,1.988,0.006,0,0.432,0.196,15.628,0.017,0.186,8,0.383,0.035,5,0.005,0.905596107055961,2,0.628,23
"2","ITA-68A1-C1-5","Pargasite",46.405,1.148,13.853,3.295,17.817,0.013,13.305,1.69,0.806,0.606,0.067,99.01,6.494,1.506,0,0,0.777,0,0.121,3.717,0.001,0,0,0.001,1.995,0.003,0,0.456,0.144,15.6,0.016,0.268,8,0.384,0,5,0.002,0.905922495734828,2,0.6,23.055
"3","ITA-68A1-C4-4","Pargasite",45.167,1.244,14.874,3.606,17.313,0.067,13.374,1.85,0.854,0.099,0.075,98.52,6.345,1.655,0,0,0.805,0,0.131,3.626,0.008,0.006,0,0,2,0,0.007,0.504,0.153,15.664,0.018,0.044,8,0.424,0,5,0,0.895308641975309,2,0.664,23.042
"4","ITA-68A1-C4-6","Pargasite",44.6,1.202,14.639,3.376,17.598,0.029,13.207,1.719,0.893,0.731,0.082,98.08,6.313,1.687,0,0,0.754,0,0.128,3.714,0.003,0.001,0,0,2,0,0.002,0.472,0.161,15.635,0.02,0.327,8,0.359,0.04,5,0,0.9118585808986,2,0.635,23
"5","PIES-5F1-C1-1","Pargasite",43.927,1.084,14.254,7.653,15.274,0.097,12.698,1.77,1.08,0.42,0.205,98.46,6.301,1.699,0,0,0.709,0,0.117,3.266,0.006,0,0,0.006,1.952,0.026,0,0.466,0.198,15.664,0.05,0.191,8,0.784,0.117,5,0.017,0.80304893041554,2,0.664,23
"6","PIES-5F1-C1-2","Pargasite",46.066,1.259,13.62,7.481,15.509,0.175,12.873,1.831,1.089,0.655,0.165,100.72,6.482,1.518,0,0,0.74,0,0.133,3.253,0.01,0,0,0.01,1.941,0.032,0,0.468,0.196,15.663,0.039,0.291,8,0.863,0,5,0.017,0.787079603193806,2,0.663,23.06
"7","PIES-5F1-C1-3","Pargasite",45.737,1.349,13.857,7.195,15.349,0.058,12.931,1.899,1.094,0.464,0.208,100.14,6.471,1.529,0,0,0.779,0,0.144,3.237,0.003,0,0,0.003,1.96,0.021,0,0.5,0.197,15.697,0.05,0.208,8,0.836,0,5,0.015,0.791829745596869,2,0.697,23.107
"8","PIES-5F1-C1-6","Pargasite",43.451,1.235,15.065,7.648,14.45,0.115,12.701,1.981,1.278,0.411,0.226,98.56,6.273,1.727,0,0,0.835,0,0.134,3.11,0.007,0,0,0.007,1.965,0.019,0,0.536,0.235,15.771,0.055,0.188,8,0.914,0,5,0.009,0.771138110587652,2,0.771,23.064
"9","ESC...-C2-1","Tremolite",57.065,0.121,0.574,0.259,23.994,0,13.522,0.348,0.212,0.473,0,96.57,7.905,0.093,0,0.006,0,0,0.006,4.955,0,0.008,0,0,1.995,0.005,0.004,0.089,0.037,15.135,0,0.207,8.005,0.03,0,5,0,0.993981945837513,2,0.13,23.034
"10","CAS29Pb-C3-1","Actinolite",56.63,0.014,1.226,6.58,19.675,0.036,13.269,0.289,0.12,0.312,0.024,98.18,7.923,0.077,0,0,0.125,0,0.001,4.104,0.002,0,0,0.002,1.989,0.006,0,0.073,0.021,15.094,0.006,0.138,8,0.767,0,5,0.003,0.842018875666803,2,0.094,23.07
"11","CAS29Pb-C3-4","Actinolite",57.361,0.047,1.061,6.322,19.506,0.181,13.503,0.182,0.113,0.15,0.018,98.44,7.999,0.003,0,0,0.171,0,0.005,4.055,0.021,0.01,0,0,2,0,0.007,0.049,0.02,15.079,0.004,0.066,8.002,0.737,0,5,0,0.846202003338898,2,0.077,23.135
"12","CAS29Pb-C5-5","Hastingsite",38.087,0.198,11.643,29.741,2.874,0.89,11.464,1.334,2.562,0.005,2.243,101.04,6.059,1.941,0,0,0.24,0,0.024,0.682,0.098,0,0,0.021,1.954,0.025,0,0.387,0.52,15.907,0.605,0.003,8,3.184,0.772,5,0,0.176409725814796,2,0.907,23
