"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22"
"SIO2",-0.867287039103923,0.333138571576252,0.0942476213868767,0.136661830364839,0.29250292305971,0.0111495202857471,-0.0521002157676115,-0.0331766122027944,0.0725366575059632,-0.0405281449061978,0.05845484443124,-0.0372350227180694,0.0349581250699598,0.00320893749249934,-0.0708151409253338,0.0234651041439063,-0.00203278294101067,-0.00869874781412343,-0.0338677973611455,-0.00619201835298831,-0.00164416636311634,-0.00150780966106406
"TIO2",-0.0417701354023252,-0.0980005391493936,-0.214091018800646,0.0804436360631462,-0.27768559229081,-0.0118171842135708,-0.088534522751448,-0.359740755706019,0.827895341445707,0.0942805158320018,0.154171146401213,-0.0116017096943599,0.0273953602615571,0.00685093620508481,-0.0286886849984054,0.0104200595383876,-0.0140357882439471,-0.00688230345732188,-0.0385942564199349,-0.0126980821457435,-0.00414035822750371,-0.000341669103991263
"AL2O3",-0.23480811924522,0.108352261578903,0.153912755757211,-0.765541130864317,-0.520512023307232,-0.0267730251675975,-0.120567352867386,0.0180058183113133,-0.0634386662334038,0.0829019622392943,-0.0829937851440492,-0.0766071738704302,-0.0373624296481145,0.00237926256447227,-0.100542692908728,0.0351645343492446,0.00157897167035977,-0.00967219686190535,-0.0120753873983703,-0.0122851154864158,0.000764260623449434,0.00883930377251189
"CR2O3",-0.0131303049389383,-0.0335729822163612,-0.0433890134297067,-0.107378389116417,-0.117538209785825,-0.00860418997764314,0.107793101014024,0.0170355085127617,-0.0525241524494871,-0.754661150737756,0.600093356762087,0.05890818676531,0.105044028069564,-0.0865291073823756,0.0586199104373977,-0.00222162846976631,-0.0073484019927654,0.0349373874766261,-0.0175460101990743,-0.00921674150136422,-0.00113281360116336,-0.00172417191092064
"FEOT",-0.350140314624867,-0.851495291464758,-0.277459068124256,-0.114390412460912,0.113650293330804,-0.0135306931897379,-0.0729537797489605,0.0119621743595271,-0.105506823580737,-0.070034534447418,-0.151311189264262,-0.022419275225562,-0.0121667508100807,-0.00737748951130545,0.00353662028626664,-0.00475300439626701,0.00505540910084188,-0.0464930875528877,0.0425885382186222,0.0044980012263618,0.00551863837301786,-0.000770936621894022
"CAO",-0.141462095767039,0.0252494970938323,-0.131678113392825,0.535932690989563,-0.6301528927963,0.013960323622983,-0.397583203108049,0.115021909402128,-0.281798010584812,-0.0209846132620142,-0.0202150184128141,-0.072232686840286,0.0181225916561964,0.00287362550931406,0.0335662258243317,-0.00199447575805809,-0.000965042335842552,0.0625246748344312,0.122970725780234,0.0148644367026792,0.000925896447631342,-0.000225509140850805
"MGO",-0.190722496463587,-0.00573928955611311,-0.170144273661238,0.128480305491266,-0.332688050696147,-0.017032287322992,0.869410236235425,0.0907970929697624,-0.058257859320479,0.167307336040157,-0.014995939461282,0.0795312517251007,-0.044003730362347,0.00167378647185275,0.0285824575595475,-0.0315567965685646,-0.00736296312635456,-0.00157761451544157,-0.0033802005439134,0.0355865884207321,-0.000527622717693307,-0.00484433433458562
"MNO",-0.0142397085978482,-0.0237401578045771,-0.0291218312085144,0.00335936248490244,-0.0124942616499246,0.0051352401623361,-0.016760266406262,-0.00677765328057405,0.000153959756544378,-0.0562744752445137,-0.129804719863211,0.0422657680580929,-0.0254467714535675,-0.0159393637490458,-0.00182434878194066,-0.140014918851955,0.30048609038999,0.739910616432424,-0.557288295359552,0.0848890571445815,-0.00372619086960938,-0.0018572572541262
"K2O",-0.0520822494060438,0.0292706519291504,0.0401711436402671,-0.083203098735262,0.0178458765000393,-0.0013961426355329,-0.0317306910865362,-0.0171449883015631,0.0420267320756358,0.0502713813687956,0.0178920143245819,-0.0363003665420669,0.0781887867822305,0.0185303975622638,0.451019576949275,-0.828037697359373,-0.0161017545926106,0.0339575125846762,0.24751372906908,0.147692383520452,0.00589056696265618,0.0172211470838144
"NA2O",-0.0624146425850633,0.00675281858126194,0.024659362461849,-0.0255563283267613,-0.0335589193382382,0.00226354721070865,-0.126259746228169,-0.00350623211004011,0.00291589938079014,0.0443471032277705,-0.00950262811589051,0.960571672331855,-0.177895525526495,-0.0668700021919785,0.0840887201704147,0.0301457158289275,-0.0211418548288115,-0.00566354155155095,0.0661418518858135,0.0521208551766847,0.0016295346163925,0.0357480731902146
