"","CITATION","SAMPLE NAME","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MIN.)","LONGITUDE (MAX.)","LAND/SEA (SAMPLING)","ELEVATION (MIN.)","ELEVATION (MAX.)","ROCK NAME","ROCK TEXTURE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","ALTERATION","MINERAL","SPOT","CRYSTAL","RIM/CORE (MINERAL GRAINS)","GRAIN SIZE","PRIMARY/SECONDARY","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","GROUP"
"1","[46] SPENGLER S. (1988)","samp. H-4-74","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"HAWAIITE","FINE-GRAINED INTERGRANULAR, APHYRIC",NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.225684896026193,0,0.002568,0,0.308,52.7,0.25,0.18,0,0.158,40.5,-0.0196163617419182,4.64,0.48,"APATITE"
"2","[46] SPENGLER S. (1988)","samp. H-84-3","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"HAWAIITE","FINE-GRAINED INTERGRANULAR, APHYRIC",NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.14,0,0,0.037,0.258,53.88,0.49,0.08,0.01,0.0984,40.92,0.0477740974239979,3.75,0.134,"APATITE"
"3","[46] SPENGLER S. (1988)","samp. H-22-74","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"MUGEARITE","FINE-GRAINED INTERGRANULAR, APHYRIC",NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.33,0.01,0.4216,0.04,0.0584048309715206,53.8,0.04,0.05,0.013,0.039,41.2,-0.046762398005165,3.59,0.44,"APATITE"
"4","[46] SPENGLER S. (1988)","samp. H-84-25","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"MUGEARITE","FINE-GRAINED INTERGRANULAR, APHYRIC",NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.17,0.02,0.2538301,0.055,0.336,53.36,0.48,0.1,0.09,0.19,40.53,0.00990733785627593,3.45,0.0526,"APATITE"
"5","[46] SPENGLER S. (1988)","samp. H-28-74","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"BENMOREITE","PORPHYRITIC",NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.714858,0.0814,0.25,0.025,0.5055,53.5,0.07,0.1498,0.27,0.07,41.1,-0.129440851099831,4.2,0.3,"APATITE"
"6","[46] SPENGLER S. (1988)","samp. H-84-62","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"BENMOREITE","PORPHYRITIC",NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.08,0,0.012,0,0.3347,53.27,0.43,0.13,0.03,0.296,40.8,0.533160204464341,2,1.29,"APATITE"
"7","[46] SPENGLER S. (1988)","samp. H-84-61","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES",NA,20.23,20.23,-155.8,-155.8,"subaerial",NA,NA,"TRACHYTE",NA,NA,NA,"fresh","APATITE",NA,NA,NA,NA,"primary",0.17,0.001,0.005,0,0.305,53.18,0.38,0.13,0.07,0.15,40.02,0.0379545704158874,3.68,0.07,"APATITE"
"8","[457] HAURI E. H. (1993)","samp. 90SAV1-1","OCEAN ISLAND","SAMOAN ISLANDS / SAVAI^I",NA,-13.5,-13.5,-172.5,-172.5,"subaerial",NA,NA,"HARZBURGITE, XENOLITH",NA,NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.27,0.3,0.06,0.023,0.153,52.16,0.43,0.243,0.025311,0.29,40.85,0.0902645159059742,4.82,0.3,"APATITE"
"9","[457] HAURI E. H. (1993)","samp. TBA1-9","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / TUBUAI",NA,-23.38,-23.38,-149.45,-149.45,"subaerial",NA,NA,"WEHLERITE, XENOLITH","MILDLY PORPHYROCLASTIC",NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.31,0.02,0.09,0,0.41,51.87,0.43,0.09,0.046,0.05,39.9,-0.168846213447324,5.51,0.3,"APATITE"
"10","[457] HAURI E. H. (1993)","samp. TBA4-11","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / TUBUAI",NA,-23.38,-23.38,-149.45,-149.45,"subaerial",NA,NA,"DUNITE, XENOLITH","CUMULATE",NA,NA,NA,"APATITE",NA,NA,NA,NA,"primary",0.38,0,0,0,0.25,53.98,0.34,0.03,0.067,0.17,40.33,-0.0828502743788405,4.4,0.23,"APATITE"
