SAMPLE NAME,ROCK NAME,MINERAL,SiO2,TiO2,Al2O3,Cr2O3,FeOT,CaO,MgO,MnO,K2O,Na2O,F,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
samp. 170,LAMPROPHYRE,PHLOGOPITE,36.49,8.27,16.08,0.13,10.49,0.08,16.9,0.07,9.17,0.9,0.34,-1.3628429842747827,1.1195795298655755,-1.1551753166631782,0.2796630555287032,0.6048353305806842,0.5904859975426813,-0.3852281506882136,-0.5683492345329135,-1.9947813096555274,-0.17524187401857855,-0.33057877675144753
samp. 170,LAMPROPHYRE,PHLOGOPITE,36.36,7.7,15.63,0.03,16.92,0,10.92,0.1,8.61,1.01,1.43,-2.1720097060239243,1.4346018707537302,-1.411964059658872,-0.26378199456316237,0.2166159098753753,0.7593991211906506,-0.6624461493438236,-0.2336064931301134,-0.9323212631823685,-0.12272183229694399,-0.20166379143058716
samp. 170,LAMPROPHYRE,PHLOGOPITE,36.87,7.87,15.83,0.05,10.66,0.02,16.98,0.1,8.58,0.99,0.99,-1.3157135855036206,1.5345889295461945,-1.0221956624528012,0.17989264355027795,0.38789514494315896,0.8790818905214829,-0.34201747560653184,-0.38832892263093144,-1.5946990616848116,0.021343567348250943,-0.3386344863877733
samp. 170,LAMPROPHYRE,PHLOGOPITE,32.28,12.57,15.27,0.2,11.15,0.04,12.96,0.11,6.51,0.96,0.49,-3.133643707462927,3.11945612877293,-1.9582757900860253,1.514020876218394,1.0183811316270515,0.7577059900617675,-0.3451243488231023,-0.5147947948322085,-2.382420871674535,1.0491986721695896,0.007856345724738766
samp. 170,LAMPROPHYRE,PHLOGOPITE,35.69,10.05,15.92,0.12,10.05,0.02,15.85,0.11,8.19,0.89,0.82,-1.8198239538482992,1.9402495019623256,-1.5364968856716363,0.6171839596417834,0.6913697783426127,0.7514101749463625,-0.4355197794444344,-0.2971182805717969,-2.174143237063581,0.4208620332750469,-0.27100077565194036
samp. 170,LAMPROPHYRE,PHLOGOPITE,36.07,11.31,14.31,0.06,10.38,0,15.03,0.14,7.92,1.11,0.84,-1.991180147940262,2.5264442327982604,-1.9183067543536423,0.45300766644315216,0.521932692986536,0.7952061027979926,-0.5473802481142054,-0.6122360544049238,-2.4487885219302727,0.6263867140586749,-0.1918865919060843
samp. 170,LAMPROPHYRE,PHLOGOPITE,32.85,12.19,14.95,0.02,11.05,0.09,13.33,0.11,6.66,1.04,0.74,-2.96751907336297,3.137815419333217,-1.8846141740776434,1.298421643985097,0.6686757010227432,0.8800564507266504,-0.3266506393907734,-0.4562245095188717,-2.3553054537940388,0.9041627513850856,-0.004565310478086147
samp. BM87171(920),NOT GIVEN,BIOTITE,36.22,4.6,14.29,0.09,17.88,0.05,13.67,0.22,9.13,0.8,0.29,-1.6816960163654737,0.3598012736847484,-0.5938648742933124,-0.18835812079335557,0.08204988613306688,0.17683269190599865,-0.02801028840671052,-0.7787552584033355,-0.28082899865186967,-0.527589633602518,-0.16909283240537826
samp. 100B,"BASANITE, LEUCITE",PHLOGOPITE,39.62,4.29,10.82,0,7.9,0.1,19.74,0.05,9.86,0.79,4.83,1.098518344290217,1.6242017616998043,-1.258293086411784,-0.7721790349568937,-0.6642119778714135,0.6434706230235636,-0.5055197396171158,1.2578531159863857,0.12901375693027883,-0.7022672783791508,0.008890930784767825
samp. 6E,MINETTE,PHLOGOPITE,38.76,3.2,13.77,1.38,5.15,0.02,21.62,0.01,10.1,0.54,1.03,1.1432975989896121,0.15651522916591937,-0.16369430556558945,0.106448667408132,1.818542193836375,-0.27066135144109277,-0.517689153944219,-0.5169151981255364,-0.14762564599114505,-0.5062438166451834,0.015656678858309826
