"","SAMPLE","MINERAL","GROUP","As","W","Fe","Co","Ni","Cu","Zn","Bi","Te","Pt","Au","Mo","S","Pb","Ag","Sb","Cr","V","Se","Mn","Cd","Hg","value"
"1","Come Quieto","PYRITE","SULFIDE",0,0,48.19,0.05,0.01,0.01,0,0,0,0.02,0,0.07,51.06,0.11,0,0,0.01,0,0,0,0.009,0,99.539
"2","Escorpião","PYRITE","SULFIDE",0,0.01,46.62,0.05,0,0.02,0.01,0,0,0,0,0.08,51.92,0.46,0,0.01,0.01,0,0,0,0.01,0,99.2
"3","Valdette","PYRITE","SULFIDE",0,0,48.05,0.05,0.01,0.01,0.02,0,0,0,0,0.08,50.9,0.18,0,0.01,0.02,0,0,0,0,0,99.33
"4","Mãe de Leite","PYRITE","SULFIDE",0.01,0,47.72,0.04,0,0.01,0.01,0,0.01,0,0,0.08,51.94,0.15,0,0,0.01,0,0.011,0,0.023,0,100.014
"5","Galena","PYRITE","SULFIDE",0,0.01,47.16,0.05,0,0.01,0.01,0,0,0,0,0.06,49.56,0.17,0,0,0,0,0.002,0,0.037,0,97.069
"6","Galena","PYRITE","SULFIDE",0.01,0.02,46.68,0.05,0,0,0.01,0,0.01,0,0,0.05,50.66,0.1,0.01,0.01,0.005,0,0,0,0,0,97.615
"7","Serra","PYRITE","SULFIDE",0,0,48.75,0.04,0.01,0,0,0,0.02,0,0,0.09,51.51,0.08,0,0,0.0015,0.01,0.005,0,0,0,100.5165
"8","Serra","PYRITE","SULFIDE",0.01,0,48.38,0.06,0.01,0.04,0.02,0,0.01,0,0,0.08,50.51,0.14,0,0,0,0,0.01,0,0.035,0,99.305
"9","Serra","PYRITE","SULFIDE",0.01,0,48.03,0.07,0.01,0.01,0.01,0,0.01,0,0,0.06,51.43,0.14,0.01,0,0.02,0,0.022,0,0.035,0,99.867
"10","Serra","PYRITE","SULFIDE",0.01,0,48.04,0.06,0.01,0.01,0.01,0,0.01,0,0,0.08,52.92,0.15,0,0,0,0,0.018,0,0.035,0,101.353
"11","Meio","PYRITE","SULFIDE",0,0.01,47.71,0.05,0.01,0.03,0.04,0,0.01,0,0,0.07,52.32,0.15,0.01,0,0,0.01,0.028,0,0.079,0,100.527
"12","Meio","PYRITE","SULFIDE",0,0.01,47.92,0.05,0.01,0.01,0.06,0,0,0,0,0.09,53.32,0.15,0.01,0,0.02,0,0,0,0.434,0,102.084
"13","Come Quieto","GALENA","SULFIDE",0,0.01,0.03,0.02,0,0.02,0,0,0.05,0,0.04,0.87,13.39,86.53,0,0.03,0,0,0.041,0,1.108,0,102.139
"14","Mãe de Leite","GALENA","SULFIDE",0,0,0.12,0,0.02,0.02,0,0.18,0.02,0.01,0.03,0.84,13.08,85.02,0.1,0.01,0,0.01,0.026,0,0.737,0,100.223
"15","Galena","GALENA","SULFIDE",0,0.04,1.12,0,0.02,0,0,0,0.03,0.02,0,0.79,13.2,84.88,0,0.02,0,0,0.041,0,0,0,100.161
"16","Galena","GALENA","SULFIDE",0,0,0.03,0.01,0.01,0,0,0.42,0.03,0.01,0.01,0.82,12.88,83.64,0.23,0.01,0.028,0.01,0.039,0,1.041,0,99.218
"17","Escorpião","GALENA","SULFIDE",0,0,0,0.01,0,0.01,0,0,0.04,0,0,0.88,13.37,85.78,0.01,0,0,0,0.041,0,0,0,100.141
