"","MINERAL","GROUP","n"
"1","ACTINOLITE","AMPHIBOLES",51
"2","AEGIRINE","PYROXENE",15
"3","ALABANDITE","SULFIDE",36
"4","ALBITE","FELDSPAR",419
"5","ALMANDINE","GARNET",5116
"6","ANALCIME","FELDSPATHOID",258
"7","ANCYLITE","CARBONATE",22
"8","ANDESINE","FELDSPAR",1192
"9","ANDRADITE","GARNET",1498
"10","ANKERITE","CARBONATE",258
"11","ANORTHITE","FELDSPAR",141
"12","ANORTHOCLASE","FELDSPAR",1803
"13","APATITE (SENSU LATO)","APATITE",50
"14","ARFVEDSONITE","AMPHIBOLES",38
"15","ARSENOPYRITE","SULFIDE",40
"16","AUGITE","PYROXENE",49
"17","BEIDELLITE","CLAY",18
"18","BIOTITE (SENSU LATO)","MICA",25100
"19","BORNITE","SULFIDE",49
"20","BURBANKITE","CARBONATE",19
"21","BYTOWNITE","FELDSPAR",445
"22","CALCITE","CARBONATE",2433
"23","CANCRINITE","FELDSPATHOID",59
"24","CARBOCERNAITE","CARBONATE",12
"25","CELADONITE","MICA",114
"26","CHALCOCITE","SULFIDE",18
"27","CHALCOPYRITE","SULFIDE",565
"28","CHLORBARTONITE","SULFIDE",155
"29","CHROMITE","SPINEL",17188
"30","CORRENSITE","CLAY",15
"31","CUBANITE","SULFIDE",123
"32","CUMMINGTONITE","AMPHIBOLES",143
"33","DIOPSIDE","PYROXENE",50
"34","DOLOMITE","CARBONATE",752
"35","EDENITE","AMPHIBOLES",20
"36","ENSTATITE/CLINOENSTATITE","PYROXENE",50
"37","FAYALITE","OLIVINE",4849
"38","FERROSILITE/CLINOFERROSILITE","PYROXENE",48
"39","FORSTERITE","OLIVINE",154478
"40","GALENA","SULFIDE",46
"41","GREGORYITE","CARBONATE",16
"42","GROSSULAR","GARNET",36
"43","HASTINGSITE","AMPHIBOLES",14
"44","HAUYNE","FELDSPATHOID",382
"45","HEAZLEWOODITE","SULFIDE",68
"46","HEDENBERGITE","PYROXENE",47
"47","HERCYNITE","SPINEL",2412
"48","HORNBLENDE (SENSU LATO)","AMPHIBOLES",1754
"49","ILLITE","CLAY",10
"50","ILMENITE","ILMENITE",50
"51","ISOCUBANITE","SULFIDE",68
"52","K-FELDSPAR","FELDSPAR",10451
"53","KAERSUTITE","AMPHIBOLES",373
"54","KALSILITE/KALIOPHILITE/PANUNZITE/TRIKALSILITE","FELDSPATHOID",74
"55","KATOPHORITE","AMPHIBOLES",10
"56","KUKHARENKOITE (SENSU LATO)","CARBONATE",12
"57","KUTNAHORITE","CARBONATE",12
"58","LABRADORITE","FELDSPAR",1024
"59","LEUCITE","FELDSPATHOID",733
"60","MACKINAWITE","SULFIDE",87
"61","MAGNESIOHASTINGSITE","AMPHIBOLES",25
"62","MAGNESITE","CARBONATE",69
"63","MAGNETITE","SPINEL",2127
"64","MERENSKYITE","SULFIDE",18
"65","MONTICELLITE","OLIVINE",10181
"66","MONTMORILLONITE","CLAY",90
"67","MUSCOVITE","MICA",689
"68","NATROFAIRCHILDITE/NYEREREITE/ZEMKORITE","CARBONATE",18
"69","NEPHELINE","FELDSPATHOID",1572
"70","NOSEAN","FELDSPATHOID",13
"71","OLIGOCLASE","FELDSPAR",802
"72","OMPHACITE","PYROXENE",19
"73","PARAGONITE","MICA",14
"74","PARGASITE","AMPHIBOLES",245
"75","PENTLANDITE","SULFIDE",1000
"76","PEROVSKITE","PEROVSKITE",50
"77","PIGEONITE","PYROXENE",48
"78","POLYDYMITE","SULFIDE",20
"79","PYRITE","SULFIDE",317
"80","PYROPE","GARNET",30115
"81","PYRRHOTITE","SULFIDE",702
"82","QUARTZ","QUARTZ",50
"83","RASVUMITE","SULFIDE",54
"84","RICHTERITE","AMPHIBOLES",205
"85","RIEBECKITE","AMPHIBOLES",27
"86","SAPONITE","CLAY",152
"87","SCHORLOMITE","GARNET",340
"88","SHORTITE","CARBONATE",34
"89","SIDERITE","CARBONATE",20
"90","SODALITE","FELDSPATHOID",221
"91","SPHALERITE","SULFIDE",117
"92","SPINEL","SPINEL",1131
"93","STROMEYERITE","SULFIDE",16
"94","TITAN-AUGITE","PYROXENE",50
"95","TITANITE (SPHENE)","TITANITE",50
"96","TREMOLITE","AMPHIBOLES",61
"97","ULVOSPINEL","SPINEL",520
"98","YANGZHUMINGITE","MICA",61
"99","ZINNWALDITE (SENSU LATO)","MICA",77
"100","ZIRCON","ZIRCON",50
