"","GROUP","MINERAL","n"
"1","AMPHIBOLES","ACTINOLITE",50
"2","AMPHIBOLES","ARFVEDSONITE",50
"3","AMPHIBOLES","CUMMINGTONITE",50
"4","AMPHIBOLES","EDENITE",50
"5","AMPHIBOLES","HASTINGSITE",50
"6","AMPHIBOLES","HORNBLENDE (SENSU LATO)",50
"7","AMPHIBOLES","KAERSUTITE",50
"8","AMPHIBOLES","KATOPHORITE",50
"9","AMPHIBOLES","MAGNESIOHASTINGSITE",50
"10","AMPHIBOLES","PARGASITE",50
"11","AMPHIBOLES","RICHTERITE",50
"12","AMPHIBOLES","RIEBECKITE",50
"13","AMPHIBOLES","TREMOLITE",50
"14","APATITE","APATITE (SENSU LATO)",50
"15","CARBONATE","ANCYLITE",50
"16","CARBONATE","ANKERITE",50
"17","CARBONATE","BURBANKITE",50
"18","CARBONATE","CALCITE",50
"19","CARBONATE","CARBOCERNAITE",50
"20","CARBONATE","DOLOMITE",50
"21","CARBONATE","GREGORYITE",50
"22","CARBONATE","KUKHARENKOITE (SENSU LATO)",50
"23","CARBONATE","KUTNAHORITE",50
"24","CARBONATE","MAGNESITE",50
"25","CARBONATE","NATROFAIRCHILDITE/NYEREREITE/ZEMKORITE",50
"26","CARBONATE","SHORTITE",50
"27","CARBONATE","SIDERITE",50
"28","CLAY","BEIDELLITE",50
"29","CLAY","CORRENSITE",50
"30","CLAY","ILLITE",50
"31","CLAY","MONTMORILLONITE",50
"32","CLAY","SAPONITE",50
"33","FELDSPAR","ALBITE",50
"34","FELDSPAR","ANDESINE",50
"35","FELDSPAR","ANORTHITE",50
"36","FELDSPAR","ANORTHOCLASE",50
"37","FELDSPAR","BYTOWNITE",50
"38","FELDSPAR","K-FELDSPAR",50
"39","FELDSPAR","LABRADORITE",50
"40","FELDSPAR","OLIGOCLASE",50
"41","FELDSPATHOID","ANALCIME",50
"42","FELDSPATHOID","CANCRINITE",50
"43","FELDSPATHOID","HAUYNE",50
"44","FELDSPATHOID","KALSILITE/KALIOPHILITE/PANUNZITE/TRIKALSILITE",50
"45","FELDSPATHOID","LEUCITE",50
"46","FELDSPATHOID","NEPHELINE",50
"47","FELDSPATHOID","NOSEAN",50
"48","FELDSPATHOID","SODALITE",50
"49","GARNET","ALMANDINE",50
"50","GARNET","ANDRADITE",50
"51","GARNET","GROSSULAR",50
"52","GARNET","PYROPE",50
"53","GARNET","SCHORLOMITE",50
"54","ILMENITE","ILMENITE",50
"55","MICA","BIOTITE (SENSU LATO)",50
"56","MICA","CELADONITE",50
"57","MICA","MUSCOVITE",50
"58","MICA","PARAGONITE",50
"59","MICA","YANGZHUMINGITE",50
"60","MICA","ZINNWALDITE (SENSU LATO)",50
"61","OLIVINE","FAYALITE",50
"62","OLIVINE","FORSTERITE",50
"63","OLIVINE","MONTICELLITE",50
"64","PEROVSKITE","PEROVSKITE",50
"65","PYROXENE","AEGIRINE",50
"66","PYROXENE","AUGITE",50
"67","PYROXENE","DIOPSIDE",50
"68","PYROXENE","ENSTATITE/CLINOENSTATITE",50
"69","PYROXENE","FERROSILITE/CLINOFERROSILITE",50
"70","PYROXENE","HEDENBERGITE",50
"71","PYROXENE","OMPHACITE",50
"72","PYROXENE","PIGEONITE",50
"73","PYROXENE","TITAN-AUGITE",50
"74","QUARTZ","QUARTZ",50
"75","SPINEL","CHROMITE",50
"76","SPINEL","HERCYNITE",50
"77","SPINEL","MAGNETITE",50
"78","SPINEL","SPINEL",50
"79","SPINEL","ULVOSPINEL",50
"80","SULFIDE","ALABANDITE",50
"81","SULFIDE","ARSENOPYRITE",50
"82","SULFIDE","BORNITE",50
"83","SULFIDE","CHALCOCITE",50
"84","SULFIDE","CHALCOPYRITE",50
"85","SULFIDE","CHLORBARTONITE",50
"86","SULFIDE","CUBANITE",50
"87","SULFIDE","GALENA",50
"88","SULFIDE","HEAZLEWOODITE",50
"89","SULFIDE","ISOCUBANITE",50
"90","SULFIDE","MACKINAWITE",50
"91","SULFIDE","MERENSKYITE",50
"92","SULFIDE","PENTLANDITE",50
"93","SULFIDE","POLYDYMITE",50
"94","SULFIDE","PYRITE",50
"95","SULFIDE","PYRRHOTITE",50
"96","SULFIDE","RASVUMITE",50
"97","SULFIDE","SPHALERITE",50
"98","SULFIDE","STROMEYERITE",50
"99","TITANITE","TITANITE (SPHENE)",50
"100","ZIRCON","ZIRCON",50
